fuel,var,n_units,within,within_se,between,between_se,between_r2,ratio
Electricity,hdd_calendar,29,6.52345156751477e-05,1.5543954527351e-05,0.000192674406783218,0.000181110572499159,0.12544449948583,2.95356537546305
Electricity,cdd_jja,29,0.000152656583353928,5.58235165067629e-05,0.000325278074867244,0.00137683099610053,0.12544449948583,2.13078314554636
Natural gas,hdd_octmar,25,0.000144659622243215,5.81726847576497e-05,-0.000449180012391771,0.000470514878865015,0.0634708397318544,-3.10508216063615
