model,cntr,crop,component,dln
ec-earth3,LV,Winter barley,gdd_mj,-0.152423090793836
ipsl-cm6a-lr,LV,Winter barley,gdd_mj,-0.149696912736147
ec-earth3,SE,Winter barley,gdd_mj,-0.153289870990997
ipsl-cm6a-lr,SE,Winter barley,gdd_mj,-0.126294334453039
ec-earth3,SK,Winter barley,gdd_mj,-0.147698454514303
ipsl-cm6a-lr,SK,Winter barley,gdd_mj,-0.161660948248773
ec-earth3,CZ,Soft wheat,heat_mj,-0.0166043121306869
ipsl-cm6a-lr,CZ,Soft wheat,heat_mj,-0.0231325541442151
ec-earth3,DE,Soft wheat,heat_mj,-0.0160394771393821
ipsl-cm6a-lr,DE,Soft wheat,heat_mj,-0.0162693986874698
ec-earth3,DK,Soft wheat,heat_mj,-0.00266267548097385
ipsl-cm6a-lr,DK,Soft wheat,heat_mj,-0.00192598817566095
ec-earth3,EE,Soft wheat,heat_mj,-0.00738394953091276
ipsl-cm6a-lr,EE,Soft wheat,heat_mj,-0.00928200063211604
ec-earth3,EL,Soft wheat,heat_mj,-0.0577058807560389
ipsl-cm6a-lr,EL,Soft wheat,heat_mj,-0.0511707749245296
ec-earth3,ES,Soft wheat,heat_mj,-0.0918605921431353
ipsl-cm6a-lr,ES,Soft wheat,heat_mj,-0.0613046204964162
ec-earth3,FI,Soft wheat,heat_mj,-0.00539158455573368
ipsl-cm6a-lr,FI,Soft wheat,heat_mj,-0.00567995227233707
ec-earth3,FR,Soft wheat,heat_mj,-0.0269307127466511
ipsl-cm6a-lr,FR,Soft wheat,heat_mj,-0.0186730899235577
ec-earth3,HU,Soft wheat,heat_mj,-0.0425655954005611
ipsl-cm6a-lr,HU,Soft wheat,heat_mj,-0.0546792198471505
ec-earth3,IT,Soft wheat,heat_mj,-0.0611798911878254
ipsl-cm6a-lr,IT,Soft wheat,heat_mj,-0.0550155554796135
ec-earth3,LT,Soft wheat,heat_mj,-0.00841634484884481
ipsl-cm6a-lr,LT,Soft wheat,heat_mj,-0.0148071705642762
ec-earth3,LV,Soft wheat,heat_mj,-0.00762113892362882
ipsl-cm6a-lr,LV,Soft wheat,heat_mj,-0.0121259896491796
ec-earth3,RO,Soft wheat,heat_mj,-0.0435794286585827
ipsl-cm6a-lr,RO,Soft wheat,heat_mj,-0.0560561110877309
ec-earth3,SE,Soft wheat,heat_mj,-0.00458088632035671
ipsl-cm6a-lr,SE,Soft wheat,heat_mj,-0.0051990708186716
ec-earth3,SK,Soft wheat,heat_mj,-0.0277771862972889
ipsl-cm6a-lr,SK,Soft wheat,heat_mj,-0.0375087861170177
ec-earth3,EL,Durum wheat,heat_mj,0.0240793277852008
ipsl-cm6a-lr,EL,Durum wheat,heat_mj,0.0212865383780335
ec-earth3,ES,Durum wheat,heat_mj,0.0460249948065074
ipsl-cm6a-lr,ES,Durum wheat,heat_mj,0.0306586230949744
ec-earth3,FR,Durum wheat,heat_mj,0.0171755364916212
ipsl-cm6a-lr,FR,Durum wheat,heat_mj,0.012631153177517
ec-earth3,HU,Durum wheat,heat_mj,0.0168757001373897
ipsl-cm6a-lr,HU,Durum wheat,heat_mj,0.0215441021595083
ec-earth3,IT,Durum wheat,heat_mj,0.0210096898788144
ipsl-cm6a-lr,IT,Durum wheat,heat_mj,0.0184367588168344
ec-earth3,RO,Durum wheat,heat_mj,0.0151215829589542
ipsl-cm6a-lr,RO,Durum wheat,heat_mj,0.0197995141601753
ec-earth3,SK,Durum wheat,heat_mj,0.0123323591504813
ipsl-cm6a-lr,SK,Durum wheat,heat_mj,0.0159346724999512
ec-earth3,CZ,Spring barley,heat_mj,-0.018030688728303
ipsl-cm6a-lr,CZ,Spring barley,heat_mj,-0.0252058939596936
ec-earth3,DE,Spring barley,heat_mj,-0.0181399322406934
ipsl-cm6a-lr,DE,Spring barley,heat_mj,-0.0183858280115119
ec-earth3,DK,Spring barley,heat_mj,-0.00299980214748938
ipsl-cm6a-lr,DK,Spring barley,heat_mj,-0.00215504594625647
ec-earth3,EE,Spring barley,heat_mj,-0.00795839233881583
ipsl-cm6a-lr,EE,Spring barley,heat_mj,-0.00980713029530597
ec-earth3,ES,Spring barley,heat_mj,-0.105527061250986
ipsl-cm6a-lr,ES,Spring barley,heat_mj,-0.0731035839770428
ec-earth3,FI,Spring barley,heat_mj,-0.00522122122494922
ipsl-cm6a-lr,FI,Spring barley,heat_mj,-0.00559209200445068
ec-earth3,FR,Spring barley,heat_mj,-0.0312712038341429
ipsl-cm6a-lr,FR,Spring barley,heat_mj,-0.0224461167847965
ec-earth3,HU,Spring barley,heat_mj,-0.043759157415379
ipsl-cm6a-lr,HU,Spring barley,heat_mj,-0.0565495534799622
ec-earth3,LT,Spring barley,heat_mj,-0.00915138459692379
ipsl-cm6a-lr,LT,Spring barley,heat_mj,-0.015830370058789
ec-earth3,LV,Spring barley,heat_mj,-0.00814616173276756
ipsl-cm6a-lr,LV,Spring barley,heat_mj,-0.0130888831106403
ec-earth3,SE,Spring barley,heat_mj,-0.00487861557177338
ipsl-cm6a-lr,SE,Spring barley,heat_mj,-0.00528595393269174
ec-earth3,SK,Spring barley,heat_mj,-0.032049813069391
ipsl-cm6a-lr,SK,Spring barley,heat_mj,-0.0426461344034338
ec-earth3,CZ,Winter barley,heat_mj,0.0128764455607331
ipsl-cm6a-lr,CZ,Winter barley,heat_mj,0.0180448868157808
ec-earth3,DE,Winter barley,heat_mj,0.0131415355133733
ipsl-cm6a-lr,DE,Winter barley,heat_mj,0.013382223576239
ec-earth3,DK,Winter barley,heat_mj,0.00226828121013703
ipsl-cm6a-lr,DK,Winter barley,heat_mj,0.00162676468241541
ec-earth3,EE,Winter barley,heat_mj,0.00576369427256465
ipsl-cm6a-lr,EE,Winter barley,heat_mj,0.00702008696410575
ec-earth3,EL,Winter barley,heat_mj,0.0470966359794918
ipsl-cm6a-lr,EL,Winter barley,heat_mj,0.0421067492626672
ec-earth3,ES,Winter barley,heat_mj,0.0816100490709102
ipsl-cm6a-lr,ES,Winter barley,heat_mj,0.0566954778392725
ec-earth3,FR,Winter barley,heat_mj,0.022769788592725
ipsl-cm6a-lr,FR,Winter barley,heat_mj,0.016370289744415
ec-earth3,HU,Winter barley,heat_mj,0.035630279323058
ipsl-cm6a-lr,HU,Winter barley,heat_mj,0.0454621823421048
ec-earth3,IT,Winter barley,heat_mj,0.0455437332611866
ipsl-cm6a-lr,IT,Winter barley,heat_mj,0.0407852792456759
ec-earth3,LT,Winter barley,heat_mj,0.0068117227858302
ipsl-cm6a-lr,LT,Winter barley,heat_mj,0.0119974371303858
ec-earth3,LV,Winter barley,heat_mj,0.00616510416455347
ipsl-cm6a-lr,LV,Winter barley,heat_mj,0.00944358190984234
ec-earth3,SE,Winter barley,heat_mj,0.00384787170456441
