model,bin_id,delta_sv,n_years,hos_year,component,dln
IPSL-CM6A-LR,-7.5,-7.7579,1,74,gdd_mj,0.0968977692535379
IPSL-CM6A-LR,-7.5,-7.9349,1,75,gdd_mj,0.156806253404185
IPSL-CM6A-LR,-7.5,-7.941,1,76,gdd_mj,0.110111495911703
IPSL-CM6A-LR,-8.5,-8.2695,1,77,gdd_mj,0.128494745976188
IPSL-CM6A-LR,-7.5,-7.5299,1,78,gdd_mj,0.0854626487740533
IPSL-CM6A-LR,-6.5,-6.2088,1,79,gdd_mj,0.0893413310607675
IPSL-CM6A-LR,-7.5,-7.6756,1,80,gdd_mj,0.0979044907846457
IPSL-CM6A-LR,-6.5,-6.6415,1,81,gdd_mj,0.077090887542192
IPSL-CM6A-LR,-8.5,-8.0555,1,82,gdd_mj,0.104171630876971
IPSL-CM6A-LR,-7.5,-7.3084,1,84,gdd_mj,0.127910746875355
IPSL-CM6A-LR,-9.5,-9.384,1,85,gdd_mj,0.115992187890532
IPSL-CM6A-LR,-7.5,-7.4004,1,86,gdd_mj,0.171597801603342
IPSL-CM6A-LR,-8.5,-8.3239,1,87,gdd_mj,0.158981538601071
IPSL-CM6A-LR,-7.5,-7.7418,1,88,gdd_mj,0.108011544252119
IPSL-CM6A-LR,-9.5,-9.1721,1,89,gdd_mj,0.139513500399729
IPSL-CM6A-LR,-8.5,-8.5532,1,90,gdd_mj,0.143490956706991
IPSL-CM6A-LR,-9.5,-9.0631,1,91,gdd_mj,0.088757760747909
IPSL-CM6A-LR,-9.5,-9.9064,1,92,gdd_mj,0.107865116565098
IPSL-CM6A-LR,-7.5,-7.5646,1,93,gdd_mj,0.156848994576845
IPSL-CM6A-LR,-8.5,-8.6305,1,94,gdd_mj,0.148046479555956
IPSL-CM6A-LR,-9.5,-9.1749,1,95,gdd_mj,0.17991718372638
IPSL-CM6A-LR,-7.5,-7.8759,1,96,gdd_mj,0.123491277304208
IPSL-CM6A-LR,-6.5,-6.2615,1,97,gdd_mj,0.07682977900927
IPSL-CM6A-LR,-8.5,-8.9677,1,98,gdd_mj,0.18970535619847
IPSL-CM6A-LR,-8.5,-8.8657,1,99,gdd_mj,0.134413637507887
IPSL-CM6A-LR,-6.5,-6.9036,1,100,gdd_mj,0.11269655722988
IPSL-CM6A-LR,-0.5,-0.7613,1,1,heat_mj,0.00526051362801492
IPSL-CM6A-LR,-0.5,-0.9061,1,2,heat_mj,-0.00423425411930229
IPSL-CM6A-LR,-2.5,-2.1752,1,3,heat_mj,0.0103788816123605
IPSL-CM6A-LR,-0.5,-0.979,1,5,heat_mj,-0.00528447528204262
IPSL-CM6A-LR,-1.5,-1.6221,1,6,heat_mj,0.00774625740060597
IPSL-CM6A-LR,-1.5,-1.1701,1,7,heat_mj,0.00105415324312732
IPSL-CM6A-LR,-0.5,-0.5998,1,8,heat_mj,-0.011389225056999
IPSL-CM6A-LR,-0.5,-0.1997,1,9,heat_mj,-0.00800089409027259
IPSL-CM6A-LR,-0.5,-0.7418,1,10,heat_mj,-0.0108998459828392
IPSL-CM6A-LR,-2.5,-2.713,1,11,heat_mj,0.00196351877342648
IPSL-CM6A-LR,-1.5,-1.3383,1,12,heat_mj,-0.00419015427438049
IPSL-CM6A-LR,-0.5,-0.4327,1,13,heat_mj,0.00524002267626122
IPSL-CM6A-LR,-0.5,-0.4569,1,14,heat_mj,-0.000447688868011758
IPSL-CM6A-LR,-1.5,-1.3271,1,15,heat_mj,0.00392191366778315
IPSL-CM6A-LR,-1.5,-1.1959,1,16,heat_mj,-0.00433754450130294
IPSL-CM6A-LR,-2.5,-2.5833,1,17,heat_mj,0.00535252506802467
IPSL-CM6A-LR,-2.5,-2.8658,1,18,heat_mj,-0.000873854898549629
IPSL-CM6A-LR,-1.5,-1.0916,1,19,heat_mj,0.00534194394242733
IPSL-CM6A-LR,-3.5,-3.2099,1,20,heat_mj,0.00465059897318308
IPSL-CM6A-LR,-2.5,-2.3795,1,21,heat_mj,-0.00171927455444841
IPSL-CM6A-LR,-3.5,-3.4662,1,22,heat_mj,-0.000171668772260584
IPSL-CM6A-LR,-2.5,-2.7286,1,23,heat_mj,0.00757111410877878
IPSL-CM6A-LR,-4.5,-4.0303,1,24,heat_mj,-0.00612572744136369
IPSL-CM6A-LR,-2.5,-2.8085,1,25,heat_mj,0.00935304710386607
IPSL-CM6A-LR,-2.5,-2.5323,1,26,heat_mj,-0.00921141528863377
IPSL-CM6A-LR,-3.5,-3.0615,1,27,heat_mj,-0.00454271990485237
IPSL-CM6A-LR,-2.5,-2.3161,1,28,heat_mj,-0.00560268742902881
IPSL-CM6A-LR,-3.5,-3.3374,1,29,heat_mj,0.00296763119308894
IPSL-CM6A-LR,-4.5,-4.2179,1,30,heat_mj,-0.00878002922830462
IPSL-CM6A-LR,-5.5,-5.2566,1,31,heat_mj,0.00280606851824133
IPSL-CM6A-LR,-3.5,-3.6201,1,32,heat_mj,0.00332481134648904
IPSL-CM6A-LR,-4.5,-4.2133,1,33,heat_mj,0.00598240983120148
IPSL-CM6A-LR,-4.5,-4.3351,1,34,heat_mj,-0.00367301395870183
IPSL-CM6A-LR,-4.5,-4.2314,1,35,heat_mj,-0.00095551403492491
