model,NUTS_ID,year,window,gdd,heat,frost,precip
ec-earth3,AL012,1989,Mar-Jul,2537.575,341.948,0,178.664
ec-earth3,AL012,1990,Apr-Aug,2982.68,760.741,0,117.169
ec-earth3,AL012,1990,Mar-Jul,2594.777,492.168,0.132,112.156
ec-earth3,AL012,1991,Apr-Aug,2829.995,766.226,0,106.327
ec-earth3,AL012,1991,Mar-Jul,2407.242,488.119,0,134.99
ec-earth3,AL012,1992,Apr-Aug,2973.975,893.971,0,134.818
ec-earth3,AL012,1992,Mar-Jul,2493.819,486.054,0.353,168.232
ec-earth3,AL012,1993,Apr-Aug,3013.131,970.831,0,61.16
ec-earth3,AL012,1993,Mar-Jul,2526.024,584.986,0.617,187.066
ec-earth3,AL012,1994,Apr-Aug,2988.247,1020.532,0,125.692
ec-earth3,AL012,1994,Mar-Jul,2567.955,635.84,0,114.895
ec-earth3,AL012,1995,Apr-Aug,2925.524,803.732,0.132,158.797
ec-earth3,AL012,1995,Mar-Jul,2426.879,550.538,0.132,213.736
ec-earth3,AL012,1996,Apr-Aug,2986.015,854.117,0,109.414
ec-earth3,AL012,1996,Mar-Jul,2466,545.563,1.103,229.518
ec-earth3,AL012,1997,Apr-Aug,2913.918,857.759,0,54.937
ec-earth3,AL012,1997,Mar-Jul,2462.028,584.835,0,76.01
ec-earth3,AL012,1998,Apr-Aug,2979.153,967.598,0,82.186
ec-earth3,AL012,1998,Mar-Jul,2466.109,592.339,0.86,76.351
ec-earth3,AL012,1999,Apr-Aug,3038.507,958.197,0,90.405
ec-earth3,AL012,1999,Mar-Jul,2579.11,589.933,0,119.533
ec-earth3,AL012,2000,Apr-Aug,3113.705,925.829,0,57.461
ec-earth3,AL012,2000,Mar-Jul,2621.916,594.208,1.103,104.167
ec-earth3,AL012,2001,Apr-Aug,3061.239,1018.423,0,97.872
ec-earth3,AL012,2001,Mar-Jul,2730.444,629.95,0,132.804
ec-earth3,AL012,2002,Apr-Aug,3068.337,764.83,0,83.905
ec-earth3,AL012,2002,Mar-Jul,2690.333,550.59,0,88.223
ec-earth3,AL012,2003,Apr-Aug,3141.34,1160.258,0.243,43.53
ec-earth3,AL012,2003,Mar-Jul,2682.664,777.24,0.243,42.446
ec-earth3,AL012,2004,Apr-Aug,2996.051,694.526,0,106.835
ec-earth3,AL012,2004,Mar-Jul,2559.896,444.462,0.243,202.312
ec-earth3,AL012,2005,Apr-Aug,3029.526,756.325,0,45.556
ec-earth3,AL012,2005,Mar-Jul,2574.463,519.104,1.584,102.526
ec-earth3,AL012,2006,Apr-Aug,2982.666,765.912,0,109.947
ec-earth3,AL012,2006,Mar-Jul,2530.475,532.458,0.243,186.902
ec-earth3,AL012,2007,Apr-Aug,3098.241,1014.378,0,30.703
ec-earth3,AL012,2007,Mar-Jul,2695.543,687.656,0,104.141
ec-earth3,AL012,2008,Apr-Aug,2999.092,937.862,0,100.382
ec-earth3,AL012,2008,Mar-Jul,2568.163,598.45,0,207.581
ec-earth3,AL012,2009,Apr-Aug,3077.788,864.662,0,95.157
ec-earth3,AL012,2009,Mar-Jul,2596.391,541.527,0,167.639
ec-earth3,AL012,2010,Apr-Aug,3002.97,807.109,0,84.093
ec-earth3,AL012,2010,Mar-Jul,2542.518,491.946,0.243,157.691
ec-earth3,AL012,2011,Apr-Aug,3020.466,895.167,0,39.716
ec-earth3,AL012,2011,Mar-Jul,2566.102,538.151,1.375,85.418
ec-earth3,AL012,2012,Apr-Aug,2999.385,1119.141,0,119.504
ec-earth3,AL012,2012,Mar-Jul,2566.114,732.573,0,135.834
ec-earth3,AL012,2013,Apr-Aug,3055.472,929.337,0,117.969
ec-earth3,AL012,2013,Mar-Jul,2612.191,579.146,0.132,267.536
ec-earth3,AL012,2014,Apr-Aug,2945.949,808.858,0,152.096
ec-earth3,AL012,2014,Mar-Jul,2523.504,501.982,0,193.443
ec-earth3,AL012,2015,Apr-Aug,3026.696,1104.949,0,71.649
ec-earth3,AL012,2015,Mar-Jul,2570.002,720.35,0.243,144.483
ec-earth3,AL012,2016,Apr-Aug,3057.219,974.441,0,103.349
ec-earth3,AL012,2016,Mar-Jul,2629.183,631.999,0,199.19
ec-earth3,AL012,2017,Apr-Aug,3051.651,1160.652,0,62.839
ec-earth3,AL012,2017,Mar-Jul,2664.147,739.351,0,90.727
ec-earth3,AL012,2018,Apr-Aug,3204.624,1074.988,0,76.329
ec-earth3,AL012,2018,Mar-Jul,2783.871,702.036,0.243,264.304
ec-earth3,AL012,2019,Apr-Aug,2993.578,1019.803,0,131.55
ec-earth3,AL012,2019,Mar-Jul,2601.04,635.137,0,139.303
ec-earth3,AL012,2020,Apr-Aug,3000.741,1000.13,0,54.397
ec-earth3,AL012,2020,Mar-Jul,2576.889,621.139,0,114.246
ec-earth3,AL012,2021,Apr-Aug,2979.438,1121.283,0,70.734
ec-earth3,AL012,2021,Mar-Jul,2486.8,728.09,0,126.383
ec-earth3,AL012,2022,Apr-Aug,3080.079,1205.653,0,75.224
ec-earth3,AL012,2022,Mar-Jul,2565.701,837.275,2.082,101.262
ec-earth3,AL012,2023,Apr-Aug,3004.069,1047.889,0,99.405
ec-earth3,AL012,2023,Mar-Jul,2590.482,694.275,0,166.118
ec-earth3,AL013,1989,Apr-Aug,2266.87,256.576,0,231.887
ec-earth3,AL013,1989,Mar-Jul,1800.937,126.527,1.254,244.22
ec-earth3,AL013,1990,Apr-Aug,2355.614,395.359,0.365,150.161
ec-earth3,AL013,1990,Mar-Jul,1889.695,241.552,4.658,153.546
ec-earth3,AL013,1991,Apr-Aug,2170.393,334.025,0.365,185.23
ec-earth3,AL013,1991,Mar-Jul,1707.263,227.468,1.442,207.265
ec-earth3,AL013,1992,Apr-Aug,2380.935,425.142,0.291,205.096
ec-earth3,AL013,1992,Mar-Jul,1748.798,162.157,12.973,242.486
ec-earth3,AL013,1993,Apr-Aug,2451.747,513.642,1.363,117.317
ec-earth3,AL013,1993,Mar-Jul,1854.074,278.257,14.695,236.147
ec-earth3,AL013,1994,Apr-Aug,2484.231,516.856,0.339,182.391
ec-earth3,AL013,1994,Mar-Jul,1953.299,280.45,1.035,175.975
ec-earth3,AL013,1995,Apr-Aug,2319.099,332.468,3.31,199.977
ec-earth3,AL013,1995,Mar-Jul,1782.495,241.944,8.442,247.74
ec-earth3,AL013,1996,Apr-Aug,2423.092,425.928,2.647,150.129
ec-earth3,AL013,1996,Mar-Jul,1810.327,258.159,15.916,221.886
ec-earth3,AL013,1997,Apr-Aug,2282.316,356.326,9.667,149.972
ec-earth3,AL013,1997,Mar-Jul,1746.226,261.061,17.465,171.629
ec-earth3,AL013,1998,Apr-Aug,2474.506,560.79,0.022,168.292
ec-earth3,AL013,1998,Mar-Jul,1854.014,326.136,15.86,164.447
ec-earth3,AL013,1999,Apr-Aug,2520.668,473.93,0.022,181.98
ec-earth3,AL013,1999,Mar-Jul,1940.354,259.898,5.455,219.61
ec-earth3,AL013,2000,Apr-Aug,2573.76,565.504,0.881,108.811
ec-earth3,AL013,2000,Mar-Jul,1974.202,319.693,14.499,177.74
ec-earth3,AL013,2001,Apr-Aug,2500.06,501.84,1.539,211.209
ec-earth3,AL013,2001,Mar-Jul,2031.591,266.501,1.865,231.022
ec-earth3,AL013,2002,Apr-Aug,2481.988,368.197,1.003,218.917
ec-earth3,AL013,2002,Mar-Jul,2011.23,270.291,2.077,230.62
ec-earth3,AL013,2003,Apr-Aug,2613.097,652.614,3.85,118.534
ec-earth3,AL013,2003,Mar-Jul,1981.11,396.84,16.774,113.396
ec-earth3,AL013,2004,Apr-Aug,2348.257,380.306,0,192.329
ec-earth3,AL013,2004,Mar-Jul,1816.765,231.795,6.341,248.225
ec-earth3,AL013,2005,Apr-Aug,2429.679,378.287,3.204,135.149
ec-earth3,AL013,2005,Mar-Jul,1905.838,254.345,15.06,174.462
ec-earth3,AL013,2006,Apr-Aug,2426.157,422.761,0.022,203.337
ec-earth3,AL013,2006,Mar-Jul,1891.605,282.406,6.893,274.762
ec-earth3,AL013,2007,Apr-Aug,2628.142,661.946,0.101,123.493
ec-earth3,AL013,2007,Mar-Jul,2083.149,423.452,0.761,193.771
ec-earth3,AL013,2008,Apr-Aug,2529.169,542.151,0.022,158.138
ec-earth3,AL013,2008,Mar-Jul,1964.041,313.805,1.491,259.221
ec-earth3,AL013,2009,Apr-Aug,2560.679,479.171,0,197.453
ec-earth3,AL013,2009,Mar-Jul,1960.768,280.956,7.635,277.533
ec-earth3,AL013,2010,Apr-Aug,2503.444,487.852,0.08,187.054
ec-earth3,AL013,2010,Mar-Jul,1932.2,254.277,7.254,274.464
ec-earth3,AL013,2011,Apr-Aug,2483.057,531.739,0.365,120.877
ec-earth3,AL013,2011,Mar-Jul,1900.962,263.038,8.912,171.516
ec-earth3,AL013,2012,Apr-Aug,2611.585,766.66,2.174,164.568
ec-earth3,AL013,2012,Mar-Jul,2024.929,477.137,8.306,174.667
ec-earth3,AL013,2013,Apr-Aug,2572.385,518.292,0,169.558
ec-earth3,AL013,2013,Mar-Jul,1998.919,293.941,4.382,335.248
ec-earth3,AL013,2014,Apr-Aug,2429.705,421.119,0.159,252.688
ec-earth3,AL013,2014,Mar-Jul,1902.555,219.893,0.906,305.928
ec-earth3,AL013,2015,Apr-Aug,2573.529,633.903,2.438,118.684
ec-earth3,AL013,2015,Mar-Jul,1953.036,383.241,7.44,202.565
