model,bin_id,delta_sv,n_years,cntr,crop,component,dln
HadGEM3-GC3-1MM,-12.5,-12.588,13,DE,Soft wheat,gdd_mj,0.138804209838556
HadGEM3-GC3-1MM,-11.5,-11.5321,21,DE,Soft wheat,gdd_mj,0.140026907223206
HadGEM3-GC3-1MM,-10.5,-10.4803,10,DE,Soft wheat,gdd_mj,0.133461978383079
HadGEM3-GC3-1MM,-9.5,-9.6161,7,DE,Soft wheat,gdd_mj,0.0838470601526963
HadGEM3-GC3-1MM,-8.5,-8.6582,7,DE,Soft wheat,gdd_mj,0.0928874455838752
HadGEM3-GC3-1MM,-7.5,-7.6345,8,DE,Soft wheat,gdd_mj,0.101962117321603
HadGEM3-GC3-1MM,-6.5,-6.4299,4,DE,Soft wheat,gdd_mj,0.0555008147909098
HadGEM3-GC3-1MM,-5.5,-5.3528,4,DE,Soft wheat,gdd_mj,0.0605202187172948
HadGEM3-GC3-1MM,-4.5,-4.3969,4,DE,Soft wheat,gdd_mj,0.0369930414149906
IPSL-CM6A-LR,-9.5,-9.3401,5,DE,Soft wheat,gdd_mj,0.101689700800865
IPSL-CM6A-LR,-8.5,-8.4598,8,DE,Soft wheat,gdd_mj,0.118046192087318
IPSL-CM6A-LR,-7.5,-7.5255,19,DE,Soft wheat,gdd_mj,0.0938143146425006
IPSL-CM6A-LR,-6.5,-6.5577,11,DE,Soft wheat,gdd_mj,0.0970126873174909
IPSL-CM6A-LR,-5.5,-5.5623,13,DE,Soft wheat,gdd_mj,0.0713435142143308
IPSL-CM6A-LR,-4.5,-4.3507,11,DE,Soft wheat,gdd_mj,0.0556246385260084
IPSL-CM6A-LR,-3.5,-3.4644,8,DE,Soft wheat,gdd_mj,0.0657707050289344
IPSL-CM6A-LR,-2.5,-2.5669,9,DE,Soft wheat,gdd_mj,0.0226454910881887
IPSL-CM6A-LR,-1.5,-1.2909,6,DE,Soft wheat,gdd_mj,0.0464082852490497
IPSL-CM6A-LR,-0.5,-0.6347,8,DE,Soft wheat,gdd_mj,0.00735653922127588
EC-Earth3,-9.5,-9.1554,4,DK,Soft wheat,gdd_mj,0.0887706245624931
EC-Earth3,-8.5,-8.4726,15,DK,Soft wheat,gdd_mj,0.0920146130937048
EC-Earth3,-7.5,-7.5562,20,DK,Soft wheat,gdd_mj,0.0782011503467125
EC-Earth3,-6.5,-6.4767,21,DK,Soft wheat,gdd_mj,0.0525920153147647
EC-Earth3,-5.5,-5.3342,8,DK,Soft wheat,gdd_mj,0.0492237369609969
EC-Earth3,-4.5,-4.5495,8,DK,Soft wheat,gdd_mj,0.0811306276983427
EC-Earth3,-3.5,-3.3459,9,DK,Soft wheat,gdd_mj,0.0592999119460645
EC-Earth3,-2.5,-2.4493,5,DK,Soft wheat,gdd_mj,0.0540219648799796
EC-Earth3,-1.5,-1.3807,6,DK,Soft wheat,gdd_mj,0.0190747561913375
EC-Earth3,-0.5,-0.6596,3,DK,Soft wheat,gdd_mj,0.0184003033474651
HadGEM3-GC3-1LL,-8.5,-8.3848,12,DK,Soft wheat,gdd_mj,0.0715114028449896
HadGEM3-GC3-1LL,-7.5,-7.5599,19,DK,Soft wheat,gdd_mj,0.0678395673823739
HadGEM3-GC3-1LL,-6.5,-6.5442,24,DK,Soft wheat,gdd_mj,0.0662799835725741
HadGEM3-GC3-1LL,-5.5,-5.5797,10,DK,Soft wheat,gdd_mj,0.0531726858259671
HadGEM3-GC3-1LL,-4.5,-4.5263,6,DK,Soft wheat,gdd_mj,0.0544781207118416
HadGEM3-GC3-1LL,-3.5,-3.7835,7,DK,Soft wheat,gdd_mj,0.0735842133985872
HadGEM3-GC3-1LL,-2.5,-2.4504,6,DK,Soft wheat,gdd_mj,0.0660069296909998
HadGEM3-GC3-1LL,-1.5,-1.3098,8,DK,Soft wheat,gdd_mj,0.0182761203515514
HadGEM3-GC3-1LL,-0.5,-0.331,6,DK,Soft wheat,gdd_mj,0.0169088527293582
HadGEM3-GC3-1MM,-14.5,-14.3032,4,DK,Soft wheat,gdd_mj,0.166245774430089
