model,bin_id,delta_sv,n_years,hos_year,fuel,component,dln,branch
IPSL-CM6A-LR,-8.5,-8.0124,1,57,Electricity,hdd_calendar,0.0205936936963262,energy Electricity
IPSL-CM6A-LR,-6.5,-6.674,1,58,Electricity,hdd_calendar,0.0597663795800146,energy Electricity
IPSL-CM6A-LR,-5.5,-5.697,1,59,Electricity,hdd_calendar,0.0302368976700939,energy Electricity
IPSL-CM6A-LR,-7.5,-7.0038,1,60,Electricity,hdd_calendar,0.0370316373323995,energy Electricity
IPSL-CM6A-LR,-7.5,-7.4198,1,61,Electricity,hdd_calendar,0.0243940050050009,energy Electricity
IPSL-CM6A-LR,-6.5,-6.1575,1,62,Electricity,hdd_calendar,0.0322531889200581,energy Electricity
IPSL-CM6A-LR,-7.5,-7.0646,1,63,Electricity,hdd_calendar,0.0452258673738302,energy Electricity
IPSL-CM6A-LR,-5.5,-5.9699,1,64,Electricity,hdd_calendar,0.0516697942369119,energy Electricity
IPSL-CM6A-LR,-6.5,-6.6177,1,65,Electricity,hdd_calendar,0.0835508868478305,energy Electricity
IPSL-CM6A-LR,-6.5,-6.4034,1,66,Electricity,hdd_calendar,0.0788305572907647,energy Electricity
IPSL-CM6A-LR,-7.5,-7.4208,1,67,Electricity,hdd_calendar,0.0793279096158204,energy Electricity
IPSL-CM6A-LR,-6.5,-6.7989,1,68,Electricity,hdd_calendar,0.0701460439828873,energy Electricity
IPSL-CM6A-LR,-7.5,-7.6028,1,69,Electricity,hdd_calendar,0.0553580475139446,energy Electricity
IPSL-CM6A-LR,-7.5,-7.1661,1,70,Electricity,hdd_calendar,0.0600168880087903,energy Electricity
IPSL-CM6A-LR,-7.5,-7.4013,1,71,Electricity,hdd_calendar,0.0504875462215121,energy Electricity
IPSL-CM6A-LR,-7.5,-7.6406,1,72,Electricity,hdd_calendar,0.0595941688300439,energy Electricity
IPSL-CM6A-LR,-6.5,-6.5805,1,73,Electricity,hdd_calendar,0.0716700700084611,energy Electricity
IPSL-CM6A-LR,-7.5,-7.7579,1,74,Electricity,hdd_calendar,0.0590586237626866,energy Electricity
IPSL-CM6A-LR,-7.5,-7.9349,1,75,Electricity,hdd_calendar,0.0708371871791736,energy Electricity
IPSL-CM6A-LR,-7.5,-7.941,1,76,Electricity,hdd_calendar,0.0558855880510245,energy Electricity
IPSL-CM6A-LR,-8.5,-8.2695,1,77,Electricity,hdd_calendar,0.0564176845664643,energy Electricity
IPSL-CM6A-LR,-7.5,-7.5299,1,78,Electricity,hdd_calendar,0.0451984337075003,energy Electricity
IPSL-CM6A-LR,-6.5,-6.2088,1,79,Electricity,hdd_calendar,0.0541771968864628,energy Electricity
IPSL-CM6A-LR,-7.5,-7.6756,1,80,Electricity,hdd_calendar,0.0502008842515433,energy Electricity
IPSL-CM6A-LR,-6.5,-6.6415,1,81,Electricity,hdd_calendar,0.06410685857372,energy Electricity
IPSL-CM6A-LR,-8.5,-8.0555,1,82,Electricity,hdd_calendar,0.0644070536956641,energy Electricity
IPSL-CM6A-LR,-7.5,-7.3084,1,84,Electricity,hdd_calendar,0.0488549409611277,energy Electricity
IPSL-CM6A-LR,-9.5,-9.384,1,85,Electricity,hdd_calendar,0.0790753664018563,energy Electricity
