model,bin_id,delta_sv,n_years,cntr,crop,component,dln
HadGEM3-GC3-1MM,-10.5,-10.4803,10,DE,Soft wheat,gdd,0.00656236999145227
HadGEM3-GC3-1MM,-9.5,-9.6161,7,DE,Soft wheat,gdd,-0.000691252966839633
HadGEM3-GC3-1MM,-8.5,-8.6582,7,DE,Soft wheat,gdd,-0.000778630737244275
HadGEM3-GC3-1MM,-7.5,-7.6345,8,DE,Soft wheat,gdd,-0.000919700835247549
HadGEM3-GC3-1MM,-6.5,-6.4299,4,DE,Soft wheat,gdd,-0.000420403153307821
HadGEM3-GC3-1MM,-5.5,-5.3528,4,DE,Soft wheat,gdd,-0.000438316886496708
HadGEM3-GC3-1MM,-4.5,-4.3969,4,DE,Soft wheat,gdd,-0.000415432754364264
IPSL-CM6A-LR,-9.5,-9.3401,5,DE,Soft wheat,gdd,-0.000716236684616053
IPSL-CM6A-LR,-8.5,-8.4598,8,DE,Soft wheat,gdd,0.00016614818459888
IPSL-CM6A-LR,-7.5,-7.5255,19,DE,Soft wheat,gdd,-0.000855355966078803
IPSL-CM6A-LR,-6.5,-6.5577,11,DE,Soft wheat,gdd,-0.000717073924426001
IPSL-CM6A-LR,-5.5,-5.5623,13,DE,Soft wheat,gdd,-0.000538291101431217
IPSL-CM6A-LR,-4.5,-4.3507,11,DE,Soft wheat,gdd,-0.000442583664672402
IPSL-CM6A-LR,-3.5,-3.4644,8,DE,Soft wheat,gdd,-0.000581674336682188
IPSL-CM6A-LR,-2.5,-2.5669,9,DE,Soft wheat,gdd,-0.00026551194791576
IPSL-CM6A-LR,-1.5,-1.2909,6,DE,Soft wheat,gdd,-0.000429980162457349
IPSL-CM6A-LR,-0.5,-0.6347,8,DE,Soft wheat,gdd,-6.67843777224063e-05
EC-Earth3,-9.5,-9.1554,4,DK,Soft wheat,gdd,-0.000689682416258704
EC-Earth3,-8.5,-8.4726,15,DK,Soft wheat,gdd,-0.0010798460715524
EC-Earth3,-7.5,-7.5562,20,DK,Soft wheat,gdd,-0.000843980526255668
EC-Earth3,-6.5,-6.4767,21,DK,Soft wheat,gdd,-0.000595638940685367
EC-Earth3,-5.5,-5.3342,8,DK,Soft wheat,gdd,-0.000325317839802595
EC-Earth3,-4.5,-4.5495,8,DK,Soft wheat,gdd,-0.00086347140593297
EC-Earth3,-3.5,-3.3459,9,DK,Soft wheat,gdd,-0.000450888485814813
EC-Earth3,-2.5,-2.4493,5,DK,Soft wheat,gdd,-0.000503188090929398
EC-Earth3,-1.5,-1.3807,6,DK,Soft wheat,gdd,-0.000290171985706209
EC-Earth3,-0.5,-0.6596,3,DK,Soft wheat,gdd,3.88061340766932e-05
HadGEM3-GC3-1LL,-8.5,-8.3848,12,DK,Soft wheat,gdd,-0.000936572777018142
HadGEM3-GC3-1LL,-7.5,-7.5599,19,DK,Soft wheat,gdd,-0.00078146214626244
HadGEM3-GC3-1LL,-6.5,-6.5442,24,DK,Soft wheat,gdd,-0.00072081542520971
HadGEM3-GC3-1LL,-5.5,-5.5797,10,DK,Soft wheat,gdd,-0.000592068184526625
HadGEM3-GC3-1LL,-4.5,-4.5263,6,DK,Soft wheat,gdd,-0.00041099499335443
HadGEM3-GC3-1LL,-3.5,-3.7835,7,DK,Soft wheat,gdd,-0.000899005043895152
HadGEM3-GC3-1LL,-2.5,-2.4504,6,DK,Soft wheat,gdd,-0.000382958374244097
HadGEM3-GC3-1LL,-1.5,-1.3098,8,DK,Soft wheat,gdd,2.69133238939126e-05
HadGEM3-GC3-1LL,-0.5,-0.331,6,DK,Soft wheat,gdd,-2.96782045531358e-05
HadGEM3-GC3-1MM,-14.5,-14.3032,4,DK,Soft wheat,gdd,0.0757819837273424
HadGEM3-GC3-1MM,-13.5,-13.3931,8,DK,Soft wheat,gdd,0.0843080903251002
HadGEM3-GC3-1MM,-12.5,-12.588,13,DK,Soft wheat,gdd,0.0885475633152979
HadGEM3-GC3-1MM,-11.5,-11.5321,21,DK,Soft wheat,gdd,0.0639239993279974
HadGEM3-GC3-1MM,-10.5,-10.4803,10,DK,Soft wheat,gdd,0.0427337020745836
HadGEM3-GC3-1MM,-9.5,-9.6161,7,DK,Soft wheat,gdd,0.00229677525565921
HadGEM3-GC3-1MM,-8.5,-8.6582,7,DK,Soft wheat,gdd,0.00142662621803908
HadGEM3-GC3-1MM,-7.5,-7.6345,8,DK,Soft wheat,gdd,-0.000653440113325197
HadGEM3-GC3-1MM,-6.5,-6.4299,4,DK,Soft wheat,gdd,-0.000190072213454947
HadGEM3-GC3-1MM,-5.5,-5.3528,4,DK,Soft wheat,gdd,-0.000533734149979242
HadGEM3-GC3-1MM,-4.5,-4.3969,4,DK,Soft wheat,gdd,-0.000392396744614618
IPSL-CM6A-LR,-9.5,-9.3401,5,DK,Soft wheat,gdd,0.00405565960755563
IPSL-CM6A-LR,-8.5,-8.4598,8,DK,Soft wheat,gdd,0.012871088097815
IPSL-CM6A-LR,-7.5,-7.5255,19,DK,Soft wheat,gdd,0.00131040597830992
IPSL-CM6A-LR,-6.5,-6.5577,11,DK,Soft wheat,gdd,0.00469438780989331
IPSL-CM6A-LR,-5.5,-5.5623,13,DK,Soft wheat,gdd,-0.000948444114526304
IPSL-CM6A-LR,-4.5,-4.3507,11,DK,Soft wheat,gdd,-0.000744730533394527
IPSL-CM6A-LR,-3.5,-3.4644,8,DK,Soft wheat,gdd,-0.000803503618740068
IPSL-CM6A-LR,-2.5,-2.5669,9,DK,Soft wheat,gdd,-0.000441532702411048
IPSL-CM6A-LR,-1.5,-1.2909,6,DK,Soft wheat,gdd,-0.000473723129874791
IPSL-CM6A-LR,-0.5,-0.6347,8,DK,Soft wheat,gdd,-0.000129747191538286
EC-Earth3,-9.5,-9.1554,4,EE,Soft wheat,gdd,-0.000700992075602859
EC-Earth3,-8.5,-8.4726,15,EE,Soft wheat,gdd,-0.000549469878229944
EC-Earth3,-7.5,-7.5562,20,EE,Soft wheat,gdd,-0.000614823289003388
EC-Earth3,-6.5,-6.4767,21,EE,Soft wheat,gdd,-0.000400794055415628
EC-Earth3,-5.5,-5.3342,8,EE,Soft wheat,gdd,-7.77593197006088e-05
EC-Earth3,-4.5,-4.5495,8,EE,Soft wheat,gdd,-0.000489353370388482
EC-Earth3,-3.5,-3.3459,9,EE,Soft wheat,gdd,-0.000473863829125752
EC-Earth3,-2.5,-2.4493,5,EE,Soft wheat,gdd,-0.000334754523090729
EC-Earth3,-1.5,-1.3807,6,EE,Soft wheat,gdd,2.28532721588203e-05
EC-Earth3,-0.5,-0.6596,3,EE,Soft wheat,gdd,0.000207701613288143
HadGEM3-GC3-1LL,-8.5,-8.3848,12,EE,Soft wheat,gdd,-0.000685373745850239
HadGEM3-GC3-1LL,-7.5,-7.5599,19,EE,Soft wheat,gdd,-0.00053917694008723
HadGEM3-GC3-1LL,-6.5,-6.5442,24,EE,Soft wheat,gdd,-0.000613069255378149
HadGEM3-GC3-1LL,-5.5,-5.5797,10,EE,Soft wheat,gdd,-0.000534386570666674
