model,bin_id,delta_sv,n_years,component,dln
EC-Earth3,-8.5,-8.4726,15,frost,-0.00319655034467284
EC-Earth3,-7.5,-7.5562,20,frost,-0.00059855907859559
EC-Earth3,-6.5,-6.4767,21,frost,-0.00092521769059611
EC-Earth3,-5.5,-5.3342,8,frost,-0.000958978294383557
EC-Earth3,-4.5,-4.5495,8,frost,-0.000985529563208792
EC-Earth3,-3.5,-3.3459,9,frost,-0.00142130042200162
EC-Earth3,-2.5,-2.4493,5,frost,-0.00108946829793714
EC-Earth3,-1.5,-1.3807,6,frost,-0.00210220066168731
EC-Earth3,-0.5,-0.6596,3,frost,0.000627966266157575
HadGEM3-GC3-1LL,-8.5,-8.3848,12,frost,-0.00141963618213156
HadGEM3-GC3-1LL,-7.5,-7.5599,19,frost,1.41260705433591e-05
HadGEM3-GC3-1LL,-6.5,-6.5442,24,frost,-0.00149294579101886
HadGEM3-GC3-1LL,-5.5,-5.5797,10,frost,-0.000687033578934791
HadGEM3-GC3-1LL,-4.5,-4.5263,6,frost,-0.000505253046317045
HadGEM3-GC3-1LL,-3.5,-3.7835,7,frost,-0.00101329908532515
HadGEM3-GC3-1LL,-2.5,-2.4504,6,frost,0.00306332576627688
HadGEM3-GC3-1LL,-1.5,-1.3098,8,frost,0.00210384857830891
HadGEM3-GC3-1LL,-0.5,-0.331,6,frost,2.0109195776538e-05
HadGEM3-GC3-1MM,-14.5,-14.3032,4,frost,0.00894318515872029
HadGEM3-GC3-1MM,-13.5,-13.3931,8,frost,0.0110141484525541
HadGEM3-GC3-1MM,-12.5,-12.588,13,frost,0.00905064216795086
HadGEM3-GC3-1MM,-11.5,-11.5321,21,frost,0.0058343688684727
HadGEM3-GC3-1MM,-10.5,-10.4803,10,frost,0.00519731149328186
HadGEM3-GC3-1MM,-9.5,-9.6161,7,frost,-0.00020672895073834
HadGEM3-GC3-1MM,-8.5,-8.6582,7,frost,0.000726841684901427
HadGEM3-GC3-1MM,-7.5,-7.6345,8,frost,0.000636954995058298
HadGEM3-GC3-1MM,-6.5,-6.4299,4,frost,0.00032790668752717
HadGEM3-GC3-1MM,-5.5,-5.3528,4,frost,0.00197235999615452
HadGEM3-GC3-1MM,-4.5,-4.3969,4,frost,-0.00122444874574693
IPSL-CM6A-LR,-9.5,-9.3401,5,frost,-0.00145981003319388
IPSL-CM6A-LR,-8.5,-8.4598,8,frost,-0.000392252137404031
IPSL-CM6A-LR,-7.5,-7.5255,19,frost,-0.00145300232717812
IPSL-CM6A-LR,-6.5,-6.5577,11,frost,-0.00257748611631267
IPSL-CM6A-LR,-5.5,-5.5623,13,frost,-0.00196054080607832
IPSL-CM6A-LR,-4.5,-4.3507,11,frost,-0.000419373480996366
IPSL-CM6A-LR,-3.5,-3.4644,8,frost,-0.000561930126922604
IPSL-CM6A-LR,-2.5,-2.5669,9,frost,-0.00171528617021828
IPSL-CM6A-LR,-1.5,-1.2909,6,frost,-0.00134374207590278
IPSL-CM6A-LR,-0.5,-0.6347,8,frost,0.000151472213411491
EC-Earth3,-9.5,-9.1554,4,precip,-0.00683016515602921
EC-Earth3,-8.5,-8.4726,15,precip,-0.0487835179304391
EC-Earth3,-7.5,-7.5562,20,precip,-0.0314201642056357
EC-Earth3,-6.5,-6.4767,21,precip,-0.0548501197096639
EC-Earth3,-5.5,-5.3342,8,precip,-0.0387199056043042
EC-Earth3,-4.5,-4.5495,8,precip,-0.0505047259282255
EC-Earth3,-3.5,-3.3459,9,precip,-0.0434029946303208
EC-Earth3,-2.5,-2.4493,5,precip,-0.0475986408280553
EC-Earth3,-1.5,-1.3807,6,precip,-0.0204592064005291
EC-Earth3,-0.5,-0.6596,3,precip,-0.0176721920281877
HadGEM3-GC3-1LL,-8.5,-8.3848,12,precip,-0.0523699674110432
HadGEM3-GC3-1LL,-7.5,-7.5599,19,precip,-0.0364725953548346
HadGEM3-GC3-1LL,-6.5,-6.5442,24,precip,-0.0380733165791853
HadGEM3-GC3-1LL,-5.5,-5.5797,10,precip,-0.0302560963474787
HadGEM3-GC3-1LL,-4.5,-4.5263,6,precip,-0.051039788772127
HadGEM3-GC3-1LL,-3.5,-3.7835,7,precip,-0.0241310887466398
HadGEM3-GC3-1LL,-2.5,-2.4504,6,precip,-0.0323458921589039
HadGEM3-GC3-1LL,-1.5,-1.3098,8,precip,0.0164324246766651
HadGEM3-GC3-1LL,-0.5,-0.331,6,precip,-0.00766422728411404
HadGEM3-GC3-1MM,-14.5,-14.3032,4,precip,0.0143859839783746
HadGEM3-GC3-1MM,-13.5,-13.3931,8,precip,0.0215580639764146
HadGEM3-GC3-1MM,-12.5,-12.588,13,precip,0.0139865757872045
HadGEM3-GC3-1MM,-11.5,-11.5321,21,precip,-0.00408955773759791
HadGEM3-GC3-1MM,-10.5,-10.4803,10,precip,-0.0170477292898299
HadGEM3-GC3-1MM,-9.5,-9.6161,7,precip,-0.0553456233941017
HadGEM3-GC3-1MM,-8.5,-8.6582,7,precip,-0.0324564781773063
HadGEM3-GC3-1MM,-7.5,-7.6345,8,precip,-0.0236675566446121
HadGEM3-GC3-1MM,-6.5,-6.4299,4,precip,-0.0389348667510679
HadGEM3-GC3-1MM,-5.5,-5.3528,4,precip,-0.0147807592295902
HadGEM3-GC3-1MM,-4.5,-4.3969,4,precip,-0.0178515135849631
IPSL-CM6A-LR,-9.5,-9.3401,5,precip,-0.0314761422994133
IPSL-CM6A-LR,-8.5,-8.4598,8,precip,-0.0303086981337775
IPSL-CM6A-LR,-7.5,-7.5255,19,precip,-0.0494011873510439
IPSL-CM6A-LR,-6.5,-6.5577,11,precip,-0.0625720761540563
IPSL-CM6A-LR,-5.5,-5.5623,13,precip,-0.0547154970823152
IPSL-CM6A-LR,-4.5,-4.3507,11,precip,-0.0312510152940541
IPSL-CM6A-LR,-3.5,-3.4644,8,precip,-0.0261857947288052
IPSL-CM6A-LR,-2.5,-2.5669,9,precip,-0.038322224242692
IPSL-CM6A-LR,-1.5,-1.2909,6,precip,-0.0267823824234162
IPSL-CM6A-LR,-0.5,-0.6347,8,precip,-0.00533472395805872
EC-Earth3,-9.5,-9.1554,4,precip2,-0.000477746294485426
EC-Earth3,-8.5,-8.4726,15,precip2,0.0312470306389546
EC-Earth3,-7.5,-7.5562,20,precip2,0.0206134924619826
EC-Earth3,-6.5,-6.4767,21,precip2,0.0369587817283924
EC-Earth3,-5.5,-5.3342,8,precip2,0.0234900558038227
EC-Earth3,-4.5,-4.5495,8,precip2,0.0320187415232283
EC-Earth3,-3.5,-3.3459,9,precip2,0.02961954165848
EC-Earth3,-2.5,-2.4493,5,precip2,0.0314011964833225
EC-Earth3,-1.5,-1.3807,6,precip2,0.0139344463316715
EC-Earth3,-0.5,-0.6596,3,precip2,0.00968429223980628
HadGEM3-GC3-1LL,-8.5,-8.3848,12,precip2,0.0343414690558042
HadGEM3-GC3-1LL,-7.5,-7.5599,19,precip2,0.0240098549865408
HadGEM3-GC3-1LL,-6.5,-6.5442,24,precip2,0.0254418536584023
HadGEM3-GC3-1LL,-5.5,-5.5797,10,precip2,0.0192518217711694
HadGEM3-GC3-1LL,-4.5,-4.5263,6,precip2,0.0328257828113611
HadGEM3-GC3-1LL,-3.5,-3.7835,7,precip2,0.0154348233946025
HadGEM3-GC3-1LL,-2.5,-2.4504,6,precip2,0.0208507646702335
HadGEM3-GC3-1LL,-1.5,-1.3098,8,precip2,-0.0159895360559663
HadGEM3-GC3-1LL,-0.5,-0.331,6,precip2,0.00382550089966923
HadGEM3-GC3-1MM,-14.5,-14.3032,4,precip2,-0.0301249440836042
HadGEM3-GC3-1MM,-13.5,-13.3931,8,precip2,-0.0323017298692805
HadGEM3-GC3-1MM,-12.5,-12.588,13,precip2,-0.026345678050513
HadGEM3-GC3-1MM,-11.5,-11.5321,21,precip2,-0.0120111924090304
HadGEM3-GC3-1MM,-10.5,-10.4803,10,precip2,0.000752679771641794
HadGEM3-GC3-1MM,-9.5,-9.6161,7,precip2,0.0320348309820169
HadGEM3-GC3-1MM,-8.5,-8.6582,7,precip2,0.0190726745577851
HadGEM3-GC3-1MM,-7.5,-7.6345,8,precip2,0.0101110917237773
HadGEM3-GC3-1MM,-6.5,-6.4299,4,precip2,0.0257704310413986
HadGEM3-GC3-1MM,-5.5,-5.3528,4,precip2,0.00801312060541221
HadGEM3-GC3-1MM,-4.5,-4.3969,4,precip2,0.0121867249478287
IPSL-CM6A-LR,-9.5,-9.3401,5,precip2,0.0168517287999799
IPSL-CM6A-LR,-8.5,-8.4598,8,precip2,0.0134859920107358
IPSL-CM6A-LR,-7.5,-7.5255,19,precip2,0.0301744286647797
IPSL-CM6A-LR,-6.5,-6.5577,11,precip2,0.0374264072099672
IPSL-CM6A-LR,-5.5,-5.5623,13,precip2,0.0358635446538182
IPSL-CM6A-LR,-4.5,-4.3507,11,precip2,0.0202408118883074
IPSL-CM6A-LR,-3.5,-3.4644,8,precip2,0.0150238934031588
IPSL-CM6A-LR,-2.5,-2.5669,9,precip2,0.0273088060538753
IPSL-CM6A-LR,-1.5,-1.2909,6,precip2,0.0176657580584712
IPSL-CM6A-LR,-0.5,-0.6347,8,precip2,0.0008747777961827
