model,cntr,country_id,component,dln,fuel
ec-earth3,DK,DNK,cdd_jja,0.00466706068246297,Electricity
ipsl-cm6a-lr,DK,DNK,cdd_jja,0.0033335400026164,Electricity
ec-earth3,EE,EST,cdd_jja,0.00553763936924709,Electricity
ipsl-cm6a-lr,EE,EST,cdd_jja,0.00532823815305217,Electricity
ec-earth3,EL,GRC,cdd_jja,0.0254972259457732,Electricity
ipsl-cm6a-lr,EL,GRC,cdd_jja,0.0255703702572831,Electricity
ec-earth3,ES,ESP,cdd_jja,0.0281050801672917,Electricity
ipsl-cm6a-lr,ES,ESP,cdd_jja,0.0219643600614632,Electricity
ec-earth3,FI,FIN,cdd_jja,0.00436933672875614,Electricity
ipsl-cm6a-lr,FI,FIN,cdd_jja,0.00424101796640549,Electricity
ec-earth3,FR,FRA,cdd_jja,0.0155132673135929,Electricity
ipsl-cm6a-lr,FR,FRA,cdd_jja,0.0126139262502018,Electricity
ec-earth3,HR,HRV,cdd_jja,0.021443713879893,Electricity
ipsl-cm6a-lr,HR,HRV,cdd_jja,0.0236287965978545,Electricity
ec-earth3,HU,HUN,cdd_jja,0.0178328622895725,Electricity
ipsl-cm6a-lr,HU,HUN,cdd_jja,0.0225136620645374,Electricity
ec-earth3,IE,IRL,cdd_jja,0.00137456349268544,Electricity
ipsl-cm6a-lr,IE,IRL,cdd_jja,0.000539575597906128,Electricity
ec-earth3,IT,ITA,cdd_jja,0.0256587366109617,Electricity
ipsl-cm6a-lr,IT,ITA,cdd_jja,0.0248061277848466,Electricity
ec-earth3,LT,LTU,cdd_jja,0.00694574369410372,Electricity
ipsl-cm6a-lr,LT,LTU,cdd_jja,0.0095324876909527,Electricity
ec-earth3,LU,LUX,cdd_jja,0.01232911268183,Electricity
ipsl-cm6a-lr,LU,LUX,cdd_jja,0.00979688889332171,Electricity
ec-earth3,LV,LVA,cdd_jja,0.00672098958724007,Electricity
ipsl-cm6a-lr,LV,LVA,cdd_jja,0.00821144123477448,Electricity
ec-earth3,MT,MLT,cdd_jja,0.027687717068402,Electricity
ipsl-cm6a-lr,MT,MLT,cdd_jja,0.0285210475488478,Electricity
ec-earth3,NL,NLD,cdd_jja,0.00835751177696086,Electricity
ipsl-cm6a-lr,NL,NLD,cdd_jja,0.00543169570039946,Electricity
ec-earth3,NO,NOR,cdd_jja,0.00231300893481205,Electricity
ipsl-cm6a-lr,NO,NOR,cdd_jja,0.00177290994290585,Electricity
ec-earth3,PL,POL,cdd_jja,0.010212027567711,Electricity
ipsl-cm6a-lr,PL,POL,cdd_jja,0.0123900008505049,Electricity
ec-earth3,PT,PRT,cdd_jja,0.0154320976274153,Electricity
ipsl-cm6a-lr,PT,PRT,cdd_jja,0.0111394381196695,Electricity
ec-earth3,RO,ROU,cdd_jja,0.0163273194483694,Electricity
ipsl-cm6a-lr,RO,ROU,cdd_jja,0.0206636823551211,Electricity
ec-earth3,SE,SWE,cdd_jja,0.0043415968467524,Electricity
ipsl-cm6a-lr,SE,SWE,cdd_jja,0.00408042324071716,Electricity
ec-earth3,SI,SVN,cdd_jja,0.0155697502494339,Electricity
ipsl-cm6a-lr,SI,SVN,cdd_jja,0.0165814708515704,Electricity
ec-earth3,SK,SVK,cdd_jja,0.012568870750029,Electricity
ipsl-cm6a-lr,SK,SVK,cdd_jja,0.0154310072232485,Electricity
ec-earth3,UK,GBR,cdd_jja,0.000972160738964489,Electricity
