model,bin_id,delta_sv,n_years,cntr,crop,component,dln
IPSL-CM6A-LR,-2.5,-2.2964,6,FR,Soft wheat,gdd_mj,-0.119859238091125
EC-Earth3,-4.5,-4.5546,8,HU,Soft wheat,gdd_mj,-0.199694530316817
EC-Earth3,-3.5,-3.4737,8,HU,Soft wheat,gdd_mj,-0.249116467467044
EC-Earth3,-2.5,-2.5448,11,HU,Soft wheat,gdd_mj,-0.183446346456024
IPSL-CM6A-LR,-5.5,-5.3985,4,HU,Soft wheat,gdd_mj,-0.20000909048408
IPSL-CM6A-LR,-4.5,-4.3046,12,HU,Soft wheat,gdd_mj,-0.184396551062952
IPSL-CM6A-LR,-3.5,-3.5013,7,HU,Soft wheat,gdd_mj,-0.1632573873732
IPSL-CM6A-LR,-2.5,-2.2964,6,HU,Soft wheat,gdd_mj,-0.159483518125688
EC-Earth3,-4.5,-4.5546,8,IT,Soft wheat,gdd_mj,-0.217585163567797
EC-Earth3,-3.5,-3.4737,8,IT,Soft wheat,gdd_mj,-0.228361363289397
EC-Earth3,-2.5,-2.5448,11,IT,Soft wheat,gdd_mj,-0.199608080825577
IPSL-CM6A-LR,-5.5,-5.3985,4,IT,Soft wheat,gdd_mj,-0.184734880712551
IPSL-CM6A-LR,-4.5,-4.3046,12,IT,Soft wheat,gdd_mj,-0.173118972904387
IPSL-CM6A-LR,-3.5,-3.5013,7,IT,Soft wheat,gdd_mj,-0.155488446804275
IPSL-CM6A-LR,-2.5,-2.2964,6,IT,Soft wheat,gdd_mj,-0.144494096866155
EC-Earth3,-4.5,-4.5546,8,LT,Soft wheat,gdd_mj,-0.149956642935612
EC-Earth3,-3.5,-3.4737,8,LT,Soft wheat,gdd_mj,-0.204278590392758
EC-Earth3,-2.5,-2.5448,11,LT,Soft wheat,gdd_mj,-0.115667359365778
IPSL-CM6A-LR,-5.5,-5.3985,4,LT,Soft wheat,gdd_mj,-0.218254821300986
IPSL-CM6A-LR,-4.5,-4.3046,12,LT,Soft wheat,gdd_mj,-0.177853247829765
IPSL-CM6A-LR,-3.5,-3.5013,7,LT,Soft wheat,gdd_mj,-0.182543377878552
IPSL-CM6A-LR,-2.5,-2.2964,6,LT,Soft wheat,gdd_mj,-0.139709653386173
EC-Earth3,-4.5,-4.5546,8,LV,Soft wheat,gdd_mj,-0.155397809931719
EC-Earth3,-3.5,-3.4737,8,LV,Soft wheat,gdd_mj,-0.203881351896867
EC-Earth3,-2.5,-2.5448,11,LV,Soft wheat,gdd_mj,-0.120234097647861
IPSL-CM6A-LR,-5.5,-5.3985,4,LV,Soft wheat,gdd_mj,-0.217601994966705
IPSL-CM6A-LR,-4.5,-4.3046,12,LV,Soft wheat,gdd_mj,-0.178977641801441
IPSL-CM6A-LR,-3.5,-3.5013,7,LV,Soft wheat,gdd_mj,-0.183071933190798
IPSL-CM6A-LR,-2.5,-2.2964,6,LV,Soft wheat,gdd_mj,-0.135864019946845
EC-Earth3,-4.5,-4.5546,8,RO,Soft wheat,gdd_mj,-0.199635876447981
EC-Earth3,-3.5,-3.4737,8,RO,Soft wheat,gdd_mj,-0.237742377924811
EC-Earth3,-2.5,-2.5448,11,RO,Soft wheat,gdd_mj,-0.175550779487814
IPSL-CM6A-LR,-5.5,-5.3985,4,RO,Soft wheat,gdd_mj,-0.203613702398698
IPSL-CM6A-LR,-4.5,-4.3046,12,RO,Soft wheat,gdd_mj,-0.18625523911271
IPSL-CM6A-LR,-3.5,-3.5013,7,RO,Soft wheat,gdd_mj,-0.15691668723436
IPSL-CM6A-LR,-2.5,-2.2964,6,RO,Soft wheat,gdd_mj,-0.168205360005894
EC-Earth3,-4.5,-4.5546,8,SE,Soft wheat,gdd_mj,-0.155990659761803
EC-Earth3,-3.5,-3.4737,8,SE,Soft wheat,gdd_mj,-0.205984464237035
EC-Earth3,-2.5,-2.5448,11,SE,Soft wheat,gdd_mj,-0.139485084578227
IPSL-CM6A-LR,-5.5,-5.3985,4,SE,Soft wheat,gdd_mj,-0.189371255596769
IPSL-CM6A-LR,-4.5,-4.3046,12,SE,Soft wheat,gdd_mj,-0.158948493506557
IPSL-CM6A-LR,-3.5,-3.5013,7,SE,Soft wheat,gdd_mj,-0.173075537701879
IPSL-CM6A-LR,-2.5,-2.2964,6,SE,Soft wheat,gdd_mj,-0.118312039367114
EC-Earth3,-4.5,-4.5546,8,SK,Soft wheat,gdd_mj,-0.193777936258987
EC-Earth3,-3.5,-3.4737,8,SK,Soft wheat,gdd_mj,-0.247246165625054
EC-Earth3,-2.5,-2.5448,11,SK,Soft wheat,gdd_mj,-0.170303383034886
IPSL-CM6A-LR,-5.5,-5.3985,4,SK,Soft wheat,gdd_mj,-0.201067499856225
IPSL-CM6A-LR,-4.5,-4.3046,12,SK,Soft wheat,gdd_mj,-0.183550693888055
IPSL-CM6A-LR,-3.5,-3.5013,7,SK,Soft wheat,gdd_mj,-0.168021994974786
