model,bin_id,delta_sv,n_years,cntr,crop,component,dln
EC-Earth3,-2.5,-2.5562,17,LV,Soft wheat,gdd,0.000101422519269192
EC-Earth3,-1.5,-1.5166,7,LV,Soft wheat,gdd,-0.000282590868228907
IPSL-CM6A-LR,-3.5,-3.4513,9,LV,Soft wheat,gdd,0.000129885231136687
IPSL-CM6A-LR,-2.5,-2.5185,16,LV,Soft wheat,gdd,0.00012284587776342
IPSL-CM6A-LR,-1.5,-1.7768,5,LV,Soft wheat,gdd,0.000121282908502645
EC-Earth3,-3.5,-3.2771,5,RO,Soft wheat,gdd,0.00011027408594079
EC-Earth3,-2.5,-2.5562,17,RO,Soft wheat,gdd,0.00018419806230912
EC-Earth3,-1.5,-1.5166,7,RO,Soft wheat,gdd,0.000321019689806383
IPSL-CM6A-LR,-3.5,-3.4513,9,RO,Soft wheat,gdd,0.000362499553007513
IPSL-CM6A-LR,-2.5,-2.5185,16,RO,Soft wheat,gdd,0.000144839833957513
IPSL-CM6A-LR,-1.5,-1.7768,5,RO,Soft wheat,gdd,0.000396697871585812
EC-Earth3,-3.5,-3.2771,5,SE,Soft wheat,gdd,-0.000300227283115909
EC-Earth3,-2.5,-2.5562,17,SE,Soft wheat,gdd,0.000242401454521621
EC-Earth3,-1.5,-1.5166,7,SE,Soft wheat,gdd,-9.77445674797393e-05
IPSL-CM6A-LR,-3.5,-3.4513,9,SE,Soft wheat,gdd,1.045703404301e-05
IPSL-CM6A-LR,-2.5,-2.5185,16,SE,Soft wheat,gdd,-6.51292720882849e-05
IPSL-CM6A-LR,-1.5,-1.7768,5,SE,Soft wheat,gdd,9.28891358959299e-05
EC-Earth3,-3.5,-3.2771,5,SK,Soft wheat,gdd,0.000212494807177365
EC-Earth3,-2.5,-2.5562,17,SK,Soft wheat,gdd,0.000437587246761683
EC-Earth3,-1.5,-1.5166,7,SK,Soft wheat,gdd,6.11143262098373e-05
IPSL-CM6A-LR,-3.5,-3.4513,9,SK,Soft wheat,gdd,0.000556299555749787
IPSL-CM6A-LR,-2.5,-2.5185,16,SK,Soft wheat,gdd,0.0005146211438522
IPSL-CM6A-LR,-1.5,-1.7768,5,SK,Soft wheat,gdd,0.000500417001445533
EC-Earth3,-3.5,-3.2771,5,EL,Durum wheat,gdd,0.000508101060421746
EC-Earth3,-2.5,-2.5562,17,EL,Durum wheat,gdd,0.000796443766616534
EC-Earth3,-1.5,-1.5166,7,EL,Durum wheat,gdd,0.000805084858584907
IPSL-CM6A-LR,-3.5,-3.4513,9,EL,Durum wheat,gdd,0.000595750747688678
IPSL-CM6A-LR,-2.5,-2.5185,16,EL,Durum wheat,gdd,0.00031622977472968
IPSL-CM6A-LR,-1.5,-1.7768,5,EL,Durum wheat,gdd,0.00156079294084903
EC-Earth3,-3.5,-3.2771,5,ES,Durum wheat,gdd,-0.000187019680135645
EC-Earth3,-2.5,-2.5562,17,ES,Durum wheat,gdd,-0.000413202708742702
EC-Earth3,-1.5,-1.5166,7,ES,Durum wheat,gdd,0.000943335966010901
IPSL-CM6A-LR,-3.5,-3.4513,9,ES,Durum wheat,gdd,0.000956932211866758
IPSL-CM6A-LR,-2.5,-2.5185,16,ES,Durum wheat,gdd,-0.000426586913189822
IPSL-CM6A-LR,-1.5,-1.7768,5,ES,Durum wheat,gdd,0.000205168605951638
EC-Earth3,-3.5,-3.2771,5,FR,Durum wheat,gdd,0.000338669002038327
EC-Earth3,-2.5,-2.5562,17,FR,Durum wheat,gdd,0.000665342518726106
EC-Earth3,-1.5,-1.5166,7,FR,Durum wheat,gdd,0.000444555325696588
IPSL-CM6A-LR,-3.5,-3.4513,9,FR,Durum wheat,gdd,0.000545485551465986
IPSL-CM6A-LR,-2.5,-2.5185,16,FR,Durum wheat,gdd,0.000748848705312445
IPSL-CM6A-LR,-1.5,-1.7768,5,FR,Durum wheat,gdd,-0.000309984679448341
EC-Earth3,-3.5,-3.2771,5,HU,Durum wheat,gdd,0.000112639579818864
EC-Earth3,-2.5,-2.5562,17,HU,Durum wheat,gdd,0.0011093579569629
EC-Earth3,-1.5,-1.5166,7,HU,Durum wheat,gdd,0.00079695085258356
IPSL-CM6A-LR,-3.5,-3.4513,9,HU,Durum wheat,gdd,0.000595793594881195
IPSL-CM6A-LR,-2.5,-2.5185,16,HU,Durum wheat,gdd,0.000954774412612734
IPSL-CM6A-LR,-1.5,-1.7768,5,HU,Durum wheat,gdd,0.0013842616830009
EC-Earth3,-3.5,-3.2771,5,IT,Durum wheat,gdd,0.000663215250936363
EC-Earth3,-2.5,-2.5562,17,IT,Durum wheat,gdd,0.000427215382916492
EC-Earth3,-1.5,-1.5166,7,IT,Durum wheat,gdd,0.000488657550071244
IPSL-CM6A-LR,-3.5,-3.4513,9,IT,Durum wheat,gdd,0.00062438546100061
IPSL-CM6A-LR,-2.5,-2.5185,16,IT,Durum wheat,gdd,0.000842519297311056
IPSL-CM6A-LR,-1.5,-1.7768,5,IT,Durum wheat,gdd,0.000713542120795715
EC-Earth3,-3.5,-3.2771,5,RO,Durum wheat,gdd,0.00030986537044714
EC-Earth3,-2.5,-2.5562,17,RO,Durum wheat,gdd,0.000501301737759343
EC-Earth3,-1.5,-1.5166,7,RO,Durum wheat,gdd,0.000942753233885576
IPSL-CM6A-LR,-3.5,-3.4513,9,RO,Durum wheat,gdd,0.00113400132377735
IPSL-CM6A-LR,-2.5,-2.5185,16,RO,Durum wheat,gdd,0.000473506262138519
IPSL-CM6A-LR,-1.5,-1.7768,5,RO,Durum wheat,gdd,0.000864323642798568
