model,cntr,country_id,component,dln,fuel
ec-earth3,DK,DNK,cdd_jja,0.0159948770259912,Electricity
ipsl-cm6a-lr,DK,DNK,cdd_jja,0.0155836638066024,Electricity
ec-earth3,EE,EST,cdd_jja,0.0161080173623398,Electricity
ipsl-cm6a-lr,EE,EST,cdd_jja,0.024769577437175,Electricity
ec-earth3,EL,GRC,cdd_jja,0.0787831403857954,Electricity
ipsl-cm6a-lr,EL,GRC,cdd_jja,0.0702031861588045,Electricity
ec-earth3,ES,ESP,cdd_jja,0.0700968499444569,Electricity
ipsl-cm6a-lr,ES,ESP,cdd_jja,0.0499341864959033,Electricity
ec-earth3,FI,FIN,cdd_jja,0.0138404128570339,Electricity
ipsl-cm6a-lr,FI,FIN,cdd_jja,0.0213283055028774,Electricity
ec-earth3,FR,FRA,cdd_jja,0.0471776447621981,Electricity
ipsl-cm6a-lr,FR,FRA,cdd_jja,0.0369343880191495,Electricity
ec-earth3,HR,HRV,cdd_jja,0.0777684102681585,Electricity
ipsl-cm6a-lr,HR,HRV,cdd_jja,0.0602841719987997,Electricity
ec-earth3,HU,HUN,cdd_jja,0.0714213420778022,Electricity
ipsl-cm6a-lr,HU,HUN,cdd_jja,0.0606409086260145,Electricity
ec-earth3,IE,IRL,cdd_jja,0.00540988761706319,Electricity
ipsl-cm6a-lr,IE,IRL,cdd_jja,0.00557070042358488,Electricity
ec-earth3,IT,ITA,cdd_jja,0.0827662559586661,Electricity
ipsl-cm6a-lr,IT,ITA,cdd_jja,0.0622388741243967,Electricity
ec-earth3,LT,LTU,cdd_jja,0.0226084399947168,Electricity
ipsl-cm6a-lr,LT,LTU,cdd_jja,0.0342007011567807,Electricity
ec-earth3,LU,LUX,cdd_jja,0.0368398281698034,Electricity
ipsl-cm6a-lr,LU,LUX,cdd_jja,0.0326072281235657,Electricity
ec-earth3,LV,LVA,cdd_jja,0.0201246737673817,Electricity
ipsl-cm6a-lr,LV,LVA,cdd_jja,0.031615919887432,Electricity
ec-earth3,MT,MLT,cdd_jja,0.0792326922156894,Electricity
ipsl-cm6a-lr,MT,MLT,cdd_jja,0.0683069296965487,Electricity
ec-earth3,NL,NLD,cdd_jja,0.0240662667495801,Electricity
ipsl-cm6a-lr,NL,NLD,cdd_jja,0.0197507523704979,Electricity
ec-earth3,NO,NOR,cdd_jja,0.00812486314392947,Electricity
ipsl-cm6a-lr,NO,NOR,cdd_jja,0.00952001346728436,Electricity
ec-earth3,PL,POL,cdd_jja,0.0358123185153315,Electricity
ipsl-cm6a-lr,PL,POL,cdd_jja,0.0386901131923864,Electricity
ec-earth3,PT,PRT,cdd_jja,0.030160710102569,Electricity
ipsl-cm6a-lr,PT,PRT,cdd_jja,0.0284204686685009,Electricity
ec-earth3,RO,ROU,cdd_jja,0.0674776991357702,Electricity
ipsl-cm6a-lr,RO,ROU,cdd_jja,0.0596748105342175,Electricity
ec-earth3,SE,SWE,cdd_jja,0.0155872403322696,Electricity
ipsl-cm6a-lr,SE,SWE,cdd_jja,0.0187401221725283,Electricity
ec-earth3,SI,SVN,cdd_jja,0.0582262304066887,Electricity
ipsl-cm6a-lr,SI,SVN,cdd_jja,0.0449130061562259,Electricity
ec-earth3,SK,SVK,cdd_jja,0.0502297732574432,Electricity
ipsl-cm6a-lr,SK,SVK,cdd_jja,0.0443278952803137,Electricity
ec-earth3,UK,GBR,cdd_jja,0.00345082387479889,Electricity
ipsl-cm6a-lr,UK,GBR,cdd_jja,0.00314572878892439,Electricity
ec-earth3,AT,AUT,hdd_octmar,-0.124064431824448,Natural gas
ipsl-cm6a-lr,AT,AUT,hdd_octmar,-0.111869790994628,Natural gas
ec-earth3,BE,BEL,hdd_octmar,-0.0958952768982337,Natural gas
ipsl-cm6a-lr,BE,BEL,hdd_octmar,-0.097449582542256,Natural gas
ec-earth3,BG,BGR,hdd_octmar,-0.124893000809337,Natural gas
ipsl-cm6a-lr,BG,BGR,hdd_octmar,-0.0960780026667871,Natural gas
