eobs_cell_id,cntr,pop,w_pop
55478,RO,4610,0.000242248316610668
53159,RO,4504,0.000236678181781876
54071,RO,4413,0.0002318962735798
55474,RO,4398,0.000231108046953084
52697,RO,4338,0.00022795514044622
54540,RO,4184,0.000219862680411938
54091,RO,4092,0.000215028223768081
57322,RO,3967,0.000208459668545449
55479,RO,3862,0.000202942082158438
51767,RO,3620,0.000190225359247422
51293,RO,3575,0.000187860679367275
53614,RO,3507,0.000184287385326163
56425,RO,3128,0.000164371525891143
55926,RO,2804,0.000147345830754081
55934,RO,2675,0.000140567081764324
50847,RO,2305,0.000121124158305334
56395,RO,2167,0.000113872473339548
51766,RO,2140,0.00011245366541146
52681,RO,2058,0.000108144693185413
59191,RO,2030,0.000106673336815543
56856,RO,1894,9.95267487333198e-05
55960,RO,1686,8.85966728428602e-05
55938,RO,1575,8.2763795805163e-05
56392,RO,1522,7.9978728390767e-05
51292,RO,1503,7.8980307996927e-05
56397,RO,1449,7.614269214075e-05
59189,RO,1351,7.09929448462065e-05
51303,RO,1347,7.07827510790823e-05
58253,RO,1291,6.78400383393431e-05
57350,RO,1129,5.93271907708121e-05
57323,RO,1072,5.63319295892919e-05
56424,RO,843,4.42983364214301e-05
55958,RO,840,4.41406910960869e-05
50843,RO,839,4.40881426543059e-05
50832,RO,802,4.21438503084068e-05
51301,RO,779,4.09352361474425e-05
54996,RO,727,3.82027171748276e-05
58738,RO,685,3.59956826200233e-05
56888,RO,639,3.35784542980947e-05
55961,RO,614,3.22647432535683e-05
56887,RO,611,3.21070979282251e-05
55933,RO,501,2.6326769332309e-05
55484,RO,452,2.37518956850373e-05
52695,RO,359,1.88648905993991e-05
55473,RO,353,1.85495999487127e-05
54070,RO,318,1.67104044863758e-05
52707,RO,288,1.51339512329441e-05
57788,RO,281,1.47661121404767e-05
59188,RO,248,1.30320135617019e-05
57787,RO,146,7.67207250003416e-06
50833,RO,134,7.04149119866149e-06
55472,RO,126,6.62110366441304e-06
59204,RO,114,5.99052236304037e-06
50830,RO,66,3.46819715754969e-06
50381,RO,64,3.36310027398758e-06
55937,RO,55,2.89016429795807e-06
58737,RO,33,1.73409857877484e-06
59187,RO,28,1.47135636986956e-06
55959,RO,3,1.57645325343168e-07
57321,RS,487,0.345880681818182
56856,RS,366,0.259943181818182
57322,RS,183,0.129971590909091
56847,RS,99,0.0703125
55918,RS,66,0.046875
55926,RS,47,0.0333806818181818
57789,RS,42,0.0298295454545455
55455,RS,36,0.0255681818181818
54531,RS,35,0.0248579545454545
54530,RS,21,0.0149147727272727
54990,RS,9,0.00639204545454546
57325,RS,9,0.00639204545454546
57324,RS,7,0.00497159090909091
61500,RS,1,0.000710227272727273
29931,SE,938412,0.0913007919833793
29930,SE,694600,0.0675796239942107
36871,SE,595052,0.0578943138741766
33154,SE,400972,0.0390117146446972
33155,SE,225163,0.0219067533507176
30395,SE,205991,0.0200414545438979
29001,SE,204322,0.0198790727522965
30394,SE,165029,0.0160561442098195
35941,SE,139516,0.0135739113463523
31777,SE,138091,0.0134352690137987
29461,SE,121874,0.0118574706229059
32691,SE,116779,0.0113617634759861
31315,SE,115029,0.0111915009623237
29919,SE,114199,0.0111107478844153
36407,SE,103180,0.0100386778055322
30393,SE,100473,0.00977530602011277
27607,SE,99843,0.00971401151519432
24359,SE,94596,0.00920351585280212
29466,SE,94546,0.00919865120955463
32690,SE,93261,0.00907362987809399
35014,SE,90232,0.0087789297901607
33158,SE,82810,0.00805682214650243
31764,SE,82704,0.00804650910281774
32699,SE,81347,0.0079144826850807
21588,SE,74202,0.00721932516501356
34558,SE,73305,0.00713205346515349
35942,SE,71525,0.00695887216554264
35029,SE,65785,0.00640041112073013
18347,SE,63379,0.00616632448766064
33619,SE,60938,0.0059288326043179
29913,SE,60657,0.00590149330926697
35953,SE,58871,0.00572772825246642
35947,SE,57247,0.00556972463978776
34084,SE,57066,0.00555211463123183
29924,SE,53006,0.00515710559953517
29925,SE,52178,0.00507654710735664
22957,SE,51017,0.00496359009114979
31770,SE,50654,0.00492827278117297
30383,SE,49660,0.00483156367341276
35949,SE,47600,0.00463114037161594
35479,SE,47167,0.00458901256109262
36872,SE,45798,0.00445581862897619
27601,SE,44877,0.00436621190035732
29912,SE,44616,0.00434081846260539
32692,SE,43869,0.0042681406924878
34549,SE,43783,0.00425977350610211
29465,SE,43120,0.00419526833664032
31762,SE,42847,0.00416870738450899
36874,SE,40720,0.00396176546076052
29467,SE,38317,0.00372797070628588
18808,SE,35591,0.00346275035643241
36873,SE,35363,0.00344056758322383
28064,SE,35063,0.00341137972373886
32700,SE,33992,0.0033071790653775
33180,SE,33894,0.00329764436461241
32226,SE,33821,0.00329054198547106
29463,SE,33608,0.00326981860523673
31311,SE,33593,0.00326835921226248
32693,SE,33067,0.00321718316529883
29460,SE,32510,0.00316299103952172
29005,SE,32389,0.00315121860286278
21587,SE,31893,0.00310296134184763
29927,SE,31882,0.00310189112033318
36408,SE,31678,0.00308204337588339
22509,SE,30296,0.00294758463652261
33163,SE,29658,0.00288551178868457
36409,SE,29123,0.00283346010593636
35946,SE,28020,0.00272614607589661
29459,SE,27563,0.0026816832366145
30855,SE,27160,0.00264247421203968
31318,SE,26939,0.00262097248888575
27606,SE,25807,0.00251083696576245
36875,SE,24902,0.00242278692298277
32233,SE,24755,0.00240848487183514
34091,SE,24324,0.00236655164704172
31314,SE,23658,0.00230175459898508
33165,SE,23655,0.00230146272039023
31775,SE,23585,0.00229465221984374
33625,SE,23556,0.00229183072676019
29469,SE,23369,0.00227363696101455
19734,SE,23350,0.00227178839658051
31306,SE,23218,0.00225894573840712
29929,SE,22911,0.00222907682886749
36411,SE,22631,0.00220183482668152
17881,SE,22593,0.00219813769781342
31761,SE,22478,0.00218694901834418
25751,SE,22475,0.00218665713974933
28527,SE,21729,0.00211407666249669
30392,SE,21725,0.00211368749103689
31303,SE,21270,0.00206941923748468
29455,SE,21082,0.0020511281788741
34554,SE,21067,0.00204966878589985
33157,SE,21013,0.00204441497119256
30851,SE,20798,0.00202349700522832
35943,SE,20765,0.00202028634068498
29915,SE,20300,0.00197504515848327
33631,SE,19672,0.00191394523929472
33636,SE,19661,0.00191287501778027
26212,SE,19427,0.00189010848738199
29458,SE,18669,0.00181636049574996
29445,SE,18658,0.00181529027423551
31768,SE,18573,0.00180702038071476
32709,SE,18569,0.00180663120925496
34557,SE,18457,0.00179573440838057
31767,SE,18253,0.00177588666393079
28997,SE,18222,0.00177287058511734
27600,SE,17965,0.00174786631882522
28531,SE,17944,0.00174582316866127
32227,SE,17857,0.00173735868941063
29917,SE,17835,0.00173521824638173
31776,SE,17462,0.00169892800775541
32696,SE,17344,0.00168744744969132
33159,SE,17313,0.00168443137087787
33156,SE,16838,0.00163821726002666
23898,SE,16797,0.00163422825256372
32225,SE,16758,0.00163043383083067
35948,SE,16719,0.00162663940909762
32238,SE,16580,0.00161311570086958
20199,SE,16572,0.00161233735794999
30856,SE,16468,0.00160221889999519
27605,SE,16386,0.0015942408850693
29916,SE,16332,0.00158898707036201
26215,SE,15986,0.00155532373908933
26669,SE,15726,0.00153002759420236
27599,SE,15598,0.00151757410748877
31316,SE,15486,0.00150667730661438
33166,SE,15450,0.00150317476347618
35945,SE,15413,0.00149957492747303
29448,SE,15400,0.00149831012022869
29922,SE,15020,0.00146133883154772
28066,SE,14912,0.00145083120213313
32694,SE,14888,0.00144849617337433
33170,SE,14621,0.0014225189784327
35019,SE,14446,0.00140549272706647
28530,SE,14334,0.00139459592619208
34100,SE,14307,0.00139196901883843
29468,SE,14146,0.00137630486758149
15557,SE,13950,0.00135723546605131
33621,SE,13745,0.00133729042873658
31771,SE,13706,0.00133349600700353
29002,SE,13665,0.00132950699954058
35027,SE,13190,0.00128329288868937
35015,SE,13125,0.00127696885246763
20198,SE,13091,0.00127366089505933
29911,SE,12918,0.001256829229423
22050,SE,12874,0.0012525483433652
29920,SE,12724,0.00123795441362271
30389,SE,12645,0.00123026827729167
32230,SE,12623,0.00122812783426277
30832,SE,12599,0.00122579280550397
29464,SE,12346,0.00120117771067165
28537,SE,12337,0.0012003020748871
35481,SE,12229,0.00118979444547251
35485,SE,12115,0.00117870305886822
35026,SE,11976,0.00116517935064018
35483,SE,11862,0.00115408796403589
31780,SE,11793,0.00114737475635434
32234,SE,11777,0.00114581807051514
30373,SE,11465,0.00111546269665077
17887,SE,11237,0.00109327992344219
30374,SE,11077,0.0010777130650502
30854,SE,11055,0.00107557262202131
35944,SE,10926,0.00106302184244277
32695,SE,10826,0.00105329255594778
35480,SE,10635,0.00103470961874234
31300,SE,10497,0.00102128320337925
30382,SE,10436,0.00101534833861731
31766,SE,10198,0.000992192636759229
34563,SE,10163,0.000988787386485982
33164,SE,10124,0.000984992964752935
32229,SE,10022,0.000975069092528044
31778,SE,10008,0.000973706992418745
14163,SE,9897,0.000962907484409305
31296,SE,9882,0.000961448091435056
35490,SE,9877,0.000960961627110307
29923,SE,9787,0.000952205269264814
35482,SE,9768,0.000950356704830766
22958,SE,9735,0.000947146040287419
32698,SE,9691,0.000942865154229622
28065,SE,9638,0.000937708632387277
35022,SE,9572,0.000931287303300583
20189,SE,9515,0.000925741609998438
27135,SE,9500,0.000924282217024189
18346,SE,9405,0.000915039394853947
31307,SE,9311,0.000905893865548655
25283,SE,9307,0.000905504694088855
33627,SE,9299,0.000904726351169256
28983,SE,9076,0.000883030042285425
28073,SE,9069,0.000882348992230776
31772,SE,8986,0.000874273684439933
33620,SE,8974,0.000873106170060534
30384,SE,8950,0.000870771141301736
23434,SE,8892,0.000865128155134641
27604,SE,8795,0.000855690747234499
31774,SE,8761,0.000852382789826202
33181,SE,8734,0.000849755882472554
30387,SE,8707,0.000847128975118907
28539,SE,8637,0.000840318474572412
36410,SE,8615,0.000838178031543514
22968,SE,8488,0.000825821837694875
33629,SE,8462,0.000823292223206178
28075,SE,8394,0.000816676308389583
25287,SE,8389,0.000816189844064834
34088,SE,8376,0.000814925036820485
31769,SE,8246,0.000802276964376996
35025,SE,8159,0.000793812485126353
14164,SE,8087,0.000786807398849959
33160,SE,8024,0.000780677948358115
35489,SE,7922,0.000770754076133224
34550,SE,7901,0.000768710925969275
31304,SE,7895,0.000768127168779576
32228,SE,7888,0.000767446118724927
35487,SE,7869,0.000765597554290878
33644,SE,7760,0.000754992632011337
32231,SE,7736,0.000752657603252539
31312,SE,7619,0.000741274338053399
30380,SE,7580,0.000737479916320353
28998,SE,7512,0.000730864001503759
33634,SE,7473,0.000727069579770712
28541,SE,7422,0.000722107643658266
28528,SE,7419,0.000721815765063417
33173,SE,7381,0.00071811863619532
30846,SE,7375,0.00071753487900562
17891,SE,7374,0.00071743758614067
19735,SE,7368,0.000716853828950971
28521,SE,7345,0.000714616093057123
29451,SE,7280,0.000708292056835378
21586,SE,7241,0.000704497635102332
32702,SE,7234,0.000703816585047682
30386,SE,7117,0.000692433319848542
29000,SE,7025,0.00068348237627315
26210,SE,7000,0.000681050054649402
34562,SE,6801,0.000661688774524369
27602,SE,6732,0.000654975566842825
27133,SE,6675,0.00064942987354068
23896,SE,6550,0.000637268265421941
34093,SE,6495,0.000631917157849695
31765,SE,6335,0.000616350299457709
30843,SE,6289,0.000611874827670013
28519,SE,6141,0.000597475483657426
28980,SE,6133,0.000596697140737826
22510,SE,6070,0.000590567690245982
32241,SE,5995,0.000583270725374738
27593,SE,5953,0.000579184425046842
32239,SE,5929,0.000576849396288044
32708,SE,5782,0.000562547345140406
33624,SE,5602,0.000545034629449422
34556,SE,5531,0.000538126836037978
34551,SE,5499,0.00053501346435958
31313,SE,5478,0.000532970314195632
29918,SE,5443,0.000529565063922385
26214,SE,5420,0.000527327328028537
30385,SE,5408,0.000526159813649138
31763,SE,5397,0.000525089592134689
30388,SE,5284,0.000514095498395349
34560,SE,5283,0.000513998205530399
31305,SE,5267,0.0005124415196912
33623,SE,5239,0.000509717319472603
