model,bin_id,delta_sv,n_years,cntr,crop,component,dln
HadGEM3-GC3-1MM,-10.5,-10.4803,10,DE,Soft wheat,gdd,0.00594798921249762
HadGEM3-GC3-1MM,-9.5,-9.6161,7,DE,Soft wheat,gdd,-0.000626536631617019
HadGEM3-GC3-1MM,-8.5,-8.6582,7,DE,Soft wheat,gdd,-0.000705733939366485
HadGEM3-GC3-1MM,-7.5,-7.6345,8,DE,Soft wheat,gdd,-0.000833596803274249
HadGEM3-GC3-1MM,-6.5,-6.4299,4,DE,Soft wheat,gdd,-0.000381044260538794
HadGEM3-GC3-1MM,-5.5,-5.3528,4,DE,Soft wheat,gdd,-0.000397280878087309
HadGEM3-GC3-1MM,-4.5,-4.3969,4,DE,Soft wheat,gdd,-0.000376539199206288
IPSL-CM6A-LR,-9.5,-9.3401,5,DE,Soft wheat,gdd,-0.000649181329190578
IPSL-CM6A-LR,-8.5,-8.4598,8,DE,Soft wheat,gdd,0.000150593095323401
IPSL-CM6A-LR,-7.5,-7.5255,19,DE,Soft wheat,gdd,-0.000775276015480544
IPSL-CM6A-LR,-6.5,-6.5577,11,DE,Soft wheat,gdd,-0.000649940185116765
IPSL-CM6A-LR,-5.5,-5.5623,13,DE,Soft wheat,gdd,-0.000487895328770968
IPSL-CM6A-LR,-4.5,-4.3507,11,DE,Soft wheat,gdd,-0.000401148192882757
IPSL-CM6A-LR,-3.5,-3.4644,8,DE,Soft wheat,gdd,-0.000527216948187754
IPSL-CM6A-LR,-2.5,-2.5669,9,DE,Soft wheat,gdd,-0.000240654245958277
IPSL-CM6A-LR,-1.5,-1.2909,6,DE,Soft wheat,gdd,-0.000389724653016448
IPSL-CM6A-LR,-0.5,-0.6347,8,DE,Soft wheat,gdd,-6.05319052070593e-05
EC-Earth3,-9.5,-9.1554,4,DK,Soft wheat,gdd,-0.000625113118781685
EC-Earth3,-8.5,-8.4726,15,DK,Soft wheat,gdd,-0.000978748957025846
EC-Earth3,-7.5,-7.5562,20,DK,Soft wheat,gdd,-0.000764965564615451
EC-Earth3,-6.5,-6.4767,21,DK,Soft wheat,gdd,-0.000539874161066013
EC-Earth3,-5.5,-5.3342,8,DK,Soft wheat,gdd,-0.000294861003615958
EC-Earth3,-4.5,-4.5495,8,DK,Soft wheat,gdd,-0.000782631673386168
EC-Earth3,-3.5,-3.3459,9,DK,Soft wheat,gdd,-0.000408675501862764
EC-Earth3,-2.5,-2.4493,5,DK,Soft wheat,gdd,-0.000456078724699121
EC-Earth3,-1.5,-1.3807,6,DK,Soft wheat,gdd,-0.000263005567043255
EC-Earth3,-0.5,-0.6596,3,DK,Soft wheat,gdd,3.51730346151706e-05
HadGEM3-GC3-1LL,-8.5,-8.3848,12,DK,Soft wheat,gdd,-0.000848889163774509
HadGEM3-GC3-1LL,-7.5,-7.5599,19,DK,Soft wheat,gdd,-0.000708300266824119
HadGEM3-GC3-1LL,-6.5,-6.5442,24,DK,Soft wheat,gdd,-0.000653331399926207
HadGEM3-GC3-1LL,-5.5,-5.5797,10,DK,Soft wheat,gdd,-0.00053663770546532
HadGEM3-GC3-1LL,-4.5,-4.5263,6,DK,Soft wheat,gdd,-0.000372516909294486
HadGEM3-GC3-1LL,-3.5,-3.7835,7,DK,Soft wheat,gdd,-0.000814838588807753
HadGEM3-GC3-1LL,-2.5,-2.4504,6,DK,Soft wheat,gdd,-0.000347105128453056
HadGEM3-GC3-1LL,-1.5,-1.3098,8,DK,Soft wheat,gdd,2.43936505259468e-05
HadGEM3-GC3-1LL,-0.5,-0.331,6,DK,Soft wheat,gdd,-2.6899678128219e-05
HadGEM3-GC3-1MM,-14.5,-14.3032,4,DK,Soft wheat,gdd,0.0686871392955628
HadGEM3-GC3-1MM,-13.5,-13.3931,8,DK,Soft wheat,gdd,0.0764150165920462
HadGEM3-GC3-1MM,-12.5,-12.588,13,DK,Soft wheat,gdd,0.0802575825621478
HadGEM3-GC3-1MM,-11.5,-11.5321,21,DK,Soft wheat,gdd,0.0579393205378367
HadGEM3-GC3-1MM,-10.5,-10.4803,10,DK,Soft wheat,gdd,0.0387328966944548
HadGEM3-GC3-1MM,-9.5,-9.6161,7,DK,Soft wheat,gdd,0.00208174706119689
HadGEM3-GC3-1MM,-8.5,-8.6582,7,DK,Soft wheat,gdd,0.00129306292790798
HadGEM3-GC3-1MM,-7.5,-7.6345,8,DK,Soft wheat,gdd,-0.000592263884866901
HadGEM3-GC3-1MM,-6.5,-6.4299,4,DK,Soft wheat,gdd,-0.000172277313942699
HadGEM3-GC3-1MM,-5.5,-5.3528,4,DK,Soft wheat,gdd,-0.000483765007238728
