model,bin_id,component,dsv_amoc,n_amoc,dln_amoc,dsv_isimip,n_isimip,dln_isimip,branch,fuel,dln_residual,pct_amoc,pct_isimip,pct_residual
EC-Earth3,-1.5,frost_mj,-1.3807,6,-0.00242887782298804,-1.5166,7,0.0260306167408122,crop (spec A),,0.0284594945638002,-0.242593048597195,2.63723721692897,2.88683352297747
EC-Earth3,-1.5,gdd_mj,-1.3807,6,0.0210626528622368,-1.5166,7,-0.1293523479189,crop (spec A),,-0.150415000781137,2.12860361264278,-12.1335684546458,-13.9649143949747
EC-Earth3,-1.5,heat_mj,-1.3807,6,0.00497175965683887,-1.5166,7,-0.0262370665724132,crop (spec A),,-0.0312088262292521,0.498413936168429,-2.58958652944008,-3.07268577150864
EC-Earth3,-1.5,precip_mj,-1.3807,6,-0.00575621484302101,-1.5166,7,-0.00253627905160964,crop (spec A),,0.00321993579141137,-0.573967958041588,-0.25330654133644,0.322512535318542
EC-Earth3,-1.5,precip_mj2,-1.3807,6,0.00372073831169028,-1.5166,7,-0.00314625268705804,crop (spec A),,-0.00686699099874832,0.372766885139142,-0.314130842073557,-0.684346709300887
EC-Earth3,-2.5,frost_mj,-2.4493,5,-0.0199402292606923,-2.5562,17,0.0183121675861175,crop (spec A),,0.0382523968468098,-1.97427377429378,1.84808634828493,3.89934384548976
EC-Earth3,-2.5,gdd_mj,-2.4493,5,0.0434825777392889,-2.5562,17,-0.101627421595127,crop (spec A),,-0.145109999334416,4.44417976162173,-9.66339363365508,-13.5072853532626
EC-Earth3,-2.5,heat_mj,-2.4493,5,0.00221240725737778,-2.5562,17,-0.0219860831472385,crop (spec A),,-0.0241984904046163,0.221485643617458,-2.17461508287408,-2.39080543568467
EC-Earth3,-2.5,precip_mj,-2.4493,5,-0.0405841165680573,-2.5562,17,0.0146078042608987,crop (spec A),,0.055191920828956,-3.97716100024946,1.47150196579411,5.67434062854331
EC-Earth3,-2.5,precip_mj2,-2.4493,5,0.0325098762885144,-2.5562,17,-0.0151183725670494,crop (spec A),,-0.0476282488555638,3.30440957351283,-1.50046637246054,-4.65118184771595
EC-Earth3,-3.5,frost_mj,-3.3459,9,-0.0380787713610687,-3.2771,5,0.0239877330001996,crop (spec A),,0.0620665043612683,-3.73628903307695,2.42777529985634,6.40331052170977
EC-Earth3,-3.5,gdd_mj,-3.3459,9,0.0740418169612967,-3.2771,5,-0.0977626474561522,crop (spec A),,-0.171804464417449,7.6851835226226,-9.3135875281785,-15.7856173846145
EC-Earth3,-3.5,heat_mj,-3.3459,9,0.006549513123074,-3.2771,5,-0.0164299471293075,crop (spec A),,-0.0229794602523815,0.657100808570488,-1.62957117136818,-2.27174432958034
EC-Earth3,-3.5,precip_mj,-3.3459,9,-0.0225653591890312,-3.2771,5,0.0328426939168607,crop (spec A),,0.0554080531058919,-2.23126657462559,3.33879682412899,5.69718273276612
EC-Earth3,-3.5,precip_mj2,-3.3459,9,0.0194482586412002,-3.2771,5,-0.035199239219397,crop (spec A),,-0.0546474978605972,1.96386080086997,-3.4586951047622,-5.31811551959781
IPSL-CM6A-LR,-1.5,frost_mj,-1.2909,6,-0.0276721166390351,-1.7768,5,0.017048427216082,crop (spec A),,0.0447205438551171,-2.72927509576495,1.71945810342733,4.57355818369005
IPSL-CM6A-LR,-1.5,gdd_mj,-1.2909,6,0.056038304787055,-1.7768,5,-0.0863028077253321,crop (spec A),,-0.142341112512387,5.76381955665701,-8.26835813377656,-13.2674649509198
IPSL-CM6A-LR,-1.5,heat_mj,-1.2909,6,0.00396927411294747,-1.7768,5,-0.0229724166766604,crop (spec A),,-0.0269416907896079,0.397716211453303,-2.27105597078718,-2.65820008955149
IPSL-CM6A-LR,-1.5,precip_mj,-1.2909,6,-0.00867046827933937,-1.7768,5,0.00171174704473824,crop (spec A),,0.0103822153240776,-0.863298817083436,0.171321291999416,1.04362975238996
IPSL-CM6A-LR,-1.5,precip_mj2,-1.2909,6,0.00600400742890208,-1.7768,5,-0.0065555432080206,crop (spec A),,-0.0125595506369227,0.602206760789659,-0.653410251203124,-1.24810086420706
IPSL-CM6A-LR,-2.5,frost_mj,-2.5669,9,-0.00904749983742773,-2.5185,16,0.0201896111426031,crop (spec A),,0.0292371109800308,-0.900669436600032,2.03947999090186,2.96687112898395
IPSL-CM6A-LR,-2.5,gdd_mj,-2.5669,9,0.0318619078136256,-2.5185,16,-0.0835978019326148,crop (spec A),,-0.11545970974624,3.23749325496594,-8.01988760554991,-10.9043531623859
IPSL-CM6A-LR,-2.5,heat_mj,-2.5669,9,0.00466603094944814,-2.5185,16,-0.0176266784018153,crop (spec A),,-0.0222927093512634,0.467693382297796,-1.74722372654987,-2.20460631102529
IPSL-CM6A-LR,-2.5,precip_mj,-2.5669,9,-0.0264909203481779,-2.5185,16,0.00557942339091902,crop (spec A),,0.0320703437390969,-2.61431139231572,0.559501736190593,3.25901390017576
IPSL-CM6A-LR,-2.5,precip_mj2,-2.5669,9,0.0229878503394942,-2.5185,16,-0.00749702719639913,crop (spec A),,-0.0304848775358933,2.3254107281679,-0.746899458550043,-3.00248996300605
IPSL-CM6A-LR,-3.5,frost_mj,-3.4644,8,-0.0250722871731702,-3.4513,9,0.0238368691374734,crop (spec A),,0.0489091563106436,-2.47605878200247,2.41232381558876,5.01249491821101
IPSL-CM6A-LR,-3.5,gdd_mj,-3.4644,8,0.0621874222225396,-3.4513,9,-0.106764647676193,crop (spec A),,-0.168952069898733,6.41617736034987,-10.1262832017613,-15.5450618246647
IPSL-CM6A-LR,-3.5,heat_mj,-3.4644,8,0.00371762402381238,-3.4513,9,-0.020340727918547,crop (spec A),,-0.0240583519423594,0.37245429593471,-2.01352508550902,-2.37712567474835
IPSL-CM6A-LR,-3.5,precip_mj,-3.4644,8,-0.0222532798320608,-3.4513,9,0.00112762648706265,crop (spec A),,0.0233809063191235,-2.20075020965029,0.112826249684783,2.36563824803835
IPSL-CM6A-LR,-3.5,precip_mj2,-3.4644,8,0.0161813501842527,-3.4513,9,-0.00240910095586591,crop (spec A),,-0.0185904511401186,1.63129772405917,-0.240620140106562,-1.84187145700747
EC-Earth3,-1.5,frost,-1.3807,6,-0.00210220066168731,-1.5166,7,-0.00106619942368248,crop (spec C),,0.00103600123800483,-0.209999258542048,-0.106563123502901,0.103653807265847
EC-Earth3,-1.5,gdd,-1.3807,6,-8.77934859016296e-05,-1.5166,7,8.0255073086203e-05,crop (spec C),,0.000168048558987833,-0.00877896321663796,0.00802582936108021,0.0168062679937853
EC-Earth3,-1.5,heat,-1.3807,6,0.00530144184120227,-1.5166,7,-0.0120818197216649,crop (spec C),,-0.0173832615628672,0.531551935003738,-1.20091275833844,-1.72330443527048
EC-Earth3,-1.5,precip,-1.3807,6,-0.0204592064005291,-1.5166,7,0.00282477345936291,crop (spec C),,0.023283979859892,-2.02513368661337,0.282876689120615,2.35571679000965
EC-Earth3,-1.5,precip2,-1.3807,6,0.0139344463316715,-1.5166,7,-0.00441940012544923,crop (spec C),,-0.0183538464571207,1.40319832433493,-0.44096489467903,-1.81864403637
EC-Earth3,-2.5,frost,-2.4493,5,-0.00108946829793714,-2.5562,17,-0.000162588825134341,crop (spec C),,0.000926879472802799,-0.108887504281485,-0.0162575608287585,0.0927309158326617
EC-Earth3,-2.5,gdd,-2.4493,5,-0.000162005908867788,-2.5562,17,9.91532293479698e-05,crop (spec C),,0.000261159138215758,-0.0161992786619214,0.00991581451919021,0.0261193243232372
EC-Earth3,-2.5,heat,-2.4493,5,0.000514582867253591,-2.5562,17,-0.00974639491796249,crop (spec C),,-0.0102609777852161,0.0514715287730061,-0.969905274103755,-1.02085135507779
EC-Earth3,-2.5,precip,-2.4493,5,-0.0475986408280553,-2.5562,17,0.0349572235083339,crop (spec C),,0.0825558643363892,-4.64835871549171,3.55754095692702,8.60593437289048
EC-Earth3,-2.5,precip2,-2.4493,5,0.0314011964833225,-2.5562,17,-0.0282799142879537,crop (spec C),,-0.0596811107712762,3.18994152676235,-2.7883780505324,-5.7935099960729
EC-Earth3,-3.5,frost,-3.3459,9,-0.00142130042200162,-3.2771,5,-0.00191774725837505,crop (spec C),,-0.00049644683637343,-0.142029085291384,-0.191590955603882,-0.0496323627032558
EC-Earth3,-3.5,gdd,-3.3459,9,-0.00010748398337242,-3.2771,5,4.74118431832479e-05,crop (spec C),,0.000154895826555668,-0.0107478207176048,0.00474129671423906,0.0154907823533668
EC-Earth3,-3.5,heat,-3.3459,9,0.00339100568684423,-3.2771,5,-0.00558837533281202,crop (spec C),,-0.00897938101965625,0.339676165095848,-0.557278941022599,-0.893918677435845
EC-Earth3,-3.5,precip,-3.3459,9,-0.0434029946303208,-3.2771,5,0.0231778661880385,crop (spec C),,0.0665808608183593,-4.24745653052948,2.34485602531387,6.8847388455485
EC-Earth3,-3.5,precip2,-3.3459,9,0.02961954165848,-3.2771,5,-0.0196114134618357,crop (spec C),,-0.0492309551203157,3.00625634994596,-1.94203606697309,-4.80387560160238
IPSL-CM6A-LR,-1.5,frost,-1.2909,6,-0.00134374207590278,-1.7768,5,0.0021177867850649,crop (spec C),,0.00346152886096768,-0.134283965877002,0.212003087938983,0.34675268707598
IPSL-CM6A-LR,-1.5,gdd,-1.2909,6,-6.69140334389066e-05,-1.7768,5,7.96528817086028e-05,crop (spec C),,0.000146566915147509,-0.00669117947449394,0.00796560540836655,0.0146577656602531
IPSL-CM6A-LR,-1.5,heat,-1.2909,6,0.00051080546018712,-1.7768,5,-0.0144509450721574,crop (spec C),,-0.0149617505323445,0.0510935943512481,-1.43470313182724,-1.48503796690371
IPSL-CM6A-LR,-1.5,precip,-1.2909,6,-0.0267823824234162,-1.7768,5,0.031561560141953,crop (spec C),,0.0583439425653692,-2.64269149115366,3.20649077023261,6.00795394919405
IPSL-CM6A-LR,-1.5,precip2,-1.2909,6,0.0176657580584712,-1.7768,5,-0.0282102498164739,crop (spec C),,-0.0458760078749451,1.78227204868371,-2.78160561837139,-4.48396127851433
IPSL-CM6A-LR,-2.5,frost,-2.5669,9,-0.00171528617021828,-2.5185,16,0.00167002621371958,crop (spec C),,0.00338531238393786,-0.171381590765596,0.167142148410138,0.33910490255209
IPSL-CM6A-LR,-2.5,gdd,-2.5669,9,-8.87139148902229e-05,-2.5185,16,6.41480337705341e-05,crop (spec C),,0.000152861948660757,-0.00887099799272706,0.00641500912996751,0.0152873632643713
IPSL-CM6A-LR,-2.5,heat,-2.5669,9,0.00398920613963384,-2.5185,16,-0.00976352831666544,crop (spec C),,-0.0137527344562993,0.399717361355512,-0.97160198166506,-1.36585976441045
IPSL-CM6A-LR,-2.5,precip,-2.5669,9,-0.038322224242692,-2.5185,16,0.0315603794892086,crop (spec C),,0.0698826037319006,-3.75972185839744,3.20636891927797,7.23822801865335
IPSL-CM6A-LR,-2.5,precip2,-2.5669,9,0.0273088060538753,-2.5185,16,-0.026580084915477,crop (spec C),,-0.0538888909693523,2.76851091510846,-2.62299435798935,-5.24626193868999
IPSL-CM6A-LR,-3.5,frost,-3.4644,8,-0.000561930126922604,-3.4513,9,0.0013435750730658,crop (spec C),,0.0019055051999884,-0.0561772273757644,0.134447807442561,0.190732182870401
IPSL-CM6A-LR,-3.5,gdd,-3.4644,8,-0.000174546152768234,-3.4513,9,0.000130701709592044,crop (spec C),,0.000305247862360278,-0.0174530920474814,0.013071025143252,0.0305294455229754
IPSL-CM6A-LR,-3.5,heat,-3.4644,8,0.00152179358385554,-3.4513,9,-0.00863511861356348,crop (spec C),,-0.010156912197419,0.152295209931075,-0.859794305889217,-1.01055049582122
IPSL-CM6A-LR,-3.5,precip,-3.4644,8,-0.0261857947288052,-3.4513,9,0.0169310704963364,crop (spec C),,0.0431168652251416,-2.5845919899163,1.70752134193328,4.40599020167867
