NUTS_ID,nuts_level,crop,year,area_ha,production_t,yield_t_ha,area_source,area_ha_alt
ES417,3,Total barley,2021,90022,337393,3.75,CropStatHarm,89401.62
AT11,2,Total wheat,1975,32797,108564,3.31,CropStatHarm,NA
AT11,2,Total wheat,1976,37650,151341,4.02,CropStatHarm,NA
AT11,2,Total wheat,1977,37048,128809.6,3.48,CropStatHarm,NA
AT11,2,Total wheat,1978,35015,130923.28,3.74,CropStatHarm,NA
AT11,2,Total wheat,1979,39555,127925,3.23,CropStatHarm,NA
AT11,2,Total wheat,1980,38496,159606.08,4.15,CropStatHarm,34353.6
AT11,2,Total wheat,1981,34997,118187.09,3.38,CropStatHarm,35035.26
AT11,2,Total wheat,1982,40322,160375.53,3.98,CropStatHarm,37141.229999999996
AT11,2,Total wheat,1983,39481,170659,4.32,CropStatHarm,40335.53
AT11,2,Total wheat,1984,42871,200443.1,4.68,CropStatHarm,40674.53999999999
AT11,2,Total wheat,1985,43277,201801,4.66,CropStatHarm,41311.09
AT11,2,Total wheat,1986,42362,157654,3.72,CropStatHarm,41900.979999999996
AT11,2,Total wheat,1987,43614,190874,4.38,CropStatHarm,41547.35
AT11,2,Total wheat,1988,39463,189258,4.8,CropStatHarm,37595.16
AT11,2,Total wheat,1989,36921,180185,4.88,CropStatHarm,35808.69
AT11,2,Total wheat,1990,36703,168601,4.59,CropStatHarm,35851.98
AT11,2,Total wheat,1991,35572,169833,4.77,CropStatHarm,34763.33
AT11,2,Total wheat,1992,31560,150397,4.77,CropStatHarm,31106.9
AT11,2,Total wheat,1993,32580,125766,3.86,CropStatHarm,32170.34
AT11,2,Total wheat,1994,31828,153024,4.81,CropStatHarm,31392.37
AT11,2,Total wheat,1995,35970,169984,4.73,CropStatHarm,35906.67
AT11,2,Total wheat,1996,38277,178666,4.67,CropStatHarm,38360.399999999994
AT11,2,Total wheat,1997,39617,168682,4.26,CropStatHarm,39711.86
AT11,2,Total wheat,1998,41234,184616,4.48,CropStatHarm,41275.89
AT11,2,Total wheat,1999,38107,185458,4.87,CropStatHarm,38063.619999999995
AT11,2,Total wheat,2000,46205.58,160624.91,3.48,CropStatHarm,46235.74
AT11,2,Total wheat,2001,43784,187053,4.27,CropStatHarm,43891.81
AT11,2,Total wheat,2002,43740,178515,4.08,CropStatHarm,43754.29
AT11,2,Total wheat,2003,43840.27,160282.45,3.66,CropStatHarm,43841.83
AT11,2,Total wheat,2004,44811.15,233717.44,5.22,CropStatHarm,45614.9
AT11,2,Total wheat,2005,46274.85,187998.94,4.06,CropStatHarm,47448.1
AT11,2,Total wheat,2006,43661.78,190438.97,4.36,CropStatHarm,44749.469999999994
AT11,2,Total wheat,2007,46316.62,194712.3,4.2,CropStatHarm,47723.36
AT11,2,Total wheat,2008,45246.24,227984.2,5.04,CropStatHarm,46903.25
AT11,2,Total wheat,2009,47063.83,188071.61,4,CropStatHarm,49378.92
AT11,2,Total wheat,2010,46892.83,214669.7,4.58,CropStatHarm,48837.700000000004
AT11,2,Total wheat,2011,45818.57,196351.63,4.29,CropStatHarm,47378.8
AT11,2,Total wheat,2012,48980.35,189523.8,3.87,CropStatHarm,50717.369999999995
AT11,2,Total wheat,2013,45575.37,184516.97,4.05,CropStatHarm,47193.89
AT11,2,Total wheat,2014,46801.3,224129.38,4.79,CropStatHarm,48502.54
AT11,2,Total wheat,2015,44519.48,210412.92,4.73,CropStatHarm,46715.65
AT11,2,Total wheat,2016,47088.2,262171.81,5.57,CropStatHarm,51488.409999999996
AT11,2,Total wheat,2017,42951.71,182980.74,4.26,CropStatHarm,47133.119999999995
AT11,2,Total wheat,2018,43524.38,176201.45,4.05,CropStatHarm,46538.340000000004
AT11,2,Total wheat,2019,41733.54,213134.65,5.11,CropStatHarm,43712.85
AT11,2,Total wheat,2020,40620.67,212587.66,5.23,CropStatHarm,43299.369999999995
AT11,2,Total wheat,2021,39722.32,184802.42,4.65,CropStatHarm,44045.03
AT11,2,Total wheat,2022,39868.63,194617.68,4.88,CropStatHarm,46544.79
HU322,3,Durum wheat,2000,641,2270,3.54,CropStatHarm,631.79
HU322,3,Durum wheat,2001,482,1793,3.72,CropStatHarm,480.67
HU322,3,Durum wheat,2002,1314,2676,2.04,CropStatHarm,1301.61
HU322,3,Durum wheat,2003,624,514,0.82,CropStatHarm,655.69
PT15,2,Durum wheat,1986,43,17,0.4,CropStatHarm,48
PT15,2,Durum wheat,1987,42,19,0.45,CropStatHarm,52
PT15,2,Durum wheat,1988,30,8,0.27,CropStatHarm,59
PT15,2,Durum wheat,1989,39,16,0.41,CropStatHarm,64.6
PT15,2,Durum wheat,1990,29,12,0.41,CropStatHarm,41.6
PT15,2,Durum wheat,1991,32,19,0.59,CropStatHarm,42
PT15,2,Durum wheat,1992,39,11,0.28,CropStatHarm,50
PT15,2,Durum wheat,1993,0,0,0,CropStatHarm,0
PT15,2,Durum wheat,1994,50,31,0.62,CropStatHarm,42
PT15,2,Durum wheat,1995,50,25,0.5,CropStatHarm,50
PT15,2,Durum wheat,1996,50,45,0.9,CropStatHarm,54
PT15,2,Durum wheat,1997,39,35,0.9,CropStatHarm,29
PT15,2,Durum wheat,1998,16,14,0.88,CropStatHarm,27
