model,cntr,crop,component,dln
ec-earth3,CZ,Soft wheat,heat,-0.00453655280239026
ipsl-cm6a-lr,CZ,Soft wheat,heat,-0.00928815118670499
ec-earth3,DE,Soft wheat,heat,-0.00510646583897943
ipsl-cm6a-lr,DE,Soft wheat,heat,-0.00593468097802837
ec-earth3,DK,Soft wheat,heat,-0.000780494913204013
ipsl-cm6a-lr,DK,Soft wheat,heat,-0.000480822732141776
ec-earth3,EE,Soft wheat,heat,-0.00299839681001609
ipsl-cm6a-lr,EE,Soft wheat,heat,-0.0039715199718915
ec-earth3,EL,Soft wheat,heat,-0.0191835211474835
ipsl-cm6a-lr,EL,Soft wheat,heat,-0.0208571804759123
ec-earth3,ES,Soft wheat,heat,-0.0194878768420148
ipsl-cm6a-lr,ES,Soft wheat,heat,-0.0161453345255585
ec-earth3,FI,Soft wheat,heat,-0.00230859650153065
ipsl-cm6a-lr,FI,Soft wheat,heat,-0.00270610328541843
ec-earth3,FR,Soft wheat,heat,-0.00631537176029428
ipsl-cm6a-lr,FR,Soft wheat,heat,-0.00425554589693471
ec-earth3,HU,Soft wheat,heat,-0.0164530690064492
ipsl-cm6a-lr,HU,Soft wheat,heat,-0.0249160509910558
ec-earth3,IT,Soft wheat,heat,-0.0196083972555875
ipsl-cm6a-lr,IT,Soft wheat,heat,-0.01880310777804
ec-earth3,LT,Soft wheat,heat,-0.00298752490082339
ipsl-cm6a-lr,LT,Soft wheat,heat,-0.00652385940771303
ec-earth3,LV,Soft wheat,heat,-0.00298554587495496
ipsl-cm6a-lr,LV,Soft wheat,heat,-0.0053466142732646
ec-earth3,RO,Soft wheat,heat,-0.0150290454946381
ipsl-cm6a-lr,RO,Soft wheat,heat,-0.0249199561324865
ec-earth3,SE,Soft wheat,heat,-0.00192308096744399
ipsl-cm6a-lr,SE,Soft wheat,heat,-0.00230595033376673
ec-earth3,SK,Soft wheat,heat,-0.00887353573118699
ipsl-cm6a-lr,SK,Soft wheat,heat,-0.0154944076567701
ec-earth3,EL,Durum wheat,heat,0.0054557399439955
ipsl-cm6a-lr,EL,Durum wheat,heat,0.00579079238231965
ec-earth3,ES,Durum wheat,heat,0.00674039635471957
ipsl-cm6a-lr,ES,Durum wheat,heat,0.00536508109276453
ec-earth3,FR,Durum wheat,heat,0.00277538069517463
ipsl-cm6a-lr,FR,Durum wheat,heat,0.0020765295821357
ec-earth3,HU,Durum wheat,heat,0.00448768316128564
ipsl-cm6a-lr,HU,Durum wheat,heat,0.00665284059886558
ec-earth3,IT,Durum wheat,heat,0.00396482418100184
ipsl-cm6a-lr,IT,Durum wheat,heat,0.00366921026996155
ec-earth3,RO,Durum wheat,heat,0.00366323456138748
ipsl-cm6a-lr,RO,Durum wheat,heat,0.00615561821617286
ec-earth3,SK,Durum wheat,heat,0.00258551073126639
ipsl-cm6a-lr,SK,Durum wheat,heat,0.00430162421419893
ec-earth3,CZ,Spring barley,heat,-0.00779829152725676
ipsl-cm6a-lr,CZ,Spring barley,heat,-0.0160384842991719
ec-earth3,DE,Spring barley,heat,-0.00924804690374162
ipsl-cm6a-lr,DE,Spring barley,heat,-0.0114198416177763
ec-earth3,DK,Spring barley,heat,-0.00139432294267397
ipsl-cm6a-lr,DK,Spring barley,heat,-0.000840892835775154
ec-earth3,EE,Spring barley,heat,-0.00517483654999899
ipsl-cm6a-lr,EE,Spring barley,heat,-0.00666787567855927
ec-earth3,ES,Spring barley,heat,-0.03498119354348
ipsl-cm6a-lr,ES,Spring barley,heat,-0.0304895996849848
ec-earth3,FI,Spring barley,heat,-0.00377516164369242
ipsl-cm6a-lr,FI,Spring barley,heat,-0.00441739371130609
ec-earth3,FR,Spring barley,heat,-0.0121715835816846
ipsl-cm6a-lr,FR,Spring barley,heat,-0.00847920927737256
ec-earth3,HU,Spring barley,heat,-0.0265034709698549
ipsl-cm6a-lr,HU,Spring barley,heat,-0.0408797690171303
ec-earth3,LT,Spring barley,heat,-0.00520594238281958
ipsl-cm6a-lr,LT,Spring barley,heat,-0.0110668617798635
