model,bin_id,delta_sv,n_years,ssp_year,fuel,component,dln,branch
EC-Earth3,-2.5,-2.5448,1,2077,Natural gas,hdd_octmar,-0.071282846093015,energy Natural gas
EC-Earth3,-3.5,-3.4737,1,2078,Natural gas,hdd_octmar,-0.0976245531450412,energy Natural gas
EC-Earth3,-2.5,-2.5448,1,2079,Natural gas,hdd_octmar,-0.0938421430155319,energy Natural gas
EC-Earth3,-2.5,-2.5448,1,2080,Natural gas,hdd_octmar,-0.112379433196575,energy Natural gas
EC-Earth3,-2.5,-2.5448,1,2081,Natural gas,hdd_octmar,-0.0836373992440668,energy Natural gas
EC-Earth3,-4.5,-4.5546,1,2082,Natural gas,hdd_octmar,-0.0584148243571523,energy Natural gas
EC-Earth3,-4.5,-4.5546,1,2083,Natural gas,hdd_octmar,-0.0844983633719674,energy Natural gas
EC-Earth3,-2.5,-2.5448,1,2084,Natural gas,hdd_octmar,-0.102523754807123,energy Natural gas
EC-Earth3,-2.5,-2.5448,1,2085,Natural gas,hdd_octmar,-0.115554710401683,energy Natural gas
EC-Earth3,-3.5,-3.4737,1,2086,Natural gas,hdd_octmar,-0.0995808665709681,energy Natural gas
EC-Earth3,-3.5,-3.4737,1,2087,Natural gas,hdd_octmar,-0.0764035048984703,energy Natural gas
EC-Earth3,-3.5,-3.4737,1,2088,Natural gas,hdd_octmar,-0.115769185340428,energy Natural gas
EC-Earth3,-4.5,-4.5546,1,2089,Natural gas,hdd_octmar,-0.109416407620208,energy Natural gas
EC-Earth3,-4.5,-4.5546,1,2091,Natural gas,hdd_octmar,-0.121578298813854,energy Natural gas
EC-Earth3,-4.5,-4.5546,1,2092,Natural gas,hdd_octmar,-0.103648129383419,energy Natural gas
EC-Earth3,-4.5,-4.5546,1,2093,Natural gas,hdd_octmar,-0.10388518504175,energy Natural gas
EC-Earth3,-4.5,-4.5546,1,2094,Natural gas,hdd_octmar,-0.153114591044153,energy Natural gas
EC-Earth3,-3.5,-3.4737,1,2095,Natural gas,hdd_octmar,-0.133641844401675,energy Natural gas
EC-Earth3,-3.5,-3.4737,1,2096,Natural gas,hdd_octmar,-0.135768159516243,energy Natural gas
EC-Earth3,-3.5,-3.4737,1,2097,Natural gas,hdd_octmar,-0.119214635391815,energy Natural gas
EC-Earth3,-3.5,-3.4737,1,2099,Natural gas,hdd_octmar,-0.137290027151054,energy Natural gas
EC-Earth3,-4.5,-4.5546,1,2100,Natural gas,hdd_octmar,-0.124288172283051,energy Natural gas
