model,bin_id,delta_sv,n_years,cntr,country_id,component,dln,fuel
EC-Earth3,-2.5,-2.5448,11,EE,EST,hdd_calendar,-0.088596468174629,Electricity
IPSL-CM6A-LR,-5.5,-5.4831,4,EE,EST,hdd_calendar,-0.110931573482084,Electricity
IPSL-CM6A-LR,-4.5,-4.3892,12,EE,EST,hdd_calendar,-0.101447089971209,Electricity
IPSL-CM6A-LR,-3.5,-3.5859,7,EE,EST,hdd_calendar,-0.0951496294044255,Electricity
IPSL-CM6A-LR,-2.5,-2.381,6,EE,EST,hdd_calendar,-0.0937712986419419,Electricity
EC-Earth3,-4.5,-4.5546,8,EL,GRC,hdd_calendar,-0.0557353078021623,Electricity
EC-Earth3,-3.5,-3.4737,8,EL,GRC,hdd_calendar,-0.0532525566892984,Electricity
EC-Earth3,-2.5,-2.5448,11,EL,GRC,hdd_calendar,-0.0457619568308169,Electricity
IPSL-CM6A-LR,-5.5,-5.4831,4,EL,GRC,hdd_calendar,-0.0462646726470427,Electricity
IPSL-CM6A-LR,-4.5,-4.3892,12,EL,GRC,hdd_calendar,-0.0412831600073249,Electricity
IPSL-CM6A-LR,-3.5,-3.5859,7,EL,GRC,hdd_calendar,-0.0358355933491907,Electricity
IPSL-CM6A-LR,-2.5,-2.381,6,EL,GRC,hdd_calendar,-0.037097955781237,Electricity
EC-Earth3,-4.5,-4.5546,8,ES,ESP,hdd_calendar,-0.0494423950130435,Electricity
EC-Earth3,-3.5,-3.4737,8,ES,ESP,hdd_calendar,-0.0496604274028629,Electricity
EC-Earth3,-2.5,-2.5448,11,ES,ESP,hdd_calendar,-0.044862130560027,Electricity
IPSL-CM6A-LR,-5.5,-5.4831,4,ES,ESP,hdd_calendar,-0.044539573837663,Electricity
IPSL-CM6A-LR,-4.5,-4.3892,12,ES,ESP,hdd_calendar,-0.0419695575812588,Electricity
IPSL-CM6A-LR,-3.5,-3.5859,7,ES,ESP,hdd_calendar,-0.0413587574917758,Electricity
IPSL-CM6A-LR,-2.5,-2.381,6,ES,ESP,hdd_calendar,-0.0355972264289137,Electricity
EC-Earth3,-4.5,-4.5546,8,FI,FIN,hdd_calendar,-0.117333465189247,Electricity
EC-Earth3,-3.5,-3.4737,8,FI,FIN,hdd_calendar,-0.137168317895204,Electricity
EC-Earth3,-2.5,-2.5448,11,FI,FIN,hdd_calendar,-0.100344160695472,Electricity
IPSL-CM6A-LR,-5.5,-5.4831,4,FI,FIN,hdd_calendar,-0.119135801665186,Electricity
IPSL-CM6A-LR,-4.5,-4.3892,12,FI,FIN,hdd_calendar,-0.112152614508059,Electricity
IPSL-CM6A-LR,-3.5,-3.5859,7,FI,FIN,hdd_calendar,-0.106285981321227,Electricity
IPSL-CM6A-LR,-2.5,-2.381,6,FI,FIN,hdd_calendar,-0.0987619068369881,Electricity
EC-Earth3,-4.5,-4.5546,8,FR,FRA,hdd_calendar,-0.0666733467913118,Electricity
EC-Earth3,-3.5,-3.4737,8,FR,FRA,hdd_calendar,-0.0697323423387839,Electricity
