model,bin_id,delta_sv,n_years,ssp_year,component,dln,branch
EC-Earth3,-2.5,-2.5562,1,2077,frost_mj,0.0259781378565798,crop
EC-Earth3,-1.5,-1.5166,1,2078,frost_mj,0.0228287242898349,crop
EC-Earth3,-2.5,-2.5562,1,2079,frost_mj,0.0211834793596674,crop
EC-Earth3,-1.5,-1.5166,1,2080,frost_mj,0.0209595934066777,crop
EC-Earth3,-2.5,-2.5562,1,2081,frost_mj,0.00443771671971332,crop
EC-Earth3,-2.5,-2.5562,1,2082,frost_mj,-0.00108430026650494,crop
EC-Earth3,-2.5,-2.5562,1,2083,frost_mj,0.0297389388771491,crop
EC-Earth3,-2.5,-2.5562,1,2084,frost_mj,0.017255090253086,crop
EC-Earth3,-2.5,-2.5562,1,2085,frost_mj,0.00719729551914057,crop
EC-Earth3,-2.5,-2.5562,1,2086,frost_mj,0.0207064426630588,crop
EC-Earth3,-3.5,-3.2771,1,2087,frost_mj,0.0214586155111119,crop
EC-Earth3,-1.5,-1.5166,1,2088,frost_mj,0.0108245259289381,crop
EC-Earth3,-1.5,-1.5166,1,2089,frost_mj,0.0263823138622101,crop
EC-Earth3,-2.5,-2.5562,1,2090,frost_mj,-0.00179960098284756,crop
EC-Earth3,-3.5,-3.2771,1,2092,frost_mj,0.0324031449870632,crop
EC-Earth3,-3.5,-3.2771,1,2093,frost_mj,0.0200120795957612,crop
EC-Earth3,-2.5,-2.5562,1,2094,frost_mj,0.0013083099230446,crop
EC-Earth3,-2.5,-2.5562,1,2095,frost_mj,0.0245444503615533,crop
EC-Earth3,-2.5,-2.5562,1,2096,frost_mj,0.0238731464343096,crop
EC-Earth3,-1.5,-1.5166,1,2097,frost_mj,0.0247118357288831,crop
EC-Earth3,-2.5,-2.5562,1,2098,frost_mj,0.0328800227806143,crop
EC-Earth3,-3.5,-3.2771,1,2099,frost_mj,0.00949309566489702,crop
EC-Earth3,-2.5,-2.5562,1,2100,frost_mj,-0.00970678395458266,crop
EC-Earth3,-1.5,-1.5166,1,2071,precip_mj,-0.0417730908660129,crop
EC-Earth3,-1.5,-1.5166,1,2072,precip_mj,-0.0368327000184069,crop
EC-Earth3,-3.5,-3.2771,1,2073,precip_mj,-0.0206848922671039,crop
EC-Earth3,-2.5,-2.5562,1,2074,precip_mj,-0.00572682332897897,crop
EC-Earth3,-2.5,-2.5562,1,2075,precip_mj,-0.000863560118879394,crop
EC-Earth3,-2.5,-2.5562,1,2076,precip_mj,-0.0247355019064837,crop
EC-Earth3,-2.5,-2.5562,1,2077,precip_mj,-0.0419124852100871,crop
EC-Earth3,-1.5,-1.5166,1,2078,precip_mj,0.0126434614934639,crop
EC-Earth3,-2.5,-2.5562,1,2079,precip_mj,0.017435776927071,crop
EC-Earth3,-1.5,-1.5166,1,2080,precip_mj,-0.0488969468435408,crop
EC-Earth3,-2.5,-2.5562,1,2081,precip_mj,-0.011420604374028,crop
EC-Earth3,-2.5,-2.5562,1,2082,precip_mj,0.0523144774004326,crop
EC-Earth3,-2.5,-2.5562,1,2083,precip_mj,0.041313355507165,crop
EC-Earth3,-2.5,-2.5562,1,2084,precip_mj,0.0222799106860651,crop
EC-Earth3,-2.5,-2.5562,1,2085,precip_mj,0.0302036314686482,crop
EC-Earth3,-2.5,-2.5562,1,2086,precip_mj,0.0284030224197997,crop
EC-Earth3,-3.5,-3.2771,1,2087,precip_mj,0.0331651418417061,crop
EC-Earth3,-1.5,-1.5166,1,2088,precip_mj,0.0592435178246095,crop
EC-Earth3,-1.5,-1.5166,1,2089,precip_mj,-0.00384351226363924,crop
EC-Earth3,-2.5,-2.5562,1,2090,precip_mj,0.035790423089406,crop
EC-Earth3,-3.5,-3.2771,1,2092,precip_mj,0.0299066472975078,crop
