model,component,dln
ec-earth3,gdd,0.000387644322329167
ipsl-cm6a-lr,gdd,0.00029688655638135
ec-earth3,heat,-0.0118894834815322
ipsl-cm6a-lr,heat,-0.0141939828912788
ec-earth3,frost,0.00147389338491351
ipsl-cm6a-lr,frost,0.000673654879897699
ec-earth3,precip,-0.00115701718410637
ipsl-cm6a-lr,precip,-0.000494938375190721
ec-earth3,precip2,-0.000892868065858895
ipsl-cm6a-lr,precip2,0.0012733959836894
ec-earth3,n_day,-0.00371278402377535
ipsl-cm6a-lr,n_day,0.0031691735852493
