branch,fuel,model,bin_id,dsv_amoc,dsv_isimip,n_amoc,n_isimip,dln_amoc,dln_isimip,dln_residual,share,pct_amoc,pct_isimip,pct_residual
crop (spec A),,EC-Earth3,-2.5,-2.4493,-2.5448,5,11,0.0176805154564315,-0.274089365987685,-0.291769881444117,,1.78377410126078,-23.9735869529971,-25.3059598955653
crop (spec A),,EC-Earth3,-3.5,-3.3459,-3.4737,9,8,0.039395458175471,-0.351746446262506,-0.391141904437977,,4.01817507026301,-29.6541536111553,-32.3715818496845
crop (spec A),,EC-Earth3,-4.5,-4.5495,-4.5546,8,8,0.0348733810675018,-0.293607029428593,-0.328480410496095,,3.54885880389815,-25.4430579275489,-27.9982967135854
crop (spec A),,IPSL-CM6A-LR,-2.5,-2.5669,-2.2964,9,6,0.0239773689169623,-0.19821244586059,-0.222189814777552,,2.4267137353684,-17.9804412529955,-19.9236646809623
crop (spec A),,IPSL-CM6A-LR,-3.5,-3.4644,-3.5013,8,7,0.0347608294253737,-0.250536013912004,-0.285296843337378,,3.53720486564653,-22.1616553124006,-24.8208942972672
crop (spec A),,IPSL-CM6A-LR,-4.5,-4.3507,-4.3046,11,12,0.0287976418546763,-0.254447137434589,-0.283244779289266,,2.92163030988812,-22.4654961264717,-24.666463560596
crop (spec A),,IPSL-CM6A-LR,-5.5,-5.5623,-5.3985,13,4,0.0521913564096758,-0.285620666557835,-0.337812022967511,,5.35773320005968,-24.8452350961163,-28.6670635166616
crop (spec C),,EC-Earth3,-2.5,-2.4493,-2.5448,5,11,-0.0169343356842841,-0.0200692129884315,-0.00313487730414734,84.3796699653625,-1.67917557881814,-1.98691668249447,-0.31299687069144
crop (spec C),,EC-Earth3,-3.5,-3.3459,-3.4737,9,8,-0.0119212316903706,-0.0226974388532158,-0.0107762071628452,52.5223650450834,-1.18504553341552,-2.2441789833521,-1.07183518492107
crop (spec C),,EC-Earth3,-4.5,-4.5495,-4.5546,8,8,-0.0171816741684126,-0.0107039899512448,0.00647768421716784,160.516538661497,-1.70349109528328,-1.06469061073187,0.649870978806222
crop (spec C),,IPSL-CM6A-LR,-2.5,-2.5669,-2.2964,9,6,-0.00882821213429136,-0.00949288908740363,-0.000664676953112271,92.9981594960985,-0.878935789144708,-0.944797385326302,-0.0664456104319977
crop (spec C),,IPSL-CM6A-LR,-3.5,-3.4644,-3.5013,8,7,-0.0103765840214817,-0.0215370941591399,-0.0111605101376582,48.1800559760198,-1.03229330052854,-2.13068270044985,-1.10984626859821
crop (spec C),,IPSL-CM6A-LR,-4.5,-4.3507,-4.3046,11,12,-0.0137418377490768,-0.0189000392610147,-0.0051582015119379,72.7079852020319,-1.36478497120631,-1.87225534408584,-0.514492083513363
crop (spec C),,IPSL-CM6A-LR,-5.5,-5.5623,-5.3985,13,4,-0.0146056171947868,-0.0176605722028792,-0.00305495500809239,82.7018344989166,-1.44994725656049,-1.75055383016761,-0.305029338126994
energy,Electricity,EC-Earth3,-2.5,-2.4493,-2.5448,5,11,0.0199170587637081,-0.0241647333777744,-0.0440817921414825,,2.01167267753597,-2.38751038386849,-4.31243106395334
energy,Electricity,EC-Earth3,-3.5,-3.3459,-3.4737,9,8,0.0276980301099472,-0.0261650749202897,-0.0538631050302369,,2.80851867724994,-2.582573540405,-5.24381859306753
energy,Electricity,EC-Earth3,-4.5,-4.5495,-4.5546,8,8,0.0319009997354704,-0.0298797818712189,-0.0617807816066893,,3.24152908586739,-2.94377942924509,-5.99110510070813
energy,Electricity,IPSL-CM6A-LR,-2.5,-2.5669,-2.2964,9,6,0.0111065340557618,-0.0275230811135696,-0.0386296151693314,,1.11684405818262,-2.71477722184414,-3.7893007003087
energy,Electricity,IPSL-CM6A-LR,-3.5,-3.4644,-3.5013,8,7,0.0243610328314084,-0.0241079223914506,-0.048468955222859,,2.46601870877181,-2.38196476453131,-4.73130852002948
energy,Electricity,IPSL-CM6A-LR,-4.5,-4.3507,-4.3046,11,12,0.0201927700399096,-0.0268650182499663,-0.0470577882898759,,2.03980232364946,-2.65073636041119,-4.59677358956774
