model,bin_id,delta_sv,n_years,cntr,country_id,component,dln,fuel
HadGEM3-GC3-1LL,-0.5,-0.331,6,BE,BEL,hdd_calendar,0.0035785791456081,Electricity
HadGEM3-GC3-1MM,-14.5,-14.3032,4,BE,BEL,hdd_calendar,0.101596607481136,Electricity
HadGEM3-GC3-1MM,-13.5,-13.3931,8,BE,BEL,hdd_calendar,0.108645122346103,Electricity
HadGEM3-GC3-1MM,-12.5,-12.588,13,BE,BEL,hdd_calendar,0.100246979905549,Electricity
HadGEM3-GC3-1MM,-11.5,-11.5321,21,BE,BEL,hdd_calendar,0.0961129381781839,Electricity
HadGEM3-GC3-1MM,-10.5,-10.4803,10,BE,BEL,hdd_calendar,0.0768463899343553,Electricity
HadGEM3-GC3-1MM,-9.5,-9.6161,7,BE,BEL,hdd_calendar,0.0635175432225778,Electricity
HadGEM3-GC3-1MM,-8.5,-8.6582,7,BE,BEL,hdd_calendar,0.0544503183123933,Electricity
HadGEM3-GC3-1MM,-7.5,-7.6345,8,BE,BEL,hdd_calendar,0.0486360777608657,Electricity
HadGEM3-GC3-1MM,-6.5,-6.4299,4,BE,BEL,hdd_calendar,0.0353482728786643,Electricity
HadGEM3-GC3-1MM,-5.5,-5.3528,4,BE,BEL,hdd_calendar,0.0284685663018311,Electricity
HadGEM3-GC3-1MM,-4.5,-4.3969,4,BE,BEL,hdd_calendar,0.0210204247938376,Electricity
IPSL-CM6A-LR,-9.5,-9.3401,5,BE,BEL,hdd_calendar,0.0800088287852552,Electricity
IPSL-CM6A-LR,-8.5,-8.4598,8,BE,BEL,hdd_calendar,0.0871145636396863,Electricity
IPSL-CM6A-LR,-7.5,-7.5255,19,BE,BEL,hdd_calendar,0.0647068989123671,Electricity
IPSL-CM6A-LR,-6.5,-6.5577,11,BE,BEL,hdd_calendar,0.0733166993986375,Electricity
IPSL-CM6A-LR,-5.5,-5.5623,13,BE,BEL,hdd_calendar,0.0463253780234867,Electricity
IPSL-CM6A-LR,-4.5,-4.3507,11,BE,BEL,hdd_calendar,0.0279792887958344,Electricity
IPSL-CM6A-LR,-3.5,-3.4644,8,BE,BEL,hdd_calendar,0.0369296693692282,Electricity
IPSL-CM6A-LR,-2.5,-2.5669,9,BE,BEL,hdd_calendar,0.0147047917548308,Electricity
IPSL-CM6A-LR,-1.5,-1.2909,6,BE,BEL,hdd_calendar,0.0247600586394311,Electricity
IPSL-CM6A-LR,-0.5,-0.6347,8,BE,BEL,hdd_calendar,0.00419247321497734,Electricity
EC-Earth3,-9.5,-9.1554,4,BG,BGR,hdd_calendar,0.020084961839056,Electricity
EC-Earth3,-8.5,-8.4726,15,BG,BGR,hdd_calendar,0.0419534912519696,Electricity
