model,bin_id,delta_sv,n_years,cntr,country_id,component,dln,fuel
IPSL-CM6A-LR,-3.5,-3.4513,9,EL,GRC,hdd_calendar,-0.017385054342726,Electricity
IPSL-CM6A-LR,-2.5,-2.5185,16,EL,GRC,hdd_calendar,-0.018616011015083,Electricity
IPSL-CM6A-LR,-1.5,-1.7768,5,EL,GRC,hdd_calendar,-0.0167971795258946,Electricity
EC-Earth3,-3.5,-3.2771,5,ES,ESP,hdd_calendar,-0.0242863255865982,Electricity
EC-Earth3,-2.5,-2.5562,17,ES,ESP,hdd_calendar,-0.0236547436442645,Electricity
EC-Earth3,-1.5,-1.5166,7,ES,ESP,hdd_calendar,-0.0266220567395634,Electricity
IPSL-CM6A-LR,-3.5,-3.4513,9,ES,ESP,hdd_calendar,-0.0207520686347831,Electricity
IPSL-CM6A-LR,-2.5,-2.5185,16,ES,ESP,hdd_calendar,-0.0170591240639799,Electricity
IPSL-CM6A-LR,-1.5,-1.7768,5,ES,ESP,hdd_calendar,-0.0209119118366202,Electricity
EC-Earth3,-3.5,-3.2771,5,FI,FIN,hdd_calendar,-0.0513029206769649,Electricity
EC-Earth3,-2.5,-2.5562,17,FI,FIN,hdd_calendar,-0.0432976950435387,Electricity
EC-Earth3,-1.5,-1.5166,7,FI,FIN,hdd_calendar,-0.0547915507446734,Electricity
IPSL-CM6A-LR,-3.5,-3.4513,9,FI,FIN,hdd_calendar,-0.0454047698998459,Electricity
IPSL-CM6A-LR,-2.5,-2.5185,16,FI,FIN,hdd_calendar,-0.0525505960237677,Electricity
IPSL-CM6A-LR,-1.5,-1.7768,5,FI,FIN,hdd_calendar,-0.0394228766430332,Electricity
EC-Earth3,-3.5,-3.2771,5,FR,FRA,hdd_calendar,-0.0261219503039646,Electricity
EC-Earth3,-2.5,-2.5562,17,FR,FRA,hdd_calendar,-0.0297666399716012,Electricity
EC-Earth3,-1.5,-1.5166,7,FR,FRA,hdd_calendar,-0.0342479529835551,Electricity
IPSL-CM6A-LR,-3.5,-3.4513,9,FR,FRA,hdd_calendar,-0.031751353514935,Electricity
IPSL-CM6A-LR,-2.5,-2.5185,16,FR,FRA,hdd_calendar,-0.0270512998527058,Electricity
IPSL-CM6A-LR,-1.5,-1.7768,5,FR,FRA,hdd_calendar,-0.0281002522263292,Electricity
EC-Earth3,-3.5,-3.2771,5,HR,HRV,hdd_calendar,-0.0232943881796749,Electricity
