model,bin_id,delta_sv,n_years,cntr,crop,component,dln
IPSL-CM6A-LR,-4.5,-4.291,5,LT,Soft wheat,gdd_mj,-0.0733152255457887
IPSL-CM6A-LR,-3.5,-3.4498,14,LT,Soft wheat,gdd_mj,-0.0698298877880004
IPSL-CM6A-LR,-2.5,-2.5023,10,LT,Soft wheat,gdd_mj,-0.0803438735497946
EC-Earth3,-3.5,-3.2771,5,LV,Soft wheat,gdd_mj,-0.08849311000046
EC-Earth3,-2.5,-2.5562,17,LV,Soft wheat,gdd_mj,-0.0634139357901916
EC-Earth3,-1.5,-1.5166,7,LV,Soft wheat,gdd_mj,-0.0798455331415162
IPSL-CM6A-LR,-4.5,-4.291,5,LV,Soft wheat,gdd_mj,-0.0696094005236226
IPSL-CM6A-LR,-3.5,-3.4498,14,LV,Soft wheat,gdd_mj,-0.0707646366424758
IPSL-CM6A-LR,-2.5,-2.5023,10,LV,Soft wheat,gdd_mj,-0.0775957261794986
EC-Earth3,-3.5,-3.2771,5,RO,Soft wheat,gdd_mj,-0.0783202900469657
EC-Earth3,-2.5,-2.5562,17,RO,Soft wheat,gdd_mj,-0.0674476520175825
EC-Earth3,-1.5,-1.5166,7,RO,Soft wheat,gdd_mj,-0.0854112324137642
IPSL-CM6A-LR,-4.5,-4.291,5,RO,Soft wheat,gdd_mj,-0.0802304718899303
IPSL-CM6A-LR,-3.5,-3.4498,14,RO,Soft wheat,gdd_mj,-0.0672072146560594
IPSL-CM6A-LR,-2.5,-2.5023,10,RO,Soft wheat,gdd_mj,-0.0872991318302691
EC-Earth3,-3.5,-3.2771,5,SE,Soft wheat,gdd_mj,-0.0681255783081868
EC-Earth3,-2.5,-2.5562,17,SE,Soft wheat,gdd_mj,-0.0642361025154915
EC-Earth3,-1.5,-1.5166,7,SE,Soft wheat,gdd_mj,-0.0879964449829303
IPSL-CM6A-LR,-4.5,-4.291,5,SE,Soft wheat,gdd_mj,-0.0753769310500333
IPSL-CM6A-LR,-3.5,-3.4498,14,SE,Soft wheat,gdd_mj,-0.0556822786976901
IPSL-CM6A-LR,-2.5,-2.5023,10,SE,Soft wheat,gdd_mj,-0.0584256088250334
EC-Earth3,-3.5,-3.2771,5,SK,Soft wheat,gdd_mj,-0.0552323996538974
EC-Earth3,-2.5,-2.5562,17,SK,Soft wheat,gdd_mj,-0.0647300798982207
EC-Earth3,-1.5,-1.5166,7,SK,Soft wheat,gdd_mj,-0.0949203975632519
IPSL-CM6A-LR,-4.5,-4.291,5,SK,Soft wheat,gdd_mj,-0.0865588320932616
IPSL-CM6A-LR,-3.5,-3.4498,14,SK,Soft wheat,gdd_mj,-0.0648284877996299
IPSL-CM6A-LR,-2.5,-2.5023,10,SK,Soft wheat,gdd_mj,-0.0924307803456807
EC-Earth3,-3.5,-3.2771,5,EL,Durum wheat,gdd_mj,-0.106482897850389
EC-Earth3,-2.5,-2.5562,17,EL,Durum wheat,gdd_mj,-0.106166508085231
EC-Earth3,-1.5,-1.5166,7,EL,Durum wheat,gdd_mj,-0.1083281986864
IPSL-CM6A-LR,-4.5,-4.291,5,EL,Durum wheat,gdd_mj,-0.0850523019822984
IPSL-CM6A-LR,-3.5,-3.4498,14,EL,Durum wheat,gdd_mj,-0.0774132549172391
IPSL-CM6A-LR,-2.5,-2.5023,10,EL,Durum wheat,gdd_mj,-0.0945318471488284
EC-Earth3,-3.5,-3.2771,5,ES,Durum wheat,gdd_mj,-0.120238249358984
EC-Earth3,-2.5,-2.5562,17,ES,Durum wheat,gdd_mj,-0.108517286160071
EC-Earth3,-1.5,-1.5166,7,ES,Durum wheat,gdd_mj,-0.14626307780879
IPSL-CM6A-LR,-4.5,-4.291,5,ES,Durum wheat,gdd_mj,-0.0920219980434746
IPSL-CM6A-LR,-3.5,-3.4498,14,ES,Durum wheat,gdd_mj,-0.0727874253075542
IPSL-CM6A-LR,-2.5,-2.5023,10,ES,Durum wheat,gdd_mj,-0.0884150707684541
EC-Earth3,-3.5,-3.2771,5,FR,Durum wheat,gdd_mj,-0.0791450950500492
EC-Earth3,-2.5,-2.5562,17,FR,Durum wheat,gdd_mj,-0.0986031908012865
EC-Earth3,-1.5,-1.5166,7,FR,Durum wheat,gdd_mj,-0.120768724251102
IPSL-CM6A-LR,-4.5,-4.291,5,FR,Durum wheat,gdd_mj,-0.111500172525444
IPSL-CM6A-LR,-3.5,-3.4498,14,FR,Durum wheat,gdd_mj,-0.0656128431457844
IPSL-CM6A-LR,-2.5,-2.5023,10,FR,Durum wheat,gdd_mj,-0.079421195439149
EC-Earth3,-3.5,-3.2771,5,HU,Durum wheat,gdd_mj,-0.0782182406748991
EC-Earth3,-2.5,-2.5562,17,HU,Durum wheat,gdd_mj,-0.0833902653356973
EC-Earth3,-1.5,-1.5166,7,HU,Durum wheat,gdd_mj,-0.119297394423062
IPSL-CM6A-LR,-4.5,-4.291,5,HU,Durum wheat,gdd_mj,-0.106677054308837
IPSL-CM6A-LR,-3.5,-3.4498,14,HU,Durum wheat,gdd_mj,-0.0819225383867868
IPSL-CM6A-LR,-2.5,-2.5023,10,HU,Durum wheat,gdd_mj,-0.114449500793749
EC-Earth3,-3.5,-3.2771,5,IT,Durum wheat,gdd_mj,-0.0988827212520922
EC-Earth3,-2.5,-2.5562,17,IT,Durum wheat,gdd_mj,-0.0999667936414213
EC-Earth3,-1.5,-1.5166,7,IT,Durum wheat,gdd_mj,-0.121451396323493
IPSL-CM6A-LR,-4.5,-4.291,5,IT,Durum wheat,gdd_mj,-0.092891903899531
IPSL-CM6A-LR,-3.5,-3.4498,14,IT,Durum wheat,gdd_mj,-0.0754472795935277
IPSL-CM6A-LR,-2.5,-2.5023,10,IT,Durum wheat,gdd_mj,-0.0959873259161124
EC-Earth3,-3.5,-3.2771,5,RO,Durum wheat,gdd_mj,-0.0946592558615539
EC-Earth3,-2.5,-2.5562,17,RO,Durum wheat,gdd_mj,-0.08188825983621
EC-Earth3,-1.5,-1.5166,7,RO,Durum wheat,gdd_mj,-0.105203003193639
IPSL-CM6A-LR,-4.5,-4.291,5,RO,Durum wheat,gdd_mj,-0.097686705613807
IPSL-CM6A-LR,-3.5,-3.4498,14,RO,Durum wheat,gdd_mj,-0.0819242981312075
IPSL-CM6A-LR,-2.5,-2.5023,10,RO,Durum wheat,gdd_mj,-0.106816229855448
EC-Earth3,-3.5,-3.2771,5,SK,Durum wheat,gdd_mj,-0.0663231997027008
EC-Earth3,-2.5,-2.5562,17,SK,Durum wheat,gdd_mj,-0.0786406768425837
EC-Earth3,-1.5,-1.5166,7,SK,Durum wheat,gdd_mj,-0.120972123160542
IPSL-CM6A-LR,-4.5,-4.291,5,SK,Durum wheat,gdd_mj,-0.107379063134155
IPSL-CM6A-LR,-3.5,-3.4498,14,SK,Durum wheat,gdd_mj,-0.0796020691050897
IPSL-CM6A-LR,-2.5,-2.5023,10,SK,Durum wheat,gdd_mj,-0.113104345252612
EC-Earth3,-3.5,-3.2771,5,CZ,Spring barley,gdd_mj,-0.0988786141486911
EC-Earth3,-2.5,-2.5562,17,CZ,Spring barley,gdd_mj,-0.122035881837103
EC-Earth3,-1.5,-1.5166,7,CZ,Spring barley,gdd_mj,-0.167259186324801
IPSL-CM6A-LR,-4.5,-4.291,5,CZ,Spring barley,gdd_mj,-0.16791058536142
IPSL-CM6A-LR,-3.5,-3.4498,14,CZ,Spring barley,gdd_mj,-0.116467211905779
IPSL-CM6A-LR,-2.5,-2.5023,10,CZ,Spring barley,gdd_mj,-0.157026870821254
EC-Earth3,-3.5,-3.2771,5,DE,Spring barley,gdd_mj,-0.110430603544038
EC-Earth3,-2.5,-2.5562,17,DE,Spring barley,gdd_mj,-0.126398440504167
EC-Earth3,-1.5,-1.5166,7,DE,Spring barley,gdd_mj,-0.159874677194085
IPSL-CM6A-LR,-4.5,-4.291,5,DE,Spring barley,gdd_mj,-0.173546479830201
IPSL-CM6A-LR,-3.5,-3.4498,14,DE,Spring barley,gdd_mj,-0.10554352289549
IPSL-CM6A-LR,-2.5,-2.5023,10,DE,Spring barley,gdd_mj,-0.131029675992755
EC-Earth3,-3.5,-3.2771,5,DK,Spring barley,gdd_mj,-0.129768093508139
EC-Earth3,-2.5,-2.5562,17,DK,Spring barley,gdd_mj,-0.120139843082219
EC-Earth3,-1.5,-1.5166,7,DK,Spring barley,gdd_mj,-0.162272695862868
IPSL-CM6A-LR,-4.5,-4.291,5,DK,Spring barley,gdd_mj,-0.144519794084207
IPSL-CM6A-LR,-3.5,-3.4498,14,DK,Spring barley,gdd_mj,-0.0945204966428995
IPSL-CM6A-LR,-2.5,-2.5023,10,DK,Spring barley,gdd_mj,-0.0968576742361116
EC-Earth3,-3.5,-3.2771,5,EE,Spring barley,gdd_mj,-0.180505984489041
EC-Earth3,-2.5,-2.5562,17,EE,Spring barley,gdd_mj,-0.129650307494694
EC-Earth3,-1.5,-1.5166,7,EE,Spring barley,gdd_mj,-0.165302691769111
IPSL-CM6A-LR,-4.5,-4.291,5,EE,Spring barley,gdd_mj,-0.129639501011216
IPSL-CM6A-LR,-3.5,-3.4498,14,EE,Spring barley,gdd_mj,-0.131903516424063
IPSL-CM6A-LR,-2.5,-2.5023,10,EE,Spring barley,gdd_mj,-0.134844066801924
EC-Earth3,-3.5,-3.2771,5,ES,Spring barley,gdd_mj,-0.188968715916611
EC-Earth3,-2.5,-2.5562,17,ES,Spring barley,gdd_mj,-0.190525619162636
EC-Earth3,-1.5,-1.5166,7,ES,Spring barley,gdd_mj,-0.246451167028951
IPSL-CM6A-LR,-4.5,-4.291,5,ES,Spring barley,gdd_mj,-0.164365017888451
IPSL-CM6A-LR,-3.5,-3.4498,14,ES,Spring barley,gdd_mj,-0.124640416924704
