model,component,dln
ec-earth3,gdd,0.000130439869959597
ipsl-cm6a-lr,gdd,7.45749989544945e-05
ec-earth3,heat,-0.008207280196866
ipsl-cm6a-lr,heat,-0.0090009135418647
ec-earth3,frost,0.000505284266987278
ipsl-cm6a-lr,frost,-0.000394172597672311
ec-earth3,precip,0.0242008556915637
ipsl-cm6a-lr,precip,0.0261900163180915
ec-earth3,precip2,-0.0198316496021366
ipsl-cm6a-lr,precip2,-0.021727844254056
ec-earth3,n_day,-0.00166033685509736
ipsl-cm6a-lr,n_day,0.00781204583598734
