model,bin_id,component,dsv_amoc,n_amoc,dln_amoc,dsv_isimip,n_isimip,dln_isimip,branch,fuel,dln_residual,pct_amoc,pct_isimip,pct_residual
EC-Earth3,-2.5,frost_mj,-2.4493,5,-0.0199402292606923,-2.5448,11,0.0365720773979079,crop (spec A),,0.0565123066586002,-1.97427377429378,3.72490635369638,5.81396368833591
EC-Earth3,-2.5,gdd_mj,-2.4493,5,0.0434825777392889,-2.5448,11,-0.232689447756466,crop (spec A),,-0.276172025495755,4.44417976162173,-20.7600383203537,-24.1317593182313
EC-Earth3,-2.5,heat_mj,-2.4493,5,0.00221240725737778,-2.5448,11,-0.0652057534999387,crop (spec A),,-0.0674181607573165,0.221485643617458,-6.31253216990829,-6.51957788448716
EC-Earth3,-2.5,precip_mj,-2.4493,5,-0.0405841165680573,-2.5448,11,-0.033011368338605,crop (spec A),,0.0075727482294523,-3.97716100024946,-3.24724396544052,0.760149400301358
EC-Earth3,-2.5,precip_mj2,-2.4493,5,0.0325098762885144,-2.5448,11,0.0202451262094166,crop (spec A),,-0.0122647500790978,3.30440957351283,2.04514487669296,-1.21898445769999
EC-Earth3,-3.5,frost_mj,-3.3459,9,-0.0380787713610687,-3.4737,8,0.0423842591570358,crop (spec A),,0.0804630305181045,-3.73628903307695,4.32952975082523,8.37887787919753
EC-Earth3,-3.5,gdd_mj,-3.3459,9,0.0740418169612967,-3.4737,8,-0.294526485901627,crop (spec A),,-0.368568302862924,7.6851835226226,-25.5115782849767,-30.827603874237
EC-Earth3,-3.5,heat_mj,-3.3459,9,0.006549513123074,-3.4737,8,-0.0860233912854747,crop (spec A),,-0.0925729044085487,0.657100808570488,-8.24272322374315,-8.84172498593946
EC-Earth3,-3.5,precip_mj,-3.3459,9,-0.0225653591890312,-3.4737,8,-0.0438498264976758,crop (spec A),,-0.0212844673086446,-2.23126657462559,-4.29023226084049,-2.10595515977148
EC-Earth3,-3.5,precip_mj2,-3.3459,9,0.0194482586412002,-3.4737,8,0.0302689982652355,crop (spec A),,0.0108207396240353,1.96386080086997,3.0731761720777,1.08794955633758
