model,bin_id,delta_sv,n_years,component,dln,spec,branch
EC-Earth3,-9.5,-9.1554,4,frost_mj,-0.023794645370572,drop_gdd,NAHosMIP (A)
EC-Earth3,-8.5,-8.4726,15,frost_mj,-0.0336185879919646,drop_gdd,NAHosMIP (A)
EC-Earth3,-7.5,-7.5562,20,frost_mj,-0.0245996258325396,drop_gdd,NAHosMIP (A)
EC-Earth3,-6.5,-6.4767,21,frost_mj,-0.0164234334333436,drop_gdd,NAHosMIP (A)
EC-Earth3,-5.5,-5.3342,8,frost_mj,-0.0181325264827371,drop_gdd,NAHosMIP (A)
EC-Earth3,-4.5,-4.5495,8,frost_mj,-0.0170243473591155,drop_gdd,NAHosMIP (A)
EC-Earth3,-3.5,-3.3459,9,frost_mj,-0.0204972764295127,drop_gdd,NAHosMIP (A)
EC-Earth3,-2.5,-2.4493,5,frost_mj,-0.0108772851975831,drop_gdd,NAHosMIP (A)
EC-Earth3,-1.5,-1.3807,6,frost_mj,-0.00133961445169187,drop_gdd,NAHosMIP (A)
EC-Earth3,-0.5,-0.6596,3,frost_mj,-0.00297767988050612,drop_gdd,NAHosMIP (A)
HadGEM3-GC3-1LL,-8.5,-8.3848,12,frost_mj,-0.0227890961139478,drop_gdd,NAHosMIP (A)
HadGEM3-GC3-1LL,-7.5,-7.5599,19,frost_mj,-0.0184211537736125,drop_gdd,NAHosMIP (A)
HadGEM3-GC3-1LL,-6.5,-6.5442,24,frost_mj,-0.0232783420082785,drop_gdd,NAHosMIP (A)
HadGEM3-GC3-1LL,-5.5,-5.5797,10,frost_mj,-0.0151440299986292,drop_gdd,NAHosMIP (A)
HadGEM3-GC3-1LL,-4.5,-4.5263,6,frost_mj,-0.0183024515515991,drop_gdd,NAHosMIP (A)
HadGEM3-GC3-1LL,-3.5,-3.7835,7,frost_mj,-0.016244905507532,drop_gdd,NAHosMIP (A)
HadGEM3-GC3-1LL,-2.5,-2.4504,6,frost_mj,-0.0182369610496963,drop_gdd,NAHosMIP (A)
HadGEM3-GC3-1LL,-1.5,-1.3098,8,frost_mj,-0.000142784413041935,drop_gdd,NAHosMIP (A)
HadGEM3-GC3-1LL,-0.5,-0.331,6,frost_mj,-0.00492667913165921,drop_gdd,NAHosMIP (A)
HadGEM3-GC3-1MM,-14.5,-14.3032,4,frost_mj,-0.0508035013600632,drop_gdd,NAHosMIP (A)
HadGEM3-GC3-1MM,-13.5,-13.3931,8,frost_mj,-0.055610555452019,drop_gdd,NAHosMIP (A)
HadGEM3-GC3-1MM,-12.5,-12.588,13,frost_mj,-0.0539197543657041,drop_gdd,NAHosMIP (A)
HadGEM3-GC3-1MM,-11.5,-11.5321,21,frost_mj,-0.0494699646993717,drop_gdd,NAHosMIP (A)
HadGEM3-GC3-1MM,-10.5,-10.4803,10,frost_mj,-0.0382677687797171,drop_gdd,NAHosMIP (A)
HadGEM3-GC3-1MM,-9.5,-9.6161,7,frost_mj,-0.0349216967527516,drop_gdd,NAHosMIP (A)
HadGEM3-GC3-1MM,-8.5,-8.6582,7,frost_mj,-0.0278556292645377,drop_gdd,NAHosMIP (A)
HadGEM3-GC3-1MM,-7.5,-7.6345,8,frost_mj,-0.027594692568189,drop_gdd,NAHosMIP (A)
HadGEM3-GC3-1MM,-6.5,-6.4299,4,frost_mj,-0.0121992627796331,drop_gdd,NAHosMIP (A)
HadGEM3-GC3-1MM,-5.5,-5.3528,4,frost_mj,-0.0191909528462955,drop_gdd,NAHosMIP (A)
HadGEM3-GC3-1MM,-4.5,-4.3969,4,frost_mj,-0.0102298221089987,drop_gdd,NAHosMIP (A)
IPSL-CM6A-LR,-9.5,-9.3401,5,frost_mj,-0.0355158856707318,drop_gdd,NAHosMIP (A)
IPSL-CM6A-LR,-8.5,-8.4598,8,frost_mj,-0.0328881942658289,drop_gdd,NAHosMIP (A)
IPSL-CM6A-LR,-7.5,-7.5255,19,frost_mj,-0.0277814472867895,drop_gdd,NAHosMIP (A)
IPSL-CM6A-LR,-6.5,-6.5577,11,frost_mj,-0.0331392260399019,drop_gdd,NAHosMIP (A)
IPSL-CM6A-LR,-5.5,-5.5623,13,frost_mj,-0.0184587643388047,drop_gdd,NAHosMIP (A)
IPSL-CM6A-LR,-4.5,-4.3507,11,frost_mj,-0.0172534466466552,drop_gdd,NAHosMIP (A)
IPSL-CM6A-LR,-3.5,-3.4644,8,frost_mj,-0.0135419141268265,drop_gdd,NAHosMIP (A)
IPSL-CM6A-LR,-2.5,-2.5669,9,frost_mj,-0.00456235787366926,drop_gdd,NAHosMIP (A)
IPSL-CM6A-LR,-1.5,-1.2909,6,frost_mj,-0.0151689356924734,drop_gdd,NAHosMIP (A)
IPSL-CM6A-LR,-0.5,-0.6347,8,frost_mj,0.00179270258188747,drop_gdd,NAHosMIP (A)
EC-Earth3,-9.5,-9.1554,4,precip_mj,-0.0134307149893106,drop_gdd,NAHosMIP (A)
EC-Earth3,-8.5,-8.4726,15,precip_mj,-0.0398359763394287,drop_gdd,NAHosMIP (A)
EC-Earth3,-7.5,-7.5562,20,precip_mj,-0.0349468505450873,drop_gdd,NAHosMIP (A)
EC-Earth3,-6.5,-6.4767,21,precip_mj,-0.0474980514762642,drop_gdd,NAHosMIP (A)
EC-Earth3,-5.5,-5.3342,8,precip_mj,-0.0359181310492065,drop_gdd,NAHosMIP (A)
EC-Earth3,-4.5,-4.5495,8,precip_mj,-0.0472084045199869,drop_gdd,NAHosMIP (A)
EC-Earth3,-3.5,-3.3459,9,precip_mj,-0.0255457059377839,drop_gdd,NAHosMIP (A)
EC-Earth3,-2.5,-2.4493,5,precip_mj,-0.0455286747557834,drop_gdd,NAHosMIP (A)
EC-Earth3,-1.5,-1.3807,6,precip_mj,-0.00660849986584683,drop_gdd,NAHosMIP (A)
EC-Earth3,-0.5,-0.6596,3,precip_mj,-0.0273564785854062,drop_gdd,NAHosMIP (A)
HadGEM3-GC3-1LL,-8.5,-8.3848,12,precip_mj,-0.0522965385383038,drop_gdd,NAHosMIP (A)
HadGEM3-GC3-1LL,-7.5,-7.5599,19,precip_mj,-0.0385161864775014,drop_gdd,NAHosMIP (A)
HadGEM3-GC3-1LL,-6.5,-6.5442,24,precip_mj,-0.0253563058963474,drop_gdd,NAHosMIP (A)
HadGEM3-GC3-1LL,-5.5,-5.5797,10,precip_mj,-0.0261051281801498,drop_gdd,NAHosMIP (A)
HadGEM3-GC3-1LL,-4.5,-4.5263,6,precip_mj,-0.0525361197228935,drop_gdd,NAHosMIP (A)
HadGEM3-GC3-1LL,-3.5,-3.7835,7,precip_mj,-0.0178434869916643,drop_gdd,NAHosMIP (A)
HadGEM3-GC3-1LL,-2.5,-2.4504,6,precip_mj,-0.0493260446140958,drop_gdd,NAHosMIP (A)
HadGEM3-GC3-1LL,-1.5,-1.3098,8,precip_mj,-0.00462659329411768,drop_gdd,NAHosMIP (A)
HadGEM3-GC3-1LL,-0.5,-0.331,6,precip_mj,-0.0133373869574028,drop_gdd,NAHosMIP (A)
HadGEM3-GC3-1MM,-14.5,-14.3032,4,precip_mj,-0.0701355774766732,drop_gdd,NAHosMIP (A)
HadGEM3-GC3-1MM,-13.5,-13.3931,8,precip_mj,-0.0679528145673486,drop_gdd,NAHosMIP (A)
HadGEM3-GC3-1MM,-12.5,-12.588,13,precip_mj,-0.0834491581077846,drop_gdd,NAHosMIP (A)
HadGEM3-GC3-1MM,-11.5,-11.5321,21,precip_mj,-0.0891179395158953,drop_gdd,NAHosMIP (A)
HadGEM3-GC3-1MM,-10.5,-10.4803,10,precip_mj,-0.0776035705832175,drop_gdd,NAHosMIP (A)
HadGEM3-GC3-1MM,-9.5,-9.6161,7,precip_mj,-0.0652279310126785,drop_gdd,NAHosMIP (A)
HadGEM3-GC3-1MM,-8.5,-8.6582,7,precip_mj,-0.0644630509128508,drop_gdd,NAHosMIP (A)
HadGEM3-GC3-1MM,-7.5,-7.6345,8,precip_mj,-0.04667818871177,drop_gdd,NAHosMIP (A)
HadGEM3-GC3-1MM,-6.5,-6.4299,4,precip_mj,-0.0441013635359603,drop_gdd,NAHosMIP (A)
HadGEM3-GC3-1MM,-5.5,-5.3528,4,precip_mj,-0.031061956527972,drop_gdd,NAHosMIP (A)
HadGEM3-GC3-1MM,-4.5,-4.3969,4,precip_mj,-0.0060003939422316,drop_gdd,NAHosMIP (A)
IPSL-CM6A-LR,-9.5,-9.3401,5,precip_mj,-0.0483428839851096,drop_gdd,NAHosMIP (A)
IPSL-CM6A-LR,-8.5,-8.4598,8,precip_mj,-0.0476620500020924,drop_gdd,NAHosMIP (A)
IPSL-CM6A-LR,-7.5,-7.5255,19,precip_mj,-0.0550157177752511,drop_gdd,NAHosMIP (A)
IPSL-CM6A-LR,-6.5,-6.5577,11,precip_mj,-0.0624852127979275,drop_gdd,NAHosMIP (A)
IPSL-CM6A-LR,-5.5,-5.5623,13,precip_mj,-0.0424262783858156,drop_gdd,NAHosMIP (A)
IPSL-CM6A-LR,-4.5,-4.3507,11,precip_mj,-0.0249345879853121,drop_gdd,NAHosMIP (A)
IPSL-CM6A-LR,-3.5,-3.4644,8,precip_mj,-0.0250294922608561,drop_gdd,NAHosMIP (A)
IPSL-CM6A-LR,-2.5,-2.5669,9,precip_mj,-0.0296176458259678,drop_gdd,NAHosMIP (A)
IPSL-CM6A-LR,-1.5,-1.2909,6,precip_mj,-0.00975654104282236,drop_gdd,NAHosMIP (A)
IPSL-CM6A-LR,-0.5,-0.6347,8,precip_mj,-0.0152139619826167,drop_gdd,NAHosMIP (A)
EC-Earth3,-9.5,-9.1554,4,precip_mj2,0.00701949579742341,drop_gdd,NAHosMIP (A)
EC-Earth3,-8.5,-8.4726,15,precip_mj2,0.030017136673744,drop_gdd,NAHosMIP (A)
EC-Earth3,-7.5,-7.5562,20,precip_mj2,0.0259283178757875,drop_gdd,NAHosMIP (A)
EC-Earth3,-6.5,-6.4767,21,precip_mj2,0.0353508732645864,drop_gdd,NAHosMIP (A)
EC-Earth3,-5.5,-5.3342,8,precip_mj2,0.0234285688995721,drop_gdd,NAHosMIP (A)
EC-Earth3,-4.5,-4.5495,8,precip_mj2,0.0330614669435791,drop_gdd,NAHosMIP (A)
EC-Earth3,-3.5,-3.3459,9,precip_mj2,0.0199728544048382,drop_gdd,NAHosMIP (A)
EC-Earth3,-2.5,-2.4493,5,precip_mj2,0.033203629313084,drop_gdd,NAHosMIP (A)
EC-Earth3,-1.5,-1.3807,6,precip_mj2,0.00384774826931987,drop_gdd,NAHosMIP (A)
EC-Earth3,-0.5,-0.6596,3,precip_mj2,0.0177019248728298,drop_gdd,NAHosMIP (A)
HadGEM3-GC3-1LL,-8.5,-8.3848,12,precip_mj2,0.0387949304689746,drop_gdd,NAHosMIP (A)
HadGEM3-GC3-1LL,-7.5,-7.5599,19,precip_mj2,0.028928637461268,drop_gdd,NAHosMIP (A)
HadGEM3-GC3-1LL,-6.5,-6.5442,24,precip_mj2,0.0187489484078369,drop_gdd,NAHosMIP (A)
HadGEM3-GC3-1LL,-5.5,-5.5797,10,precip_mj2,0.0184961792264709,drop_gdd,NAHosMIP (A)
HadGEM3-GC3-1LL,-4.5,-4.5263,6,precip_mj2,0.0378338488385659,drop_gdd,NAHosMIP (A)
HadGEM3-GC3-1LL,-3.5,-3.7835,7,precip_mj2,0.0122436199088806,drop_gdd,NAHosMIP (A)
HadGEM3-GC3-1LL,-2.5,-2.4504,6,precip_mj2,0.0365780739518075,drop_gdd,NAHosMIP (A)
HadGEM3-GC3-1LL,-1.5,-1.3098,8,precip_mj2,0.000750029447582315,drop_gdd,NAHosMIP (A)
HadGEM3-GC3-1LL,-0.5,-0.331,6,precip_mj2,0.00880606988369233,drop_gdd,NAHosMIP (A)
HadGEM3-GC3-1MM,-14.5,-14.3032,4,precip_mj2,0.0492016838383955,drop_gdd,NAHosMIP (A)
HadGEM3-GC3-1MM,-13.5,-13.3931,8,precip_mj2,0.0483095240923977,drop_gdd,NAHosMIP (A)
HadGEM3-GC3-1MM,-12.5,-12.588,13,precip_mj2,0.0580988220305786,drop_gdd,NAHosMIP (A)
HadGEM3-GC3-1MM,-11.5,-11.5321,21,precip_mj2,0.0612165404520091,drop_gdd,NAHosMIP (A)
HadGEM3-GC3-1MM,-10.5,-10.4803,10,precip_mj2,0.0536877186192037,drop_gdd,NAHosMIP (A)
HadGEM3-GC3-1MM,-9.5,-9.6161,7,precip_mj2,0.0446348141738856,drop_gdd,NAHosMIP (A)
HadGEM3-GC3-1MM,-8.5,-8.6582,7,precip_mj2,0.0466191352000698,drop_gdd,NAHosMIP (A)
HadGEM3-GC3-1MM,-7.5,-7.6345,8,precip_mj2,0.0320705578150771,drop_gdd,NAHosMIP (A)
HadGEM3-GC3-1MM,-6.5,-6.4299,4,precip_mj2,0.0315253736024775,drop_gdd,NAHosMIP (A)
HadGEM3-GC3-1MM,-5.5,-5.3528,4,precip_mj2,0.0222274457468132,drop_gdd,NAHosMIP (A)
HadGEM3-GC3-1MM,-4.5,-4.3969,4,precip_mj2,0.00388326706452507,drop_gdd,NAHosMIP (A)
IPSL-CM6A-LR,-9.5,-9.3401,5,precip_mj2,0.0352077705732377,drop_gdd,NAHosMIP (A)
IPSL-CM6A-LR,-8.5,-8.4598,8,precip_mj2,0.0339009195887328,drop_gdd,NAHosMIP (A)
IPSL-CM6A-LR,-7.5,-7.5255,19,precip_mj2,0.0393569733326789,drop_gdd,NAHosMIP (A)
IPSL-CM6A-LR,-6.5,-6.5577,11,precip_mj2,0.0447028639765925,drop_gdd,NAHosMIP (A)
IPSL-CM6A-LR,-5.5,-5.5623,13,precip_mj2,0.0307932129206122,drop_gdd,NAHosMIP (A)
IPSL-CM6A-LR,-4.5,-4.3507,11,precip_mj2,0.0188602462508008,drop_gdd,NAHosMIP (A)
IPSL-CM6A-LR,-3.5,-3.4644,8,precip_mj2,0.0165253535413502,drop_gdd,NAHosMIP (A)
IPSL-CM6A-LR,-2.5,-2.5669,9,precip_mj2,0.023456123981006,drop_gdd,NAHosMIP (A)
IPSL-CM6A-LR,-1.5,-1.2909,6,precip_mj2,0.00614413044556104,drop_gdd,NAHosMIP (A)
IPSL-CM6A-LR,-0.5,-0.6347,8,precip_mj2,0.00974539153915448,drop_gdd,NAHosMIP (A)
EC-Earth3,-4.5,-4.5546,8,gdd_mj,-0.260000308413263,benchmark,ISIMIP ssp370 (T)
EC-Earth3,-3.5,-3.4737,8,gdd_mj,-0.294526485901627,benchmark,ISIMIP ssp370 (T)
EC-Earth3,-2.5,-2.5448,11,gdd_mj,-0.232689447756466,benchmark,ISIMIP ssp370 (T)
IPSL-CM6A-LR,-5.5,-5.3985,4,gdd_mj,-0.256372434896645,benchmark,ISIMIP ssp370 (T)
IPSL-CM6A-LR,-4.5,-4.3046,12,gdd_mj,-0.223487297090882,benchmark,ISIMIP ssp370 (T)
IPSL-CM6A-LR,-3.5,-3.5013,7,gdd_mj,-0.218743544589769,benchmark,ISIMIP ssp370 (T)
IPSL-CM6A-LR,-2.5,-2.2964,6,gdd_mj,-0.180279738302243,benchmark,ISIMIP ssp370 (T)
EC-Earth3,-4.5,-4.5546,8,heat_mj,-0.0673696091298785,benchmark,ISIMIP ssp370 (T)
EC-Earth3,-3.5,-3.4737,8,heat_mj,-0.0860233912854747,benchmark,ISIMIP ssp370 (T)
EC-Earth3,-2.5,-2.5448,11,heat_mj,-0.0652057534999387,benchmark,ISIMIP ssp370 (T)
IPSL-CM6A-LR,-5.5,-5.3985,4,heat_mj,-0.0626757439798401,benchmark,ISIMIP ssp370 (T)
IPSL-CM6A-LR,-4.5,-4.3046,12,heat_mj,-0.0596241625821872,benchmark,ISIMIP ssp370 (T)
IPSL-CM6A-LR,-3.5,-3.5013,7,heat_mj,-0.0583217152798385,benchmark,ISIMIP ssp370 (T)
IPSL-CM6A-LR,-2.5,-2.2964,6,heat_mj,-0.0451936172295116,benchmark,ISIMIP ssp370 (T)
EC-Earth3,-4.5,-4.5546,8,frost_mj,0.0409443311344375,benchmark,ISIMIP ssp370 (T)
EC-Earth3,-3.5,-3.4737,8,frost_mj,0.0423842591570358,benchmark,ISIMIP ssp370 (T)
EC-Earth3,-2.5,-2.5448,11,frost_mj,0.0365720773979079,benchmark,ISIMIP ssp370 (T)
IPSL-CM6A-LR,-5.5,-5.3985,4,frost_mj,0.0393696900656574,benchmark,ISIMIP ssp370 (T)
IPSL-CM6A-LR,-4.5,-4.3046,12,frost_mj,0.03636506217249,benchmark,ISIMIP ssp370 (T)
IPSL-CM6A-LR,-3.5,-3.5013,7,frost_mj,0.0296267868814209,benchmark,ISIMIP ssp370 (T)
IPSL-CM6A-LR,-2.5,-2.2964,6,frost_mj,0.029925510868588,benchmark,ISIMIP ssp370 (T)
EC-Earth3,-4.5,-4.5546,8,precip_mj,-0.00432638387570595,benchmark,ISIMIP ssp370 (T)
EC-Earth3,-3.5,-3.4737,8,precip_mj,-0.0438498264976758,benchmark,ISIMIP ssp370 (T)
EC-Earth3,-2.5,-2.5448,11,precip_mj,-0.033011368338605,benchmark,ISIMIP ssp370 (T)
IPSL-CM6A-LR,-5.5,-5.3985,4,precip_mj,-0.0124265591544757,benchmark,ISIMIP ssp370 (T)
IPSL-CM6A-LR,-4.5,-4.3046,12,precip_mj,-0.026862782626774,benchmark,ISIMIP ssp370 (T)
IPSL-CM6A-LR,-3.5,-3.5013,7,precip_mj,-0.00944954968899106,benchmark,ISIMIP ssp370 (T)
IPSL-CM6A-LR,-2.5,-2.2964,6,precip_mj,-0.0083380134472656,benchmark,ISIMIP ssp370 (T)
EC-Earth3,-4.5,-4.5546,8,precip_mj2,-0.00285505914418295,benchmark,ISIMIP ssp370 (T)
EC-Earth3,-3.5,-3.4737,8,precip_mj2,0.0302689982652355,benchmark,ISIMIP ssp370 (T)
EC-Earth3,-2.5,-2.5448,11,precip_mj2,0.0202451262094166,benchmark,ISIMIP ssp370 (T)
IPSL-CM6A-LR,-5.5,-5.3985,4,precip_mj2,0.00648438140746796,benchmark,ISIMIP ssp370 (T)
IPSL-CM6A-LR,-4.5,-4.3046,12,precip_mj2,0.0191620426927637,benchmark,ISIMIP ssp370 (T)
IPSL-CM6A-LR,-3.5,-3.5013,7,precip_mj2,0.00635200876517339,benchmark,ISIMIP ssp370 (T)
IPSL-CM6A-LR,-2.5,-2.2964,6,precip_mj2,0.0056734122498426,benchmark,ISIMIP ssp370 (T)
EC-Earth3,-4.5,-4.5546,8,heat_mj,-0.190140482297014,drop_gdd,ISIMIP ssp370 (T)
EC-Earth3,-3.5,-3.4737,8,heat_mj,-0.234607599050178,drop_gdd,ISIMIP ssp370 (T)
EC-Earth3,-2.5,-2.5448,11,heat_mj,-0.183243830509369,drop_gdd,ISIMIP ssp370 (T)
IPSL-CM6A-LR,-5.5,-5.3985,4,heat_mj,-0.165353566236346,drop_gdd,ISIMIP ssp370 (T)
IPSL-CM6A-LR,-4.5,-4.3046,12,heat_mj,-0.159376660340801,drop_gdd,ISIMIP ssp370 (T)
IPSL-CM6A-LR,-3.5,-3.5013,7,heat_mj,-0.157448057309501,drop_gdd,ISIMIP ssp370 (T)
IPSL-CM6A-LR,-2.5,-2.2964,6,heat_mj,-0.12127225334893,drop_gdd,ISIMIP ssp370 (T)
EC-Earth3,-4.5,-4.5546,8,frost_mj,0.0217208471751875,drop_gdd,ISIMIP ssp370 (T)
EC-Earth3,-3.5,-3.4737,8,frost_mj,0.0224422453602977,drop_gdd,ISIMIP ssp370 (T)
EC-Earth3,-2.5,-2.5448,11,frost_mj,0.0193627341808619,drop_gdd,ISIMIP ssp370 (T)
IPSL-CM6A-LR,-5.5,-5.3985,4,frost_mj,0.0209317715996493,drop_gdd,ISIMIP ssp370 (T)
IPSL-CM6A-LR,-4.5,-4.3046,12,frost_mj,0.0191963432559392,drop_gdd,ISIMIP ssp370 (T)
IPSL-CM6A-LR,-3.5,-3.5013,7,frost_mj,0.0155269952799099,drop_gdd,ISIMIP ssp370 (T)
IPSL-CM6A-LR,-2.5,-2.2964,6,frost_mj,0.0158685400303368,drop_gdd,ISIMIP ssp370 (T)
EC-Earth3,-4.5,-4.5546,8,precip_mj,-0.00462125308904383,drop_gdd,ISIMIP ssp370 (T)
EC-Earth3,-3.5,-3.4737,8,precip_mj,-0.0490818240452087,drop_gdd,ISIMIP ssp370 (T)
EC-Earth3,-2.5,-2.5448,11,precip_mj,-0.0369759977453225,drop_gdd,ISIMIP ssp370 (T)
IPSL-CM6A-LR,-5.5,-5.3985,4,precip_mj,-0.0138535727399127,drop_gdd,ISIMIP ssp370 (T)
IPSL-CM6A-LR,-4.5,-4.3046,12,precip_mj,-0.0302875548548398,drop_gdd,ISIMIP ssp370 (T)
IPSL-CM6A-LR,-3.5,-3.5013,7,precip_mj,-0.0108286558475195,drop_gdd,ISIMIP ssp370 (T)
IPSL-CM6A-LR,-2.5,-2.2964,6,precip_mj,-0.00924118125187787,drop_gdd,ISIMIP ssp370 (T)
EC-Earth3,-4.5,-4.5546,8,precip_mj2,-0.00310542556488076,drop_gdd,ISIMIP ssp370 (T)
EC-Earth3,-3.5,-3.4737,8,precip_mj2,0.0308186746257704,drop_gdd,ISIMIP ssp370 (T)
EC-Earth3,-2.5,-2.5448,11,precip_mj2,0.020571793383788,drop_gdd,ISIMIP ssp370 (T)
IPSL-CM6A-LR,-5.5,-5.3985,4,precip_mj2,0.00656930092283065,drop_gdd,ISIMIP ssp370 (T)
IPSL-CM6A-LR,-4.5,-4.3046,12,precip_mj2,0.0195878961271478,drop_gdd,ISIMIP ssp370 (T)
IPSL-CM6A-LR,-3.5,-3.5013,7,precip_mj2,0.00657577976048737,drop_gdd,ISIMIP ssp370 (T)
IPSL-CM6A-LR,-2.5,-2.2964,6,precip_mj2,0.00571691416487407,drop_gdd,ISIMIP ssp370 (T)
