model,bin_id,delta_sv,n_years,component,dln,spec,branch
HadGEM3-GC3-1MM,-10.5,-10.4803,10,frost_mj,-0.0699829384754656,benchmark,NAHosMIP (A)
HadGEM3-GC3-1MM,-9.5,-9.6161,7,frost_mj,-0.0651471137964,benchmark,NAHosMIP (A)
HadGEM3-GC3-1MM,-8.5,-8.6582,7,frost_mj,-0.0512639080083252,benchmark,NAHosMIP (A)
HadGEM3-GC3-1MM,-7.5,-7.6345,8,frost_mj,-0.0506513435179168,benchmark,NAHosMIP (A)
HadGEM3-GC3-1MM,-6.5,-6.4299,4,frost_mj,-0.0235711127241426,benchmark,NAHosMIP (A)
HadGEM3-GC3-1MM,-5.5,-5.3528,4,frost_mj,-0.0343760637927547,benchmark,NAHosMIP (A)
HadGEM3-GC3-1MM,-4.5,-4.3969,4,frost_mj,-0.0186364619214984,benchmark,NAHosMIP (A)
IPSL-CM6A-LR,-9.5,-9.3401,5,frost_mj,-0.064449449841459,benchmark,NAHosMIP (A)
IPSL-CM6A-LR,-8.5,-8.4598,8,frost_mj,-0.0605898973988018,benchmark,NAHosMIP (A)
IPSL-CM6A-LR,-7.5,-7.5255,19,frost_mj,-0.0513031686778746,benchmark,NAHosMIP (A)
IPSL-CM6A-LR,-6.5,-6.5577,11,frost_mj,-0.0604288810054257,benchmark,NAHosMIP (A)
IPSL-CM6A-LR,-5.5,-5.5623,13,frost_mj,-0.0342652405314589,benchmark,NAHosMIP (A)
IPSL-CM6A-LR,-4.5,-4.3507,11,frost_mj,-0.0318744051216611,benchmark,NAHosMIP (A)
IPSL-CM6A-LR,-3.5,-3.4644,8,frost_mj,-0.0250722871731702,benchmark,NAHosMIP (A)
IPSL-CM6A-LR,-2.5,-2.5669,9,frost_mj,-0.00904749983742773,benchmark,NAHosMIP (A)
IPSL-CM6A-LR,-1.5,-1.2909,6,frost_mj,-0.0276721166390351,benchmark,NAHosMIP (A)
IPSL-CM6A-LR,-0.5,-0.6347,8,frost_mj,0.00310403910774848,benchmark,NAHosMIP (A)
EC-Earth3,-9.5,-9.1554,4,precip_mj,-0.011820889446214,benchmark,NAHosMIP (A)
EC-Earth3,-8.5,-8.4726,15,precip_mj,-0.0352542361130242,benchmark,NAHosMIP (A)
EC-Earth3,-7.5,-7.5562,20,precip_mj,-0.0309604589673141,benchmark,NAHosMIP (A)
EC-Earth3,-6.5,-6.4767,21,precip_mj,-0.042078483298847,benchmark,NAHosMIP (A)
EC-Earth3,-5.5,-5.3342,8,precip_mj,-0.0318088653063362,benchmark,NAHosMIP (A)
EC-Earth3,-4.5,-4.5495,8,precip_mj,-0.0417584538685695,benchmark,NAHosMIP (A)
EC-Earth3,-3.5,-3.3459,9,precip_mj,-0.0225653591890312,benchmark,NAHosMIP (A)
EC-Earth3,-2.5,-2.4493,5,precip_mj,-0.0405841165680573,benchmark,NAHosMIP (A)
EC-Earth3,-1.5,-1.3807,6,precip_mj,-0.00575621484302101,benchmark,NAHosMIP (A)
EC-Earth3,-0.5,-0.6596,3,precip_mj,-0.0244214170572742,benchmark,NAHosMIP (A)
HadGEM3-GC3-1LL,-8.5,-8.3848,12,precip_mj,-0.0463978280765126,benchmark,NAHosMIP (A)
HadGEM3-GC3-1LL,-7.5,-7.5599,19,precip_mj,-0.0342880054940903,benchmark,NAHosMIP (A)
HadGEM3-GC3-1LL,-6.5,-6.5442,24,precip_mj,-0.0224081964041991,benchmark,NAHosMIP (A)
