model,cntr,crop,component,dln
ipsl-cm6a-lr,LV,Winter barley,gdd_mj,-0.367688084869753
ec-earth3,SE,Winter barley,gdd_mj,-0.349341160669879
ipsl-cm6a-lr,SE,Winter barley,gdd_mj,-0.325803709258905
ec-earth3,SK,Winter barley,gdd_mj,-0.415715218256454
ipsl-cm6a-lr,SK,Winter barley,gdd_mj,-0.373209286993224
ec-earth3,CZ,Soft wheat,heat_mj,-0.0760894475657008
ipsl-cm6a-lr,CZ,Soft wheat,heat_mj,-0.0773312655811642
ec-earth3,DE,Soft wheat,heat_mj,-0.0554794757677579
ipsl-cm6a-lr,DE,Soft wheat,heat_mj,-0.058023675121968
ec-earth3,DK,Soft wheat,heat_mj,-0.0102308551664997
ipsl-cm6a-lr,DK,Soft wheat,heat_mj,-0.0110532032899624
ec-earth3,EE,Soft wheat,heat_mj,-0.021528798160765
ipsl-cm6a-lr,EE,Soft wheat,heat_mj,-0.0438215462354363
ec-earth3,EL,Soft wheat,heat_mj,-0.233423700454636
ipsl-cm6a-lr,EL,Soft wheat,heat_mj,-0.1650792311179
ec-earth3,ES,Soft wheat,heat_mj,-0.234333665854352
ipsl-cm6a-lr,ES,Soft wheat,heat_mj,-0.146938189415336
ec-earth3,FI,Soft wheat,heat_mj,-0.0182403665112286
ipsl-cm6a-lr,FI,Soft wheat,heat_mj,-0.0336656469772776
ec-earth3,FR,Soft wheat,heat_mj,-0.0855454413969556
ipsl-cm6a-lr,FR,Soft wheat,heat_mj,-0.0661835301188799
ec-earth3,HU,Soft wheat,heat_mj,-0.198871028994201
ipsl-cm6a-lr,HU,Soft wheat,heat_mj,-0.150000983545888
ec-earth3,IT,Soft wheat,heat_mj,-0.230937805405289
ipsl-cm6a-lr,IT,Soft wheat,heat_mj,-0.144690611680644
ec-earth3,LT,Soft wheat,heat_mj,-0.0313315433494562
ipsl-cm6a-lr,LT,Soft wheat,heat_mj,-0.0618380905771916
ec-earth3,LV,Soft wheat,heat_mj,-0.0250329653249133
ipsl-cm6a-lr,LV,Soft wheat,heat_mj,-0.0520829801891238
ec-earth3,RO,Soft wheat,heat_mj,-0.196840643240193
ipsl-cm6a-lr,RO,Soft wheat,heat_mj,-0.173023869458419
ec-earth3,SE,Soft wheat,heat_mj,-0.0171422031483436
ipsl-cm6a-lr,SE,Soft wheat,heat_mj,-0.0275121958820971
ec-earth3,SK,Soft wheat,heat_mj,-0.14000635724586
ipsl-cm6a-lr,SK,Soft wheat,heat_mj,-0.111869776064327
ec-earth3,EL,Durum wheat,heat_mj,0.0922852551376426
ipsl-cm6a-lr,EL,Durum wheat,heat_mj,0.0675868965221283
ec-earth3,ES,Durum wheat,heat_mj,0.108360859053203
ipsl-cm6a-lr,ES,Durum wheat,heat_mj,0.0712094138540924
ec-earth3,FR,Durum wheat,heat_mj,0.057301587360035
ipsl-cm6a-lr,FR,Durum wheat,heat_mj,0.0375152164733868
ec-earth3,HU,Durum wheat,heat_mj,0.0782153363666793
ipsl-cm6a-lr,HU,Durum wheat,heat_mj,0.0585974442262278
ec-earth3,IT,Durum wheat,heat_mj,0.0801326709918662
ipsl-cm6a-lr,IT,Durum wheat,heat_mj,0.0515869480159617
ec-earth3,RO,Durum wheat,heat_mj,0.0701478966886427
ipsl-cm6a-lr,RO,Durum wheat,heat_mj,0.0613118815756086
ec-earth3,SK,Durum wheat,heat_mj,0.0601799098149447
ipsl-cm6a-lr,SK,Durum wheat,heat_mj,0.046784470540546
ec-earth3,CZ,Spring barley,heat_mj,-0.0836714164889736
ipsl-cm6a-lr,CZ,Spring barley,heat_mj,-0.0844998850122979
ec-earth3,DE,Spring barley,heat_mj,-0.0652828555978886
ipsl-cm6a-lr,DE,Spring barley,heat_mj,-0.0651343017630118
ec-earth3,DK,Spring barley,heat_mj,-0.011243117066232
ipsl-cm6a-lr,DK,Spring barley,heat_mj,-0.0121893259200905
ec-earth3,EE,Spring barley,heat_mj,-0.0232525516980462
ipsl-cm6a-lr,EE,Spring barley,heat_mj,-0.046658102716393
ec-earth3,ES,Spring barley,heat_mj,-0.270268328572483
ipsl-cm6a-lr,ES,Spring barley,heat_mj,-0.172099529514452
ec-earth3,FI,Spring barley,heat_mj,-0.0182972697468787
ipsl-cm6a-lr,FI,Spring barley,heat_mj,-0.0339203620978489
ec-earth3,FR,Spring barley,heat_mj,-0.0991626719892003
ipsl-cm6a-lr,FR,Spring barley,heat_mj,-0.0798050574808735
ec-earth3,HU,Spring barley,heat_mj,-0.206349736140519
ipsl-cm6a-lr,HU,Spring barley,heat_mj,-0.156627063866731
ec-earth3,LT,Spring barley,heat_mj,-0.0337041810734226
ipsl-cm6a-lr,LT,Spring barley,heat_mj,-0.0662836598035524
ec-earth3,LV,Spring barley,heat_mj,-0.026617334769055
ipsl-cm6a-lr,LV,Spring barley,heat_mj,-0.0562434700159281
ec-earth3,SE,Spring barley,heat_mj,-0.018353086822713
ipsl-cm6a-lr,SE,Spring barley,heat_mj,-0.0285038650738372
ec-earth3,SK,Spring barley,heat_mj,-0.159614898522935
ipsl-cm6a-lr,SK,Spring barley,heat_mj,-0.126366680458773
ec-earth3,CZ,Winter barley,heat_mj,0.0587908604124301
ipsl-cm6a-lr,CZ,Winter barley,heat_mj,0.0606190726735244
ec-earth3,DE,Winter barley,heat_mj,0.0457776257953717
ipsl-cm6a-lr,DE,Winter barley,heat_mj,0.0476366517986112
ec-earth3,DK,Winter barley,heat_mj,0.0085256096738637
ipsl-cm6a-lr,DK,Winter barley,heat_mj,0.00925088890530384
ec-earth3,EE,Winter barley,heat_mj,0.0169272949206023
ipsl-cm6a-lr,EE,Winter barley,heat_mj,0.0337680533422148
ec-earth3,EL,Winter barley,heat_mj,0.182086572903611
ipsl-cm6a-lr,EL,Winter barley,heat_mj,0.13406488120926
ec-earth3,ES,Winter barley,heat_mj,0.205304515176069
ipsl-cm6a-lr,ES,Winter barley,heat_mj,0.132264979809554
ec-earth3,FR,Winter barley,heat_mj,0.0734248403545092
ipsl-cm6a-lr,FR,Winter barley,heat_mj,0.0568042703230312
ec-earth3,HU,Winter barley,heat_mj,0.1655085851888
ipsl-cm6a-lr,HU,Winter barley,heat_mj,0.124067498523069
ec-earth3,IT,Winter barley,heat_mj,0.174531482252011
ipsl-cm6a-lr,IT,Winter barley,heat_mj,0.1109820207525
ec-earth3,LT,Winter barley,heat_mj,0.0253565591473811
ipsl-cm6a-lr,LT,Winter barley,heat_mj,0.0501949213556943
ec-earth3,LV,Winter barley,heat_mj,0.0201029120620906
ipsl-cm6a-lr,LV,Winter barley,heat_mj,0.0408068694864781
ec-earth3,SE,Winter barley,heat_mj,0.0142542212025824
ipsl-cm6a-lr,SE,Winter barley,heat_mj,0.0201566892476655
ec-earth3,SK,Winter barley,heat_mj,0.113960086134019
ipsl-cm6a-lr,SK,Winter barley,heat_mj,0.0909922793093243
ec-earth3,CZ,Soft wheat,frost_mj,0.067723334789298
ipsl-cm6a-lr,CZ,Soft wheat,frost_mj,0.0571153032330151
ec-earth3,DE,Soft wheat,frost_mj,0.0515284716267231
ipsl-cm6a-lr,DE,Soft wheat,frost_mj,0.0450756802951477
ec-earth3,DK,Soft wheat,frost_mj,0.0480681271505494
ipsl-cm6a-lr,DK,Soft wheat,frost_mj,0.0426867523694968
ec-earth3,EE,Soft wheat,frost_mj,0.10510008731189
ipsl-cm6a-lr,EE,Soft wheat,frost_mj,0.0955933156678073
ec-earth3,EL,Soft wheat,frost_mj,0.0267240222805192
ipsl-cm6a-lr,EL,Soft wheat,frost_mj,0.0217613140167224
ec-earth3,ES,Soft wheat,frost_mj,0.0324040225143198
ipsl-cm6a-lr,ES,Soft wheat,frost_mj,0.0281609568877203
ec-earth3,FI,Soft wheat,frost_mj,0.124790574819602
ipsl-cm6a-lr,FI,Soft wheat,frost_mj,0.11144671606302
ec-earth3,FR,Soft wheat,frost_mj,0.0269661280769801
ipsl-cm6a-lr,FR,Soft wheat,frost_mj,0.0239540070853619
ec-earth3,HU,Soft wheat,frost_mj,0.0372967516538625
ipsl-cm6a-lr,HU,Soft wheat,frost_mj,0.032644439429059
ec-earth3,IT,Soft wheat,frost_mj,0.01741934475963
ipsl-cm6a-lr,IT,Soft wheat,frost_mj,0.0161393131946217
ec-earth3,LT,Soft wheat,frost_mj,0.082729867393921
ipsl-cm6a-lr,LT,Soft wheat,frost_mj,0.0705577579642996
ec-earth3,LV,Soft wheat,frost_mj,0.091160759792092
ipsl-cm6a-lr,LV,Soft wheat,frost_mj,0.0796720432508701
ec-earth3,RO,Soft wheat,frost_mj,0.0409792679177668
ipsl-cm6a-lr,RO,Soft wheat,frost_mj,0.0329274987685169
ec-earth3,SE,Soft wheat,frost_mj,0.0929997328519098
ipsl-cm6a-lr,SE,Soft wheat,frost_mj,0.0814355447530301
ec-earth3,SK,Soft wheat,frost_mj,0.0593758299471739
ipsl-cm6a-lr,SK,Soft wheat,frost_mj,0.0514120522128332
ec-earth3,EL,Durum wheat,frost_mj,0.0408761545504916
ipsl-cm6a-lr,EL,Durum wheat,frost_mj,0.0341358292195059
ec-earth3,ES,Durum wheat,frost_mj,0.0150338190325084
ipsl-cm6a-lr,ES,Durum wheat,frost_mj,0.0134351120116412
ec-earth3,FR,Durum wheat,frost_mj,0.0445960881094545
ipsl-cm6a-lr,FR,Durum wheat,frost_mj,0.0393274210325747
ec-earth3,HU,Durum wheat,frost_mj,0.07595813643101
ipsl-cm6a-lr,HU,Durum wheat,frost_mj,0.0670320324911545
ec-earth3,IT,Durum wheat,frost_mj,0.0116029251833087
ipsl-cm6a-lr,IT,Durum wheat,frost_mj,0.0107899445276955
ec-earth3,RO,Durum wheat,frost_mj,0.0921104103927108
ipsl-cm6a-lr,RO,Durum wheat,frost_mj,0.0737535802340299
ec-earth3,SK,Durum wheat,frost_mj,0.110420161074842
ipsl-cm6a-lr,SK,Durum wheat,frost_mj,0.0970040512797485
ec-earth3,CZ,Spring barley,frost_mj,0.0412565902026707
ipsl-cm6a-lr,CZ,Spring barley,frost_mj,0.0348645009264387
ec-earth3,DE,Spring barley,frost_mj,0.0327074887878605
ipsl-cm6a-lr,DE,Spring barley,frost_mj,0.0281974319776881
ec-earth3,DK,Spring barley,frost_mj,0.0289188604426584
ipsl-cm6a-lr,DK,Spring barley,frost_mj,0.0256459359795406
ec-earth3,EE,Spring barley,frost_mj,0.0643949590579051
ipsl-cm6a-lr,EE,Spring barley,frost_mj,0.0585698624991218
ec-earth3,ES,Spring barley,frost_mj,0.0200695671425414
ipsl-cm6a-lr,ES,Spring barley,frost_mj,0.0174954766679527
ec-earth3,FI,Spring barley,frost_mj,0.0796102572035013
