model,bin_id,delta_sv,n_years,ssp_year,component,crop,dln,branch
IPSL-CM6A-LR,-3.5,-3.4498,1,2091,heat,Soft wheat,-0.0126572364044747,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2092,heat,Soft wheat,-0.0120436958593784,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2093,heat,Soft wheat,-0.0139586530929499,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.5023,1,2094,heat,Soft wheat,-0.000694765929670785,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2095,heat,Soft wheat,-0.00393613796026194,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.5023,1,2096,heat,Soft wheat,-0.0132826283238748,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2097,heat,Soft wheat,-0.0156367157430034,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2098,heat,Soft wheat,-0.00505740566516916,crop_gddwin
IPSL-CM6A-LR,-4.5,-4.291,1,2099,heat,Soft wheat,-0.0132073978191577,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.5023,1,2100,heat,Soft wheat,-0.00831239156295529,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2071,frost,Soft wheat,0.00298002238795317,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2072,frost,Soft wheat,0.00904368556352943,crop_gddwin
IPSL-CM6A-LR,-4.5,-4.291,1,2073,frost,Soft wheat,0.00177308997480972,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.5023,1,2074,frost,Soft wheat,0.00162647979628679,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2075,frost,Soft wheat,0.00520714513792282,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2076,frost,Soft wheat,0.0048472686829937,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.5023,1,2077,frost,Soft wheat,-0.00124031911883118,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.5023,1,2078,frost,Soft wheat,0.00289979423573869,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2079,frost,Soft wheat,0.0024636589008746,crop_gddwin
IPSL-CM6A-LR,-4.5,-4.291,1,2080,frost,Soft wheat,0.00515776859338741,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2081,frost,Soft wheat,0.00506530073755148,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2082,frost,Soft wheat,0.00406083316755709,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.5023,1,2084,frost,Soft wheat,0.00212729465554656,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.5023,1,2085,frost,Soft wheat,-0.00380519773414404,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2086,frost,Soft wheat,-0.000927236152975873,crop_gddwin
IPSL-CM6A-LR,-4.5,-4.291,1,2087,frost,Soft wheat,0.00235175253568622,crop_gddwin
IPSL-CM6A-LR,-4.5,-4.291,1,2088,frost,Soft wheat,-1.62863916757241e-05,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.5023,1,2089,frost,Soft wheat,0.00352210519886428,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.5023,1,2090,frost,Soft wheat,-0.000556648718898395,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2091,frost,Soft wheat,-0.00180611727064942,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2092,frost,Soft wheat,-0.000357660888791319,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2093,frost,Soft wheat,0.00197333199741885,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.5023,1,2094,frost,Soft wheat,0.000912386070791166,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2095,frost,Soft wheat,0.00247160976585972,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.5023,1,2096,frost,Soft wheat,0.000707495441728499,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2097,frost,Soft wheat,-0.000246935376249286,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2098,frost,Soft wheat,0.00463017066411905,crop_gddwin
IPSL-CM6A-LR,-4.5,-4.291,1,2099,frost,Soft wheat,0.000228733480288254,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.5023,1,2100,frost,Soft wheat,0.00856323995030583,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2071,precip,Soft wheat,0.069895474581641,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2072,precip,Soft wheat,0.0436617960600152,crop_gddwin
IPSL-CM6A-LR,-4.5,-4.291,1,2073,precip,Soft wheat,-0.0149718261464705,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.5023,1,2074,precip,Soft wheat,-0.0346389741045673,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2075,precip,Soft wheat,0.0198096577958219,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2076,precip,Soft wheat,-0.0173663701173086,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.5023,1,2077,precip,Soft wheat,0.0177996787101127,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.5023,1,2078,precip,Soft wheat,0.0505487543736846,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2079,precip,Soft wheat,-0.0201268782224179,crop_gddwin
IPSL-CM6A-LR,-4.5,-4.291,1,2080,precip,Soft wheat,0.0304106284625417,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2081,precip,Soft wheat,0.0285445415764691,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2082,precip,Soft wheat,0.0764443360373685,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.5023,1,2084,precip,Soft wheat,0.0167499912604244,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.5023,1,2085,precip,Soft wheat,-0.00453442066231353,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2086,precip,Soft wheat,-0.0035766896178559,crop_gddwin
