model,bin_id,delta_sv,n_years,hos_year,fuel,component,dln,branch
EC-Earth3,-7.5,-7.7831,1,63,Electricity,hdd_calendar,0.028428604145622,energy Electricity
EC-Earth3,-7.5,-7.286,1,64,Electricity,hdd_calendar,0.0240569898439203,energy Electricity
EC-Earth3,-6.5,-6.7982,1,65,Electricity,hdd_calendar,0.0433233732738382,energy Electricity
EC-Earth3,-7.5,-7.5499,1,66,Electricity,hdd_calendar,0.0176478982845788,energy Electricity
EC-Earth3,-7.5,-7.3663,1,67,Electricity,hdd_calendar,0.0176228622940567,energy Electricity
EC-Earth3,-7.5,-7.4385,1,68,Electricity,hdd_calendar,0.0521512972853171,energy Electricity
EC-Earth3,-7.5,-7.9514,1,69,Electricity,hdd_calendar,0.0423327275201813,energy Electricity
EC-Earth3,-7.5,-7.4094,1,70,Electricity,hdd_calendar,0.0619574013759167,energy Electricity
EC-Earth3,-7.5,-7.3154,1,71,Electricity,hdd_calendar,0.0368650345424913,energy Electricity
EC-Earth3,-7.5,-7.6278,1,72,Electricity,hdd_calendar,0.0409242423982599,energy Electricity
EC-Earth3,-9.5,-9.1196,1,73,Electricity,hdd_calendar,0.0452485372618043,energy Electricity
EC-Earth3,-8.5,-8.8784,1,74,Electricity,hdd_calendar,0.0240073900304197,energy Electricity
EC-Earth3,-8.5,-8.3663,1,75,Electricity,hdd_calendar,0.0310850772048669,energy Electricity
EC-Earth3,-6.5,-6.7767,1,76,Electricity,hdd_calendar,0.0365085202995575,energy Electricity
EC-Earth3,-7.5,-7.9209,1,77,Electricity,hdd_calendar,0.0537468775740264,energy Electricity
EC-Earth3,-7.5,-7.5061,1,78,Electricity,hdd_calendar,0.0391792432989955,energy Electricity
EC-Earth3,-8.5,-8.0807,1,79,Electricity,hdd_calendar,0.0420249331870344,energy Electricity
EC-Earth3,-9.5,-9.0422,1,80,Electricity,hdd_calendar,0.0428215441743465,energy Electricity
EC-Earth3,-8.5,-8.9544,1,81,Electricity,hdd_calendar,0.0534222754485792,energy Electricity
EC-Earth3,-9.5,-9.0564,1,82,Electricity,hdd_calendar,0.0274330307506704,energy Electricity
EC-Earth3,-7.5,-7.7863,1,83,Electricity,hdd_calendar,0.0354837515111217,energy Electricity
EC-Earth3,-8.5,-8.1585,1,84,Electricity,hdd_calendar,0.0444318981560478,energy Electricity
EC-Earth3,-8.5,-8.7355,1,85,Electricity,hdd_calendar,0.0642729759487119,energy Electricity
EC-Earth3,-8.5,-8.4153,1,86,Electricity,hdd_calendar,0.0542204629339941,energy Electricity
EC-Earth3,-8.5,-8.2917,1,87,Electricity,hdd_calendar,0.0650655692313152,energy Electricity
EC-Earth3,-7.5,-7.7779,1,88,Electricity,hdd_calendar,0.0606589167535803,energy Electricity
EC-Earth3,-6.5,-6.3297,1,89,Electricity,hdd_calendar,0.0409016333330946,energy Electricity
EC-Earth3,-6.5,-6.6027,1,90,Electricity,hdd_calendar,0.060429998582624,energy Electricity
EC-Earth3,-6.5,-6.8486,1,91,Electricity,hdd_calendar,0.0285990159647077,energy Electricity
EC-Earth3,-8.5,-8.4349,1,92,Electricity,hdd_calendar,0.0648521188839819,energy Electricity
EC-Earth3,-8.5,-8.8942,1,93,Electricity,hdd_calendar,0.0547773074102321,energy Electricity
EC-Earth3,-7.5,-7.973,1,94,Electricity,hdd_calendar,0.0721307732604955,energy Electricity
EC-Earth3,-9.5,-9.4034,1,95,Electricity,hdd_calendar,0.0393675781965764,energy Electricity
EC-Earth3,-8.5,-8.7768,1,96,Electricity,hdd_calendar,0.0779625889597071,energy Electricity
EC-Earth3,-8.5,-8.4777,1,97,Electricity,hdd_calendar,0.103580329578125,energy Electricity
EC-Earth3,-8.5,-8.3893,1,98,Electricity,hdd_calendar,0.0705150570930356,energy Electricity
EC-Earth3,-7.5,-7.4134,1,99,Electricity,hdd_calendar,0.0773228701811443,energy Electricity
EC-Earth3,-8.5,-8.0258,1,100,Electricity,hdd_calendar,0.0863038694740461,energy Electricity
EC-Earth3,-1.5,-1.0275,1,1,Electricity,cdd_jja,0.00243282088570736,energy Electricity
EC-Earth3,-0.5,-0.427,1,2,Electricity,cdd_jja,-3.80094751911921e-05,energy Electricity
EC-Earth3,-1.5,-1.3474,1,3,Electricity,cdd_jja,-0.00038115369191004,energy Electricity
EC-Earth3,-0.5,-0.6618,1,4,Electricity,cdd_jja,0.00913822237203562,energy Electricity
EC-Earth3,-1.5,-1.6418,1,5,Electricity,cdd_jja,-0.0012033717114827,energy Electricity
EC-Earth3,-1.5,-1.4487,1,6,Electricity,cdd_jja,-0.0017419006255215,energy Electricity
EC-Earth3,-0.5,-0.8901,1,8,Electricity,cdd_jja,0.00183405701299786,energy Electricity
EC-Earth3,-1.5,-1.2916,1,9,Electricity,cdd_jja,-0.00613649872507336,energy Electricity
EC-Earth3,-2.5,-2.6913,1,10,Electricity,cdd_jja,-0.00363365289782813,energy Electricity
EC-Earth3,-1.5,-1.5274,1,11,Electricity,cdd_jja,-0.00415331086892908,energy Electricity
EC-Earth3,-2.5,-2.1055,1,12,Electricity,cdd_jja,-0.000315514683556069,energy Electricity
EC-Earth3,-3.5,-3.4794,1,13,Electricity,cdd_jja,0.00158775827840886,energy Electricity
EC-Earth3,-2.5,-2.0746,1,14,Electricity,cdd_jja,-0.00545691657572835,energy Electricity
EC-Earth3,-3.5,-3.1651,1,15,Electricity,cdd_jja,0.00979676411464114,energy Electricity
EC-Earth3,-3.5,-3.1261,1,16,Electricity,cdd_jja,-0.0056236668666655,energy Electricity
EC-Earth3,-2.5,-2.9432,1,17,Electricity,cdd_jja,-0.000135495304831357,energy Electricity
EC-Earth3,-3.5,-3.0673,1,18,Electricity,cdd_jja,-0.00680028230758874,energy Electricity
EC-Earth3,-3.5,-3.5498,1,19,Electricity,cdd_jja,-0.0101670275257176,energy Electricity
EC-Earth3,-4.5,-4.0869,1,20,Electricity,cdd_jja,-0.00816395296879608,energy Electricity
EC-Earth3,-2.5,-2.4319,1,21,Electricity,cdd_jja,-0.00448119150548555,energy Electricity
EC-Earth3,-3.5,-3.1533,1,22,Electricity,cdd_jja,-0.00934744807097916,energy Electricity
EC-Earth3,-4.5,-4.2706,1,23,Electricity,cdd_jja,-0.00999934439879647,energy Electricity
EC-Earth3,-5.5,-5.0118,1,24,Electricity,cdd_jja,0.00128535796727995,energy Electricity
EC-Earth3,-4.5,-4.5954,1,25,Electricity,cdd_jja,-0.0063334875615937,energy Electricity
EC-Earth3,-3.5,-3.0837,1,26,Electricity,cdd_jja,-0.00558416537216503,energy Electricity
EC-Earth3,-3.5,-3.583,1,27,Electricity,cdd_jja,-0.00698534148391907,energy Electricity
EC-Earth3,-5.5,-5.0621,1,28,Electricity,cdd_jja,-0.00309535018684087,energy Electricity
EC-Earth3,-6.5,-6.0801,1,29,Electricity,cdd_jja,-0.00538964873676739,energy Electricity
EC-Earth3,-5.5,-5.4695,1,30,Electricity,cdd_jja,-0.0101647651825763,energy Electricity
EC-Earth3,-4.5,-4.6618,1,31,Electricity,cdd_jja,-0.00566277523941203,energy Electricity
EC-Earth3,-4.5,-4.6709,1,32,Electricity,cdd_jja,-0.00699373727319683,energy Electricity
