model,component,dln
ec-earth3,gdd,0.0003235841610816
ipsl-cm6a-lr,gdd,0.000249394298845627
ec-earth3,heat,-0.0136330577898848
ipsl-cm6a-lr,heat,-0.015782015701944
ec-earth3,frost,-0.00179404478809969
ipsl-cm6a-lr,frost,-0.000556092601077957
ec-earth3,precip,-0.0016786228886845
ipsl-cm6a-lr,precip,-0.000702972382189491
ec-earth3,precip2,-0.000785966989067924
ipsl-cm6a-lr,precip2,0.00137055330829076
