model,bin_id,delta_sv,n_years,component,dln
IPSL-CM6A-LR,-3.5,-3.4644,8,gdd_mj,0.0621874222225396
IPSL-CM6A-LR,-2.5,-2.5669,9,gdd_mj,0.0318619078136256
IPSL-CM6A-LR,-1.5,-1.2909,6,gdd_mj,0.056038304787055
IPSL-CM6A-LR,-0.5,-0.6347,8,gdd_mj,0.00193192577522418
EC-Earth3,-9.5,-9.1554,4,heat_mj,0.00920064722067089
EC-Earth3,-8.5,-8.4726,15,heat_mj,0.00925322948754912
EC-Earth3,-7.5,-7.5562,20,heat_mj,0.00897041684672316
EC-Earth3,-6.5,-6.4767,21,heat_mj,0.00400731188544895
EC-Earth3,-5.5,-5.3342,8,heat_mj,0.00452629229910033
EC-Earth3,-4.5,-4.5495,8,heat_mj,0.00478020554008864
EC-Earth3,-3.5,-3.3459,9,heat_mj,0.006549513123074
EC-Earth3,-2.5,-2.4493,5,heat_mj,0.00221240725737778
EC-Earth3,-1.5,-1.3807,6,heat_mj,0.00497175965683887
EC-Earth3,-0.5,-0.6596,3,heat_mj,-0.00647277404699692
HadGEM3-GC3-1LL,-8.5,-8.3848,12,heat_mj,0.00366878680212577
HadGEM3-GC3-1LL,-7.5,-7.5599,19,heat_mj,0.00398256448581378
HadGEM3-GC3-1LL,-6.5,-6.5442,24,heat_mj,0.00677520001896819
HadGEM3-GC3-1LL,-5.5,-5.5797,10,heat_mj,0.00347111231756961
HadGEM3-GC3-1LL,-4.5,-4.5263,6,heat_mj,0.00501612713457778
HadGEM3-GC3-1LL,-3.5,-3.7835,7,heat_mj,0.00603679922203918
HadGEM3-GC3-1LL,-2.5,-2.4504,6,heat_mj,0.00378442944469837
HadGEM3-GC3-1LL,-1.5,-1.3098,8,heat_mj,0.0012820284340767
HadGEM3-GC3-1LL,-0.5,-0.331,6,heat_mj,0.000122348069314813
HadGEM3-GC3-1MM,-14.5,-14.3032,4,heat_mj,0.0101880310831262
HadGEM3-GC3-1MM,-13.5,-13.3931,8,heat_mj,0.0122789908037072
HadGEM3-GC3-1MM,-12.5,-12.588,13,heat_mj,0.0113094853497815
HadGEM3-GC3-1MM,-11.5,-11.5321,21,heat_mj,0.00970111504440808
HadGEM3-GC3-1MM,-10.5,-10.4803,10,heat_mj,0.0102608065974366
HadGEM3-GC3-1MM,-9.5,-9.6161,7,heat_mj,0.00447771565062444
HadGEM3-GC3-1MM,-8.5,-8.6582,7,heat_mj,0.0059302403489762
HadGEM3-GC3-1MM,-7.5,-7.6345,8,heat_mj,0.00706130576316065
HadGEM3-GC3-1MM,-6.5,-6.4299,4,heat_mj,0.00414795154886965
HadGEM3-GC3-1MM,-5.5,-5.3528,4,heat_mj,0.00211513911783517
